Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a0ac3aae726a4ddac842e,5f289485f876761d798df65c,APPROVED,2022-12-14T17:41:25.521000Z,2022-12-14T17:52:51.620000Z,2022-12-14T23:16:54.932,2022-12-14T17:52:52.404482Z,687,CZELI6JD,542,English,Right-handed,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1261e15f9e8132bd7efa,5607080ed7def20012b733c3,APPROVED,2022-12-14T18:13:59.955000Z,2022-12-14T18:27:25.366000Z,2022-12-14T23:16:55.031,2022-12-14T18:27:25.751700Z,806,CZELI6JD,590,English,Right-handed,28,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
639a13bbe5ad56b7fbafe6aa,5fdd6ae284b3a9449c87a064,APPROVED,2022-12-14T18:19:42.949000Z,2022-12-14T18:30:15.372000Z,2022-12-14T23:16:55.126,2022-12-14T18:30:15.769866Z,633,CZELI6JD,995,English,Right-handed,33,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
639a160c65cb21f1d92693a8,610810c0356aacedc8cbc6f0,APPROVED,2022-12-14T18:29:37.526000Z,2022-12-14T18:41:38.848000Z,2022-12-14T23:16:55.226,2022-12-14T18:41:39.262282Z,722,CZELI6JD,274,"English, Spanish",Right-handed,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1683dce9a31f7a714091,610810dfb6e2212896f5d084,APPROVED,2022-12-14T18:31:36.162000Z,2022-12-14T18:43:19.630000Z,2022-12-14T23:16:55.322,2022-12-14T18:43:20.301918Z,704,CZELI6JD,161,English,Right-handed,19,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1755621c0cd8af12e76e,5a78dbb9ae9a0b0001a97212,APPROVED,2022-12-14T18:35:05.742000Z,2022-12-14T18:47:42.557000Z,2022-12-14T23:16:55.420,2022-12-14T18:47:42.941889Z,757,CZELI6JD,2524,English,Right-handed,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a179b32377da43281aeb2,610969a2d61be5c3ba90fa9e,APPROVED,2022-12-14T18:36:15.432000Z,2022-12-14T18:50:55.144000Z,2022-12-14T23:16:55.735,2022-12-14T18:50:55.482609Z,880,CZELI6JD,124,English,Right-handed,22,Female,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
639a1acf76a7d5167a67c8fc,5c3a925919ceb400010c9344,APPROVED,2022-12-14T18:49:52.806000Z,2022-12-14T18:59:06.490000Z,2022-12-14T23:16:55.830,2022-12-14T18:59:06.828831Z,554,CZELI6JD,277,English,Right-handed,22,Male,White,United States,United States,United States,English,Yes,Other
639a1b3960b3ce08c5ecbcad,5ba854ed7c0ebe0001272f2d,APPROVED,2022-12-14T18:51:40.475000Z,2022-12-14T19:06:42.251000Z,2022-12-14T23:16:55.930,2022-12-14T19:06:42.629357Z,902,CZELI6JD,227,"English, Russian",Right-handed,32,Male,White,Russian Federation,United States,United States,Russian,No,DATA_EXPIRED
639a1b66ccac229ff794bfed,6290d05992a97c47797f9de3,APPROVED,2022-12-14T18:52:25.754000Z,2022-12-14T19:03:37.137000Z,2022-12-14T23:16:56.040,2022-12-14T19:03:37.776037Z,672,CZELI6JD,1221,English,Right-handed,40,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1b8c544ccc19b9190cda,56a40b90582971000c7b49b7,APPROVED,2022-12-14T19:00:18.578000Z,2022-12-14T19:43:32.639000Z,2022-12-14T23:16:56.141,2022-12-14T19:43:33.026744Z,2595,CZELI6JD,2685,English,Right-handed,36,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1ba1ee133ad8d69b03cc,5c9ebf067114700016da2813,APPROVED,2022-12-14T18:53:23.843000Z,2022-12-14T19:11:18.283000Z,2022-12-14T23:16:56.244,2022-12-14T19:11:23.649021Z,1075,CZELI6JD,2181,"English, Spanish",Right-handed,31,Male,Other,United States,United States,United States,Spanish,No,Part-Time
639a1c30c695425071170981,5aee59100ccc2e000185937c,APPROVED,2022-12-14T18:55:50.454000Z,2022-12-14T19:18:45.804000Z,2022-12-14T23:16:56.346,2022-12-14T19:18:46.433857Z,1376,CZELI6JD,951,English,Right-handed,35,Male,White,United States,United States,United States,English,No,Part-Time
639a1c514d8b86dc5e6d9475,5df180b59b92b1098c0d5818,APPROVED,2022-12-14T18:56:27.174000Z,2022-12-14T19:12:20.727000Z,2022-12-14T23:16:56.452,2022-12-14T19:12:21.084732Z,954,CZELI6JD,875,English,Right-handed,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1c52a1939fa6a2ecbc80,60feeffdd94575eb62a4e011,APPROVED,2022-12-14T18:56:22.579000Z,2022-12-14T19:08:25.838000Z,2022-12-14T23:16:56.560,2022-12-14T19:08:28.582429Z,724,CZELI6JD,331,English,Right-handed,21,Female,White,United States,United States,United States,English,Yes,Other
639a1c59ac4d276d2baf4937,63180ae1ae5d3ee3257d1e9e,APPROVED,2022-12-14T18:56:28.249000Z,2022-12-14T19:06:16.581000Z,2022-12-14T23:16:56.672,2022-12-14T19:06:16.997022Z,589,CZELI6JD,406,English,Right-handed,23,Male,Mixed,United States,United States,United States,English,Yes,Other
639a1c6198318f7e728356f0,5f4fd146ee39f70f490889c9,APPROVED,2022-12-14T18:56:33.765000Z,2022-12-14T19:14:09.324000Z,2022-12-14T23:16:56.778,2022-12-14T19:14:10.195404Z,1056,CZELI6JD,1628,English,Right-handed,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1ce3522f06bb59317e84,5d63867550d0dd0017805976,APPROVED,2022-12-14T18:58:48.451000Z,2022-12-14T19:14:53.511000Z,2022-12-14T23:16:56.884,2022-12-14T19:14:53.843206Z,966,CZELI6JD,3262,English,Right-handed,39,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
639a1d3bcb7334b83eac842a,60e9b19b0104bf65f6a92237,APPROVED,2022-12-14T19:00:17.691000Z,2022-12-14T19:12:35.499000Z,2022-12-14T23:16:56.986,2022-12-14T19:12:35.948448Z,738,CZELI6JD,48,English,Right-handed,20,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
639a1d542b565c9096afe6b4,5eca8de81197051fa92b5a6a,APPROVED,2022-12-14T19:00:40.658000Z,2022-12-14T19:12:10.232000Z,2022-12-14T23:16:57.092,2022-12-14T19:12:11.823664Z,690,CZELI6JD,1081,English,Right-handed,34,Female,White,United States,United States,United States,English,No,Other
639a1d5e1968d63967bfc340,5fd15934025b991384ef1116,APPROVED,2022-12-14T19:01:14.840000Z,2022-12-14T19:13:59.905000Z,2022-12-14T23:16:57.192,2022-12-14T19:14:00.780575Z,766,CZELI6JD,985,English,Right-handed,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,Due to start a new job within the next month
639a1ddc5c05a39e5cc06651,62d6e24cf74647ef51a16300,APPROVED,2022-12-14T19:02:55.858000Z,2022-12-14T19:13:11.481000Z,2022-12-14T23:16:57.295,2022-12-14T19:13:11.880670Z,616,CZELI6JD,389,English,Right-handed,31,Male,White,United States,United States,United States,English,No,Full-Time
639a1df2cda1329465f64edd,5d17a2c94d7eea00170c3aca,APPROVED,2022-12-14T19:03:16.317000Z,2022-12-14T19:12:37.926000Z,2022-12-14T23:16:57.396,2022-12-14T19:12:38.366409Z,562,CZELI6JD,537,English,Right-handed,25,Male,Mixed,United States,United States,United States,English,No,Full-Time
639a1e27bb7d1ea0afa078d1,5f6d0c1efaad4d16c44fdd6d,APPROVED,2022-12-14T19:04:12.157000Z,2022-12-14T19:14:59.098000Z,2022-12-14T23:16:57.497,2022-12-14T19:14:59.461984Z,647,NOCODE,407,English,Right-handed,24,Female,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
639a1eb39a6c65b1d56a2878,6122db5a591eaf8ee07cf3d0,APPROVED,2022-12-14T19:06:32.585000Z,2022-12-14T19:25:24.540000Z,2022-12-14T23:16:57.600,2022-12-14T19:25:24.988321Z,1132,CZELI6JD,48,English,Right-handed,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a1ef38df2d5329d1b58cb,6340d2fa46f2d707e146b63b,APPROVED,2022-12-14T19:07:48.784000Z,2022-12-14T19:19:08.102000Z,2022-12-14T23:16:57.709,2022-12-14T19:19:08.603107Z,680,CZELI6JD,242,English,Right-handed,23,Male,Other,United States,United States,United States,English,No,DATA_EXPIRED
639a1ef749f2635f59e1dac5,5d193535601cd70017727028,APPROVED,2022-12-14T19:07:57.630000Z,2022-12-14T19:22:03.456000Z,2022-12-14T23:16:57.818,2022-12-14T19:22:03.929482Z,846,CZELI6JD,499,English,Right-handed,37,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a1f6c0c51b23c4259130e,636bd30e14a5a0787697f56b,APPROVED,2022-12-14T19:09:35.960000Z,2022-12-14T19:22:39.539000Z,2022-12-14T23:16:57.935,2022-12-14T19:22:39.926003Z,784,CZELI6JD,266,"English, Other",Right-handed,30,Female,White,United States,United States,United States,English,No,Part-Time
