subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5a5e94a7eedc32000142cd08	212288	1	practice	z	1	circle	global	RVF	yes	present	1	581
5a5e94a7eedc32000142cd08	217301	1	practice	z	2	absent	absent	absent	no	absent	1	2003
5a5e94a7eedc32000142cd08	220834	1	practice	z	3	square	global	LVF	yes	present	1	733
5a5e94a7eedc32000142cd08	223868	1	practice	z	4	circle	global	LVF	yes	present	1	671
5a5e94a7eedc32000142cd08	227103	1	practice	z	5	circle	global	LVF	yes	present	1	897
5a5e94a7eedc32000142cd08	231468	1	practice	z	6	circle	local	RVF	yes	absent	0	2003
5a5e94a7eedc32000142cd08	234722	1	practice	z	7	square	global	LVF	yes	present	1	939
5a5e94a7eedc32000142cd08	237999	1	practice	z	8	circle	local	RVF	yes	present	1	1103
5a5e94a7eedc32000142cd08	242226	1	practice	z	9	absent	absent	absent	no	absent	1	2003
5a5e94a7eedc32000142cd08	248378	1	practice	z	10	circle	local	RVF	yes	absent	0	2003
5a5e94a7eedc32000142cd08	252732	1	practice	z	11	square	local	LVF	yes	absent	0	2003
5a5e94a7eedc32000142cd08	256010	1	practice	z	12	circle	global	RVF	yes	present	1	988
5a5e94a7eedc32000142cd08	259113	1	practice	z	13	square	local	LVF	yes	present	1	866
5a5e94a7eedc32000142cd08	263080	1	practice	z	14	absent	absent	absent	no	absent	1	2003
5a5e94a7eedc32000142cd08	266485	1	practice	z	15	square	global	RVF	yes	present	1	1107
5a5e94a7eedc32000142cd08	270594	1	practice	z	16	absent	absent	absent	no	absent	1	2003
5a5e94a7eedc32000142cd08	290212	2	main	z	1	square	local	RVF	yes	absent	0	2003
5a5e94a7eedc32000142cd08	292423	2	main	z	2	circle	local	LVF	yes	present	1	761
5a5e94a7eedc32000142cd08	294617	2	main	z	3	square	global	RVF	yes	present	1	816
5a5e94a7eedc32000142cd08	296367	2	main	z	4	square	global	LVF	yes	present	1	608
5a5e94a7eedc32000142cd08	298508	2	main	z	5	circle	local	LVF	yes	present	1	887
5a5e94a7eedc32000142cd08	301733	2	main	z	6	circle	local	RVF	yes	absent	0	2003
