subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ab7c19e1667e40001d7cd93	178643	1	practice	z	1	circle	local	RVF	yes	present	1	874
5ab7c19e1667e40001d7cd93	182482	1	practice	z	2	circle	global	LVF	yes	present	1	515
5ab7c19e1667e40001d7cd93	188015	1	practice	z	3	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	191490	1	practice	z	4	circle	local	RVF	yes	present	1	579
5ab7c19e1667e40001d7cd93	194548	1	practice	z	5	circle	global	RVF	yes	present	1	565
5ab7c19e1667e40001d7cd93	197127	1	practice	z	6	circle	global	LVF	yes	present	1	466
5ab7c19e1667e40001d7cd93	201525	1	practice	z	7	square	local	LVF	yes	absent	0	2000
5ab7c19e1667e40001d7cd93	205936	1	practice	z	8	square	local	LVF	yes	absent	0	2000
5ab7c19e1667e40001d7cd93	210638	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	213661	1	practice	z	10	circle	local	RVF	yes	present	1	592
5ab7c19e1667e40001d7cd93	216320	1	practice	z	11	square	global	LVF	yes	present	1	494
5ab7c19e1667e40001d7cd93	218960	1	practice	z	12	square	global	LVF	yes	present	1	631
5ab7c19e1667e40001d7cd93	221537	1	practice	z	13	circle	global	RVF	yes	present	1	404
5ab7c19e1667e40001d7cd93	224348	1	practice	z	14	absent	absent	absent	no	present	0	550
5ab7c19e1667e40001d7cd93	227294	1	practice	z	15	square	global	RVF	yes	present	1	1153
5ab7c19e1667e40001d7cd93	231563	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	240497	2	main	z	1	square	local	RVF	yes	present	1	1103
5ab7c19e1667e40001d7cd93	244206	2	main	z	2	square	global	RVF	yes	present	1	530
5ab7c19e1667e40001d7cd93	246019	2	main	z	3	circle	global	RVF	yes	present	1	474
5ab7c19e1667e40001d7cd93	247661	2	main	z	4	circle	global	LVF	yes	present	1	444
5ab7c19e1667e40001d7cd93	249321	2	main	z	5	circle	local	RVF	yes	present	1	494
5ab7c19e1667e40001d7cd93	252640	2	main	z	6	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	254285	2	main	z	7	square	global	LVF	yes	present	1	588
5ab7c19e1667e40001d7cd93	256043	2	main	z	8	circle	local	RVF	yes	present	1	481
5ab7c19e1667e40001d7cd93	257714	2	main	z	9	square	global	RVF	yes	present	1	521
5ab7c19e1667e40001d7cd93	259779	2	main	z	10	square	local	LVF	yes	present	1	919
5ab7c19e1667e40001d7cd93	261372	2	main	z	11	square	local	LVF	yes	present	1	544
5ab7c19e1667e40001d7cd93	264395	2	main	z	12	circle	global	RVF	yes	present	1	515
5ab7c19e1667e40001d7cd93	266759	2	main	z	13	absent	absent	absent	no	present	0	1298
5ab7c19e1667e40001d7cd93	268701	2	main	z	14	circle	global	RVF	yes	present	1	457
5ab7c19e1667e40001d7cd93	270743	2	main	z	15	square	local	LVF	yes	present	1	883
5ab7c19e1667e40001d7cd93	272861	2	main	z	16	circle	global	RVF	yes	present	1	510
5ab7c19e1667e40001d7cd93	274644	2	main	z	17	circle	local	RVF	yes	present	1	673
5ab7c19e1667e40001d7cd93	276281	2	main	z	18	circle	local	LVF	yes	present	1	520
5ab7c19e1667e40001d7cd93	279378	2	main	z	19	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	281015	2	main	z	20	circle	global	LVF	yes	present	1	375
5ab7c19e1667e40001d7cd93	282475	2	main	z	21	square	global	RVF	yes	present	1	443
5ab7c19e1667e40001d7cd93	284160	2	main	z	22	circle	local	RVF	yes	present	1	498
5ab7c19e1667e40001d7cd93	286049	2	main	z	23	square	global	LVF	yes	present	1	450
5ab7c19e1667e40001d7cd93	287766	2	main	z	24	circle	local	LVF	yes	present	1	468
5ab7c19e1667e40001d7cd93	289472	2	main	z	25	square	global	LVF	yes	present	1	475
5ab7c19e1667e40001d7cd93	291402	2	main	z	26	circle	global	LVF	yes	present	1	656
5ab7c19e1667e40001d7cd93	294531	2	main	z	27	square	local	LVF	yes	absent	0	2000
5ab7c19e1667e40001d7cd93	296141	2	main	z	28	absent	absent	absent	no	present	0	544
5ab7c19e1667e40001d7cd93	300265	2	main	z	29	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	303960	2	main	z	30	absent	absent	absent	no	present	0	1044
5ab7c19e1667e40001d7cd93	307164	2	main	z	31	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	308803	2	main	z	32	square	local	RVF	yes	present	1	633
5ab7c19e1667e40001d7cd93	310912	2	main	z	33	circle	local	LVF	yes	present	1	519
5ab7c19e1667e40001d7cd93	314233	2	main	z	34	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	316677	2	main	z	35	square	local	RVF	yes	present	1	678
5ab7c19e1667e40001d7cd93	318583	2	main	z	36	square	global	RVF	yes	present	1	547
5ab7c19e1667e40001d7cd93	320168	2	main	z	37	square	global	LVF	yes	present	1	443
5ab7c19e1667e40001d7cd93	321628	2	main	z	38	circle	global	LVF	yes	present	1	394
5ab7c19e1667e40001d7cd93	323323	2	main	z	39	circle	local	LVF	yes	present	1	474
5ab7c19e1667e40001d7cd93	324957	2	main	z	40	square	local	RVF	yes	present	1	523
5ab7c19e1667e40001d7cd93	328195	2	main	z	41	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	329552	2	main	z	42	circle	global	LVF	yes	present	1	366
5ab7c19e1667e40001d7cd93	331058	2	main	z	43	circle	local	RVF	yes	present	1	407
5ab7c19e1667e40001d7cd93	332647	2	main	z	44	circle	global	LVF	yes	present	1	492
5ab7c19e1667e40001d7cd93	334218	2	main	z	45	circle	global	LVF	yes	present	1	423
5ab7c19e1667e40001d7cd93	335971	2	main	z	46	circle	local	LVF	yes	present	1	522
5ab7c19e1667e40001d7cd93	337582	2	main	z	47	circle	global	RVF	yes	present	1	454
5ab7c19e1667e40001d7cd93	339272	2	main	z	48	absent	absent	absent	no	present	0	690
5ab7c19e1667e40001d7cd93	340926	2	main	z	49	square	global	LVF	yes	present	1	455
5ab7c19e1667e40001d7cd93	342429	2	main	z	50	circle	global	RVF	yes	present	1	414
5ab7c19e1667e40001d7cd93	343960	2	main	z	51	square	local	RVF	yes	present	1	342
5ab7c19e1667e40001d7cd93	345400	2	main	z	52	square	global	RVF	yes	present	1	318
5ab7c19e1667e40001d7cd93	346849	2	main	z	53	absent	absent	absent	no	present	0	332
5ab7c19e1667e40001d7cd93	349977	2	main	z	54	circle	local	LVF	yes	present	1	409
5ab7c19e1667e40001d7cd93	352969	2	main	z	55	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	354346	2	main	z	56	square	global	RVF	yes	present	1	344
5ab7c19e1667e40001d7cd93	355703	2	main	z	57	square	global	LVF	yes	present	1	347
5ab7c19e1667e40001d7cd93	358776	2	main	z	58	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	360086	2	main	z	59	circle	global	LVF	yes	present	1	352
5ab7c19e1667e40001d7cd93	361477	2	main	z	60	square	global	RVF	yes	present	1	324
5ab7c19e1667e40001d7cd93	363747	2	main	z	61	circle	local	RVF	yes	present	1	475
5ab7c19e1667e40001d7cd93	367101	2	main	z	62	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	370485	2	main	z	63	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	371914	2	main	z	64	square	local	LVF	yes	present	1	480
5ab7c19e1667e40001d7cd93	374018	2	main	z	65	square	local	LVF	yes	present	1	750
5ab7c19e1667e40001d7cd93	375777	2	main	z	66	square	local	RVF	yes	present	1	655
5ab7c19e1667e40001d7cd93	377847	2	main	z	67	circle	local	RVF	yes	present	1	427
5ab7c19e1667e40001d7cd93	379636	2	main	z	68	square	local	RVF	yes	present	1	431
5ab7c19e1667e40001d7cd93	381629	2	main	z	69	square	global	LVF	yes	present	1	659
5ab7c19e1667e40001d7cd93	385005	2	main	z	70	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	386839	2	main	z	71	square	local	LVF	yes	present	1	567
5ab7c19e1667e40001d7cd93	388623	2	main	z	72	circle	global	RVF	yes	present	1	554
5ab7c19e1667e40001d7cd93	390698	2	main	z	73	square	global	RVF	yes	present	1	863
5ab7c19e1667e40001d7cd93	392719	2	main	z	74	square	local	RVF	yes	present	1	508
5ab7c19e1667e40001d7cd93	394573	2	main	z	75	circle	local	RVF	yes	present	1	648
5ab7c19e1667e40001d7cd93	396315	2	main	z	76	square	global	LVF	yes	present	1	560
5ab7c19e1667e40001d7cd93	398138	2	main	z	77	circle	global	RVF	yes	present	1	549
5ab7c19e1667e40001d7cd93	399873	2	main	z	78	circle	local	LVF	yes	present	1	565
5ab7c19e1667e40001d7cd93	401620	2	main	z	79	square	local	LVF	yes	present	1	347
5ab7c19e1667e40001d7cd93	403508	2	main	z	80	circle	local	LVF	yes	present	1	421
5ab7c19e1667e40001d7cd93	428239	3	practice	slash	1	absent	absent	absent	no	present	0	917
5ab7c19e1667e40001d7cd93	430860	3	practice	slash	2	circle	local	RVF	yes	present	1	513
5ab7c19e1667e40001d7cd93	434947	3	practice	slash	3	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	437803	3	practice	slash	4	circle	local	RVF	yes	present	1	771
5ab7c19e1667e40001d7cd93	440504	3	practice	slash	5	circle	global	LVF	yes	present	1	522
5ab7c19e1667e40001d7cd93	444906	3	practice	slash	6	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	447767	3	practice	slash	7	absent	absent	absent	no	present	0	836
5ab7c19e1667e40001d7cd93	450633	3	practice	slash	8	circle	global	RVF	yes	present	1	668
5ab7c19e1667e40001d7cd93	453260	3	practice	slash	9	square	local	LVF	yes	present	1	566
5ab7c19e1667e40001d7cd93	455949	3	practice	slash	10	square	global	RVF	yes	present	1	555
5ab7c19e1667e40001d7cd93	458471	3	practice	slash	11	square	global	LVF	yes	present	1	542
5ab7c19e1667e40001d7cd93	460959	3	practice	slash	12	square	local	LVF	yes	present	1	473
5ab7c19e1667e40001d7cd93	464402	3	practice	slash	13	circle	global	LVF	yes	present	1	471
5ab7c19e1667e40001d7cd93	466704	3	practice	slash	14	circle	global	RVF	yes	present	1	374
5ab7c19e1667e40001d7cd93	469204	3	practice	slash	15	square	global	LVF	yes	present	1	386
5ab7c19e1667e40001d7cd93	471528	3	practice	slash	16	circle	local	RVF	yes	present	1	367
5ab7c19e1667e40001d7cd93	494307	4	main	slash	1	square	global	RVF	yes	present	1	465
5ab7c19e1667e40001d7cd93	495923	4	main	slash	2	square	local	RVF	yes	present	1	347
5ab7c19e1667e40001d7cd93	499209	4	main	slash	3	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	500518	4	main	slash	4	square	local	LVF	yes	present	1	409
5ab7c19e1667e40001d7cd93	502102	4	main	slash	5	square	local	LVF	yes	present	1	425
5ab7c19e1667e40001d7cd93	503891	4	main	slash	6	circle	global	LVF	yes	present	1	470
5ab7c19e1667e40001d7cd93	505248	4	main	slash	7	square	local	LVF	yes	present	1	289
5ab7c19e1667e40001d7cd93	507159	4	main	slash	8	square	local	RVF	yes	present	1	491
5ab7c19e1667e40001d7cd93	510423	4	main	slash	9	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	511742	4	main	slash	10	circle	local	RVF	yes	present	1	375
5ab7c19e1667e40001d7cd93	513366	4	main	slash	11	circle	local	LVF	yes	present	1	360
5ab7c19e1667e40001d7cd93	515592	4	main	slash	12	circle	global	RVF	yes	present	1	373
5ab7c19e1667e40001d7cd93	517723	4	main	slash	13	absent	absent	absent	no	present	0	1078
5ab7c19e1667e40001d7cd93	519385	4	main	slash	14	circle	global	RVF	yes	present	1	402
5ab7c19e1667e40001d7cd93	523146	4	main	slash	15	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	524495	4	main	slash	16	square	global	LVF	yes	present	1	383
5ab7c19e1667e40001d7cd93	526450	4	main	slash	17	circle	global	LVF	yes	present	1	472
5ab7c19e1667e40001d7cd93	528342	4	main	slash	18	square	global	RVF	yes	present	1	388
5ab7c19e1667e40001d7cd93	531839	4	main	slash	19	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	533143	4	main	slash	20	circle	global	LVF	yes	present	1	348
5ab7c19e1667e40001d7cd93	536447	4	main	slash	21	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	538164	4	main	slash	22	square	local	RVF	yes	present	1	355
5ab7c19e1667e40001d7cd93	540094	4	main	slash	23	square	local	RVF	yes	present	1	380
5ab7c19e1667e40001d7cd93	543998	4	main	slash	24	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	545320	4	main	slash	25	circle	local	LVF	yes	present	1	388
5ab7c19e1667e40001d7cd93	547658	4	main	slash	26	square	global	RVF	yes	present	1	395
5ab7c19e1667e40001d7cd93	549554	4	main	slash	27	circle	global	RVF	yes	present	1	420
5ab7c19e1667e40001d7cd93	551962	4	main	slash	28	square	global	LVF	yes	present	1	516
5ab7c19e1667e40001d7cd93	553883	4	main	slash	29	square	global	RVF	yes	present	1	366
5ab7c19e1667e40001d7cd93	555842	4	main	slash	30	circle	local	RVF	yes	present	1	480
5ab7c19e1667e40001d7cd93	557761	4	main	slash	31	circle	local	LVF	yes	present	1	511
5ab7c19e1667e40001d7cd93	559579	4	main	slash	32	circle	local	RVF	yes	present	1	354
5ab7c19e1667e40001d7cd93	561560	4	main	slash	33	circle	local	RVF	yes	present	1	350
5ab7c19e1667e40001d7cd93	563391	4	main	slash	34	square	local	LVF	yes	present	1	593
5ab7c19e1667e40001d7cd93	565230	4	main	slash	35	square	global	LVF	yes	present	1	508
5ab7c19e1667e40001d7cd93	567140	4	main	slash	36	square	global	LVF	yes	present	1	401
5ab7c19e1667e40001d7cd93	568972	4	main	slash	37	circle	global	LVF	yes	present	1	461
5ab7c19e1667e40001d7cd93	570710	4	main	slash	38	circle	local	LVF	yes	present	1	561
5ab7c19e1667e40001d7cd93	572329	4	main	slash	39	circle	global	RVF	yes	present	1	402
5ab7c19e1667e40001d7cd93	573884	4	main	slash	40	absent	absent	absent	no	present	0	384
5ab7c19e1667e40001d7cd93	576170	4	main	slash	41	circle	global	RVF	yes	present	1	456
5ab7c19e1667e40001d7cd93	579115	4	main	slash	42	square	global	RVF	yes	present	1	1582
5ab7c19e1667e40001d7cd93	582368	4	main	slash	43	square	local	RVF	yes	present	1	402
5ab7c19e1667e40001d7cd93	584265	4	main	slash	44	square	local	LVF	yes	present	1	576
5ab7c19e1667e40001d7cd93	587332	4	main	slash	45	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	589849	4	main	slash	46	circle	local	LVF	yes	present	1	394
5ab7c19e1667e40001d7cd93	593011	4	main	slash	47	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	594387	4	main	slash	48	circle	local	LVF	yes	present	1	369
5ab7c19e1667e40001d7cd93	596022	4	main	slash	49	circle	global	RVF	yes	present	1	553
5ab7c19e1667e40001d7cd93	597650	4	main	slash	50	circle	global	LVF	yes	present	1	567
5ab7c19e1667e40001d7cd93	599925	4	main	slash	51	square	local	RVF	yes	present	1	562
5ab7c19e1667e40001d7cd93	601579	4	main	slash	52	square	local	LVF	yes	present	1	554
5ab7c19e1667e40001d7cd93	603269	4	main	slash	53	square	global	RVF	yes	present	1	469
5ab7c19e1667e40001d7cd93	605242	4	main	slash	54	absent	absent	absent	no	present	0	843
5ab7c19e1667e40001d7cd93	607036	4	main	slash	55	circle	global	RVF	yes	present	1	587
5ab7c19e1667e40001d7cd93	610406	4	main	slash	56	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	611834	4	main	slash	57	circle	global	RVF	yes	present	1	467
5ab7c19e1667e40001d7cd93	614884	4	main	slash	58	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	616278	4	main	slash	59	circle	local	RVF	yes	present	1	461
5ab7c19e1667e40001d7cd93	619310	4	main	slash	60	absent	absent	absent	no	absent	1	2000
5ab7c19e1667e40001d7cd93	620844	4	main	slash	61	square	local	LVF	yes	present	1	607
