subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bcc60b95c2b810001dc68e2	130823	1	practice	z	1	absent	absent	absent	no	absent	1	2000
5bcc60b95c2b810001dc68e2	135243	1	practice	z	2	square	global	RVF	yes	present	1	1451
5bcc60b95c2b810001dc68e2	139426	1	practice	z	3	circle	local	RVF	yes	present	1	1402
5bcc60b95c2b810001dc68e2	143135	1	practice	z	4	square	global	LVF	yes	present	1	1291
5bcc60b95c2b810001dc68e2	147563	1	practice	z	5	square	local	LVF	yes	absent	0	2000
5bcc60b95c2b810001dc68e2	151342	1	practice	z	6	circle	global	RVF	yes	present	1	1254
5bcc60b95c2b810001dc68e2	154712	1	practice	z	7	circle	global	RVF	yes	present	1	974
5bcc60b95c2b810001dc68e2	158956	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5bcc60b95c2b810001dc68e2	162222	1	practice	z	9	circle	local	RVF	yes	present	1	1053
5bcc60b95c2b810001dc68e2	167633	1	practice	z	10	circle	global	LVF	yes	present	1	972
5bcc60b95c2b810001dc68e2	171353	1	practice	z	11	square	local	LVF	yes	present	1	1045
5bcc60b95c2b810001dc68e2	174732	1	practice	z	12	circle	global	LVF	yes	present	1	1072
5bcc60b95c2b810001dc68e2	178241	1	practice	z	13	circle	local	RVF	yes	present	1	1361
5bcc60b95c2b810001dc68e2	182286	1	practice	z	14	absent	absent	absent	no	absent	1	2000
5bcc60b95c2b810001dc68e2	185327	1	practice	z	15	square	global	LVF	yes	present	1	951
5bcc60b95c2b810001dc68e2	189792	1	practice	z	16	absent	absent	absent	no	present	0	1912
5bcc60b95c2b810001dc68e2	197200	2	main	z	1	square	global	LVF	yes	present	1	1038
5bcc60b95c2b810001dc68e2	199837	2	main	z	2	circle	local	RVF	yes	present	1	944
5bcc60b95c2b810001dc68e2	201738	2	main	z	3	circle	local	RVF	yes	present	1	799
5bcc60b95c2b810001dc68e2	204768	2	main	z	4	absent	absent	absent	no	absent	1	2000
5bcc60b95c2b810001dc68e2	207846	2	main	z	5	absent	absent	absent	no	absent	1	2000
5bcc60b95c2b810001dc68e2	210144	2	main	z	6	square	global	RVF	yes	present	1	1160
