subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c958b7bd676900001e1a73b	164328	1	practice	slash	1	circle	local	RVF	yes	present	1	1055
5c958b7bd676900001e1a73b	170678	1	practice	slash	2	square	local	LVF	yes	absent	0	2000
5c958b7bd676900001e1a73b	176403	1	practice	slash	3	absent	absent	absent	no	present	0	1434
5c958b7bd676900001e1a73b	180126	1	practice	slash	4	circle	global	LVF	yes	present	1	1082
5c958b7bd676900001e1a73b	183346	1	practice	slash	5	circle	local	RVF	yes	present	1	798
5c958b7bd676900001e1a73b	187469	1	practice	slash	6	square	global	RVF	yes	absent	0	2000
5c958b7bd676900001e1a73b	190842	1	practice	slash	7	square	global	LVF	yes	present	1	1253
5c958b7bd676900001e1a73b	195047	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	197842	1	practice	slash	9	circle	global	LVF	yes	present	1	657
5c958b7bd676900001e1a73b	201257	1	practice	slash	10	absent	absent	absent	no	present	0	1462
5c958b7bd676900001e1a73b	204185	1	practice	slash	11	square	global	LVF	yes	present	1	845
5c958b7bd676900001e1a73b	207148	1	practice	slash	12	circle	global	RVF	yes	present	1	933
5c958b7bd676900001e1a73b	211041	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	215095	1	practice	slash	14	square	local	LVF	yes	absent	0	2000
5c958b7bd676900001e1a73b	217846	1	practice	slash	15	circle	local	RVF	yes	present	1	765
5c958b7bd676900001e1a73b	220559	1	practice	slash	16	circle	global	RVF	yes	present	1	743
5c958b7bd676900001e1a73b	227730	2	main	slash	1	circle	local	LVF	yes	present	1	1104
5c958b7bd676900001e1a73b	230585	2	main	slash	2	circle	local	LVF	yes	present	1	1043
5c958b7bd676900001e1a73b	235618	2	main	slash	3	circle	local	RVF	yes	present	1	906
5c958b7bd676900001e1a73b	237644	2	main	slash	4	square	global	LVF	yes	present	1	962
5c958b7bd676900001e1a73b	240731	2	main	slash	5	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	242652	2	main	slash	6	square	local	LVF	yes	present	1	830
5c958b7bd676900001e1a73b	244996	2	main	slash	7	circle	local	LVF	yes	present	1	870
5c958b7bd676900001e1a73b	249903	2	main	slash	8	square	local	LVF	yes	present	1	935
5c958b7bd676900001e1a73b	252118	2	main	slash	9	square	local	RVF	yes	present	1	956
5c958b7bd676900001e1a73b	255137	2	main	slash	10	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	257264	2	main	slash	11	square	local	LVF	yes	present	1	606
5c958b7bd676900001e1a73b	260330	2	main	slash	12	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	262390	2	main	slash	13	square	global	RVF	yes	present	1	1062
5c958b7bd676900001e1a73b	265593	2	main	slash	14	square	local	LVF	yes	absent	0	2000
5c958b7bd676900001e1a73b	267205	2	main	slash	15	circle	local	RVF	yes	present	1	587
5c958b7bd676900001e1a73b	269222	2	main	slash	16	circle	global	LVF	yes	present	1	889
5c958b7bd676900001e1a73b	272193	2	main	slash	17	absent	absent	absent	no	absent	1	2000
5c958b7bd676900001e1a73b	273960	2	main	slash	18	square	global	RVF	yes	present	1	857
5c958b7bd676900001e1a73b	275891	2	main	slash	19	circle	global	LVF	yes	present	1	947
5c958b7bd676900001e1a73b	277795	2	main	slash	20	square	global	RVF	yes	present	1	972
