subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5cd063ce657e300016f6c95a	261070	1	practice	slash	1	square	global	LVF	yes	present	1	606
5cd063ce657e300016f6c95a	265680	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	269156	1	practice	slash	3	circle	global	RVF	yes	present	1	1117
5cd063ce657e300016f6c95a	272340	1	practice	slash	4	circle	local	RVF	yes	present	1	884
5cd063ce657e300016f6c95a	275909	1	practice	slash	5	circle	global	RVF	yes	present	1	1310
5cd063ce657e300016f6c95a	278917	1	practice	slash	6	circle	global	LVF	yes	present	1	799
5cd063ce657e300016f6c95a	282421	1	practice	slash	7	absent	absent	absent	no	present	0	1314
5cd063ce657e300016f6c95a	285332	1	practice	slash	8	circle	local	RVF	yes	present	1	626
5cd063ce657e300016f6c95a	288437	1	practice	slash	9	square	global	LVF	yes	present	1	926
5cd063ce657e300016f6c95a	292654	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	295729	1	practice	slash	11	square	global	RVF	yes	present	1	936
5cd063ce657e300016f6c95a	299224	1	practice	slash	12	circle	local	RVF	yes	present	1	1290
5cd063ce657e300016f6c95a	302138	1	practice	slash	13	square	local	LVF	yes	present	1	859
5cd063ce657e300016f6c95a	305079	1	practice	slash	14	square	local	LVF	yes	present	1	761
5cd063ce657e300016f6c95a	308178	1	practice	slash	15	absent	absent	absent	no	present	0	965
5cd063ce657e300016f6c95a	311412	1	practice	slash	16	circle	global	LVF	yes	present	1	1155
5cd063ce657e300016f6c95a	319774	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	321948	2	main	slash	2	square	local	RVF	yes	present	1	841
5cd063ce657e300016f6c95a	324283	2	main	slash	3	square	global	RVF	yes	present	1	943
5cd063ce657e300016f6c95a	326403	2	main	slash	4	square	local	LVF	yes	present	1	1063
5cd063ce657e300016f6c95a	329429	2	main	slash	5	absent	absent	absent	no	present	0	1778
5cd063ce657e300016f6c95a	331411	2	main	slash	6	circle	global	RVF	yes	present	1	855
5cd063ce657e300016f6c95a	333413	2	main	slash	7	square	local	LVF	yes	present	1	838
5cd063ce657e300016f6c95a	336468	2	main	slash	8	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	338548	2	main	slash	9	circle	local	LVF	yes	present	1	790
5cd063ce657e300016f6c95a	340904	2	main	slash	10	circle	local	RVF	yes	present	1	1144
5cd063ce657e300016f6c95a	342861	2	main	slash	11	square	local	RVF	yes	present	1	846
5cd063ce657e300016f6c95a	345857	2	main	slash	12	circle	global	RVF	yes	absent	0	2000
5cd063ce657e300016f6c95a	347700	2	main	slash	13	square	global	LVF	yes	present	1	775
5cd063ce657e300016f6c95a	349586	2	main	slash	14	circle	local	LVF	yes	present	1	732
5cd063ce657e300016f6c95a	352664	2	main	slash	15	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	354627	2	main	slash	16	circle	global	LVF	yes	present	1	819
5cd063ce657e300016f6c95a	356483	2	main	slash	17	square	global	RVF	yes	present	1	736
5cd063ce657e300016f6c95a	358967	2	main	slash	18	circle	local	RVF	yes	present	1	1249
5cd063ce657e300016f6c95a	360876	2	main	slash	19	circle	local	RVF	yes	present	1	818
5cd063ce657e300016f6c95a	364158	2	main	slash	20	circle	global	LVF	yes	absent	0	2000
5cd063ce657e300016f6c95a	366116	2	main	slash	21	square	global	LVF	yes	present	1	891
5cd063ce657e300016f6c95a	368588	2	main	slash	22	circle	global	RVF	yes	present	1	879
5cd063ce657e300016f6c95a	370867	2	main	slash	23	circle	local	RVF	yes	present	1	1043
5cd063ce657e300016f6c95a	373403	2	main	slash	24	absent	absent	absent	no	present	0	1362
5cd063ce657e300016f6c95a	375335	2	main	slash	25	circle	global	RVF	yes	present	1	782
5cd063ce657e300016f6c95a	377431	2	main	slash	26	square	local	LVF	yes	present	1	995
5cd063ce657e300016f6c95a	379268	2	main	slash	27	square	local	RVF	yes	present	1	826
5cd063ce657e300016f6c95a	381182	2	main	slash	28	square	local	RVF	yes	present	1	809
5cd063ce657e300016f6c95a	383133	2	main	slash	29	circle	global	LVF	yes	present	1	758
5cd063ce657e300016f6c95a	384988	2	main	slash	30	circle	local	LVF	yes	present	1	764
5cd063ce657e300016f6c95a	386835	2	main	slash	31	square	local	LVF	yes	present	1	761
5cd063ce657e300016f6c95a	388666	2	main	slash	32	square	global	LVF	yes	present	1	767
5cd063ce657e300016f6c95a	390468	2	main	slash	33	circle	local	LVF	yes	present	1	800
5cd063ce657e300016f6c95a	392330	2	main	slash	34	square	global	RVF	yes	present	1	725
5cd063ce657e300016f6c95a	395376	2	main	slash	35	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	398559	2	main	slash	36	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	400491	2	main	slash	37	circle	global	LVF	yes	present	1	766
5cd063ce657e300016f6c95a	402196	2	main	slash	38	square	global	LVF	yes	present	1	770
5cd063ce657e300016f6c95a	403820	2	main	slash	39	square	global	RVF	yes	present	1	594
5cd063ce657e300016f6c95a	406963	2	main	slash	40	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	408995	2	main	slash	41	square	local	LVF	yes	present	1	836
5cd063ce657e300016f6c95a	412127	2	main	slash	42	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	414284	2	main	slash	43	circle	local	LVF	yes	present	1	1057
5cd063ce657e300016f6c95a	416111	2	main	slash	44	circle	local	RVF	yes	present	1	773
5cd063ce657e300016f6c95a	418604	2	main	slash	45	circle	global	RVF	yes	present	1	1444
5cd063ce657e300016f6c95a	421738	2	main	slash	46	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	423747	2	main	slash	47	square	local	LVF	yes	present	1	804
5cd063ce657e300016f6c95a	425680	2	main	slash	48	circle	local	RVF	yes	present	1	830
5cd063ce657e300016f6c95a	428677	2	main	slash	49	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	430619	2	main	slash	50	circle	global	LVF	yes	present	1	759
5cd063ce657e300016f6c95a	432508	2	main	slash	51	square	local	RVF	yes	present	1	773
5cd063ce657e300016f6c95a	434315	2	main	slash	52	square	global	RVF	yes	present	1	739
5cd063ce657e300016f6c95a	436139	2	main	slash	53	circle	global	LVF	yes	present	1	745
5cd063ce657e300016f6c95a	437852	2	main	slash	54	circle	local	LVF	yes	present	1	658
5cd063ce657e300016f6c95a	439620	2	main	slash	55	circle	local	RVF	yes	present	1	568
5cd063ce657e300016f6c95a	441236	2	main	slash	56	circle	global	LVF	yes	present	1	550
5cd063ce657e300016f6c95a	442854	2	main	slash	57	circle	local	LVF	yes	present	1	592
5cd063ce657e300016f6c95a	444340	2	main	slash	58	square	global	LVF	yes	present	1	546
5cd063ce657e300016f6c95a	445884	2	main	slash	59	square	local	LVF	yes	present	1	573
5cd063ce657e300016f6c95a	448076	2	main	slash	60	absent	absent	absent	no	present	0	1273
5cd063ce657e300016f6c95a	449895	2	main	slash	61	circle	global	RVF	yes	present	1	781
5cd063ce657e300016f6c95a	451467	2	main	slash	62	square	local	RVF	yes	present	1	657
5cd063ce657e300016f6c95a	454383	2	main	slash	63	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	455947	2	main	slash	64	circle	global	LVF	yes	present	1	511
5cd063ce657e300016f6c95a	457394	2	main	slash	65	square	local	RVF	yes	present	1	502
5cd063ce657e300016f6c95a	460309	2	main	slash	66	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	461857	2	main	slash	67	circle	global	RVF	yes	present	1	510
5cd063ce657e300016f6c95a	463443	2	main	slash	68	square	global	LVF	yes	present	1	598
5cd063ce657e300016f6c95a	465108	2	main	slash	69	square	local	RVF	yes	present	1	646
5cd063ce657e300016f6c95a	468111	2	main	slash	70	square	global	LVF	yes	absent	0	2000
5cd063ce657e300016f6c95a	470301	2	main	slash	71	square	global	RVF	yes	present	1	933
5cd063ce657e300016f6c95a	471989	2	main	slash	72	circle	local	RVF	yes	present	1	776
5cd063ce657e300016f6c95a	473537	2	main	slash	73	circle	global	RVF	yes	present	1	629
5cd063ce657e300016f6c95a	475084	2	main	slash	74	square	local	LVF	yes	present	1	563
5cd063ce657e300016f6c95a	476633	2	main	slash	75	square	global	LVF	yes	present	1	592
5cd063ce657e300016f6c95a	478108	2	main	slash	76	square	global	RVF	yes	present	1	563
5cd063ce657e300016f6c95a	480348	2	main	slash	77	absent	absent	absent	no	present	0	1386
5cd063ce657e300016f6c95a	481748	2	main	slash	78	circle	local	LVF	yes	present	1	586
5cd063ce657e300016f6c95a	484658	2	main	slash	79	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	486276	2	main	slash	80	square	global	RVF	yes	present	1	697
5cd063ce657e300016f6c95a	504829	3	practice	z	1	square	global	LVF	yes	present	1	632
5cd063ce657e300016f6c95a	507509	3	practice	z	2	square	local	LVF	yes	present	1	562
5cd063ce657e300016f6c95a	510180	3	practice	z	3	circle	local	RVF	yes	present	1	501
5cd063ce657e300016f6c95a	512744	3	practice	z	4	square	global	RVF	yes	present	1	410
5cd063ce657e300016f6c95a	515235	3	practice	z	5	circle	local	RVF	yes	present	1	389
5cd063ce657e300016f6c95a	517746	3	practice	z	6	circle	global	RVF	yes	present	1	534
5cd063ce657e300016f6c95a	520152	3	practice	z	7	circle	global	LVF	yes	present	1	461
5cd063ce657e300016f6c95a	522546	3	practice	z	8	circle	global	LVF	yes	present	1	367
5cd063ce657e300016f6c95a	524876	3	practice	z	9	circle	global	RVF	yes	present	1	351
5cd063ce657e300016f6c95a	527348	3	practice	z	10	square	local	LVF	yes	present	1	433
5cd063ce657e300016f6c95a	531277	3	practice	z	11	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	533831	3	practice	z	12	square	global	LVF	yes	present	1	514
5cd063ce657e300016f6c95a	536629	3	practice	z	13	circle	local	RVF	yes	present	1	690
5cd063ce657e300016f6c95a	539173	3	practice	z	14	absent	absent	absent	no	present	0	608
5cd063ce657e300016f6c95a	543386	3	practice	z	15	absent	absent	absent	no	absent	1	2000
5cd063ce657e300016f6c95a	546199	3	practice	z	16	absent	absent	absent	no	present	0	891
5cd063ce657e300016f6c95a	550549	4	main	z	1	circle	local	LVF	yes	present	1	617
5cd063ce657e300016f6c95a	552316	4	main	z	2	square	global	LVF	yes	present	1	497
5cd063ce657e300016f6c95a	553892	4	main	z	3	square	global	RVF	yes	present	1	524
