subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ed53833cb34a1098e5e2bce	266831	1	practice	slash	1	circle	local	RVF	yes	present	1	1445
5ed53833cb34a1098e5e2bce	270968	1	practice	slash	2	circle	global	RVF	yes	present	1	1139
5ed53833cb34a1098e5e2bce	274280	1	practice	slash	3	circle	local	RVF	yes	present	1	1130
5ed53833cb34a1098e5e2bce	277967	1	practice	slash	4	circle	global	LVF	yes	present	1	1242
5ed53833cb34a1098e5e2bce	282113	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	285408	1	practice	slash	6	circle	global	LVF	yes	present	1	1119
5ed53833cb34a1098e5e2bce	288776	1	practice	slash	7	square	local	LVF	yes	present	1	1194
5ed53833cb34a1098e5e2bce	292957	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	296424	1	practice	slash	9	square	global	RVF	yes	present	1	1372
5ed53833cb34a1098e5e2bce	299903	1	practice	slash	10	square	local	LVF	yes	present	1	1211
5ed53833cb34a1098e5e2bce	303977	1	practice	slash	11	square	global	LVF	yes	present	1	1882
5ed53833cb34a1098e5e2bce	308068	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	311264	1	practice	slash	13	circle	local	RVF	yes	present	1	967
5ed53833cb34a1098e5e2bce	315312	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	318440	1	practice	slash	15	circle	global	RVF	yes	present	1	981
5ed53833cb34a1098e5e2bce	321696	1	practice	slash	16	square	global	LVF	yes	present	1	1116
5ed53833cb34a1098e5e2bce	342909	2	main	slash	1	circle	local	RVF	yes	present	1	1080
5ed53833cb34a1098e5e2bce	345495	2	main	slash	2	square	global	LVF	yes	present	1	1066
5ed53833cb34a1098e5e2bce	348750	2	main	slash	3	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	351063	2	main	slash	4	square	local	LVF	yes	present	1	1033
5ed53833cb34a1098e5e2bce	353631	2	main	slash	5	square	local	RVF	yes	present	1	1107
5ed53833cb34a1098e5e2bce	356343	2	main	slash	6	circle	global	LVF	yes	present	1	1111
5ed53833cb34a1098e5e2bce	359007	2	main	slash	7	circle	local	RVF	yes	present	1	1307
5ed53833cb34a1098e5e2bce	362568	2	main	slash	8	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	365349	2	main	slash	9	square	global	RVF	yes	present	1	1137
5ed53833cb34a1098e5e2bce	367983	2	main	slash	10	circle	local	LVF	yes	present	1	1213
5ed53833cb34a1098e5e2bce	370757	2	main	slash	11	square	global	RVF	yes	present	1	1263
5ed53833cb34a1098e5e2bce	373863	2	main	slash	12	circle	local	LVF	yes	present	1	1225
5ed53833cb34a1098e5e2bce	377173	2	main	slash	13	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	380855	2	main	slash	14	square	local	RVF	yes	present	1	1147
5ed53833cb34a1098e5e2bce	384309	2	main	slash	15	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	387623	2	main	slash	16	square	local	LVF	yes	present	1	1153
5ed53833cb34a1098e5e2bce	390623	2	main	slash	17	square	local	RVF	yes	present	1	1339
5ed53833cb34a1098e5e2bce	394263	2	main	slash	18	circle	global	LVF	yes	present	1	1350
5ed53833cb34a1098e5e2bce	398047	2	main	slash	19	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	400735	2	main	slash	20	square	local	RVF	yes	present	1	1060
5ed53833cb34a1098e5e2bce	403447	2	main	slash	21	square	global	LVF	yes	present	1	1265
5ed53833cb34a1098e5e2bce	406199	2	main	slash	22	circle	global	LVF	yes	present	1	1296
5ed53833cb34a1098e5e2bce	409031	2	main	slash	23	square	local	LVF	yes	present	1	1273
5ed53833cb34a1098e5e2bce	411815	2	main	slash	24	circle	local	RVF	yes	present	1	1376
5ed53833cb34a1098e5e2bce	415188	2	main	slash	25	circle	global	RVF	yes	present	1	1410
5ed53833cb34a1098e5e2bce	418576	2	main	slash	26	square	global	RVF	yes	present	1	1467
5ed53833cb34a1098e5e2bce	421495	2	main	slash	27	circle	local	RVF	yes	present	1	1453
5ed53833cb34a1098e5e2bce	424679	2	main	slash	28	square	global	LVF	yes	present	1	1436
5ed53833cb34a1098e5e2bce	427727	2	main	slash	29	square	global	RVF	yes	present	1	1429
5ed53833cb34a1098e5e2bce	431166	2	main	slash	30	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	433815	2	main	slash	31	circle	global	RVF	yes	present	1	1301
5ed53833cb34a1098e5e2bce	436815	2	main	slash	32	square	local	LVF	yes	present	1	1354
5ed53833cb34a1098e5e2bce	439959	2	main	slash	33	circle	global	RVF	yes	present	1	1590
5ed53833cb34a1098e5e2bce	443504	2	main	slash	34	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	447487	2	main	slash	35	circle	global	RVF	yes	present	1	1356
5ed53833cb34a1098e5e2bce	450111	2	main	slash	36	circle	global	LVF	yes	present	1	1379
5ed53833cb34a1098e5e2bce	452783	2	main	slash	37	circle	local	LVF	yes	present	1	1276
5ed53833cb34a1098e5e2bce	456175	2	main	slash	38	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	458975	2	main	slash	39	square	global	LVF	yes	present	1	1266
5ed53833cb34a1098e5e2bce	461783	2	main	slash	40	circle	local	LVF	yes	present	1	1380
5ed53833cb34a1098e5e2bce	464600	2	main	slash	41	circle	local	RVF	yes	present	1	1275
5ed53833cb34a1098e5e2bce	467591	2	main	slash	42	circle	local	RVF	yes	present	1	1478
5ed53833cb34a1098e5e2bce	470383	2	main	slash	43	square	global	LVF	yes	present	1	1217
5ed53833cb34a1098e5e2bce	473808	2	main	slash	44	square	local	LVF	yes	absent	0	2000
5ed53833cb34a1098e5e2bce	476711	2	main	slash	45	circle	global	LVF	yes	present	1	1089
5ed53833cb34a1098e5e2bce	480050	2	main	slash	46	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	483811	2	main	slash	47	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	486343	2	main	slash	48	square	global	RVF	yes	present	1	1264
5ed53833cb34a1098e5e2bce	489095	2	main	slash	49	circle	global	RVF	yes	present	1	1375
5ed53833cb34a1098e5e2bce	492160	2	main	slash	50	square	local	RVF	yes	present	1	1425
5ed53833cb34a1098e5e2bce	495055	2	main	slash	51	circle	local	LVF	yes	present	1	1533
5ed53833cb34a1098e5e2bce	497847	2	main	slash	52	square	local	LVF	yes	present	1	1324
5ed53833cb34a1098e5e2bce	500559	2	main	slash	53	square	local	LVF	yes	present	1	1409
5ed53833cb34a1098e5e2bce	503263	2	main	slash	54	circle	local	RVF	yes	present	1	1298
5ed53833cb34a1098e5e2bce	505967	2	main	slash	55	circle	global	LVF	yes	present	1	1255
5ed53833cb34a1098e5e2bce	509567	2	main	slash	56	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	511935	2	main	slash	57	circle	global	RVF	yes	present	1	1060
5ed53833cb34a1098e5e2bce	514375	2	main	slash	58	circle	global	RVF	yes	present	1	1086
5ed53833cb34a1098e5e2bce	516832	2	main	slash	59	square	local	LVF	yes	present	1	1061
5ed53833cb34a1098e5e2bce	519279	2	main	slash	60	square	global	LVF	yes	present	1	1055
5ed53833cb34a1098e5e2bce	522103	2	main	slash	61	circle	local	LVF	yes	present	1	1225
5ed53833cb34a1098e5e2bce	524695	2	main	slash	62	square	local	RVF	yes	present	1	1136
5ed53833cb34a1098e5e2bce	528161	2	main	slash	63	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	531322	2	main	slash	64	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	533447	2	main	slash	65	square	local	RVF	yes	present	1	965
5ed53833cb34a1098e5e2bce	536764	2	main	slash	66	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	540058	2	main	slash	67	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	542495	2	main	slash	68	square	local	RVF	yes	present	1	1116
5ed53833cb34a1098e5e2bce	544983	2	main	slash	69	circle	global	LVF	yes	present	1	1257
5ed53833cb34a1098e5e2bce	547559	2	main	slash	70	circle	global	LVF	yes	present	1	1205
5ed53833cb34a1098e5e2bce	551116	2	main	slash	71	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	553703	2	main	slash	72	circle	global	RVF	yes	present	1	1334
5ed53833cb34a1098e5e2bce	556391	2	main	slash	73	square	global	RVF	yes	present	1	1421
5ed53833cb34a1098e5e2bce	559224	2	main	slash	74	circle	local	LVF	yes	present	1	1585
5ed53833cb34a1098e5e2bce	561840	2	main	slash	75	circle	local	LVF	yes	present	1	1147
5ed53833cb34a1098e5e2bce	564431	2	main	slash	76	square	global	LVF	yes	present	1	1164
5ed53833cb34a1098e5e2bce	567671	2	main	slash	77	square	global	LVF	yes	present	1	1910
5ed53833cb34a1098e5e2bce	571830	2	main	slash	78	circle	local	RVF	yes	present	1	1198
5ed53833cb34a1098e5e2bce	575738	2	main	slash	79	square	global	RVF	yes	absent	0	2000
5ed53833cb34a1098e5e2bce	578304	2	main	slash	80	square	global	RVF	yes	present	1	1165
5ed53833cb34a1098e5e2bce	633590	3	practice	z	1	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	637997	3	practice	z	2	absent	absent	absent	no	absent	1	2000
5ed53833cb34a1098e5e2bce	641364	3	practice	z	3	square	local	LVF	yes	present	1	1201
5ed53833cb34a1098e5e2bce	644643	3	practice	z	4	circle	global	RVF	yes	present	1	1101
5ed53833cb34a1098e5e2bce	648104	3	practice	z	5	circle	local	RVF	yes	present	1	1367
5ed53833cb34a1098e5e2bce	651256	3	practice	z	6	square	local	LVF	yes	present	1	1024
5ed53833cb34a1098e5e2bce	654440	3	practice	z	7	circle	global	LVF	yes	present	1	1047
5ed53833cb34a1098e5e2bce	657664	3	practice	z	8	circle	local	RVF	yes	present	1	1110
5ed53833cb34a1098e5e2bce	660736	3	practice	z	9	circle	local	RVF	yes	present	1	1034
