subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5fd53e2d08163d37f7cb72f6	219236	1	practice	z	1	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	224631	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	227793	1	practice	z	3	square	local	LVF	yes	present	1	567
5fd53e2d08163d37f7cb72f6	234220	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	237737	1	practice	z	5	circle	global	RVF	yes	present	1	938
5fd53e2d08163d37f7cb72f6	242582	1	practice	z	6	circle	global	LVF	yes	present	1	422
5fd53e2d08163d37f7cb72f6	247325	1	practice	z	7	circle	local	RVF	yes	present	1	536
5fd53e2d08163d37f7cb72f6	251797	1	practice	z	8	circle	global	RVF	yes	present	1	496
5fd53e2d08163d37f7cb72f6	256560	1	practice	z	9	square	global	LVF	yes	present	1	504
5fd53e2d08163d37f7cb72f6	260860	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	263597	1	practice	z	11	square	global	LVF	yes	present	1	475
5fd53e2d08163d37f7cb72f6	266257	1	practice	z	12	circle	local	RVF	yes	present	1	453
5fd53e2d08163d37f7cb72f6	268783	1	practice	z	13	square	global	RVF	yes	present	1	517
5fd53e2d08163d37f7cb72f6	272846	1	practice	z	14	square	local	LVF	yes	absent	0	2000
5fd53e2d08163d37f7cb72f6	275524	1	practice	z	15	circle	local	RVF	yes	present	1	466
5fd53e2d08163d37f7cb72f6	278112	1	practice	z	16	circle	global	LVF	yes	present	1	489
5fd53e2d08163d37f7cb72f6	289743	2	main	z	1	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	293577	2	main	z	2	square	local	RVF	yes	present	1	1438
5fd53e2d08163d37f7cb72f6	296886	2	main	z	3	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	298575	2	main	z	4	circle	global	RVF	yes	present	1	544
5fd53e2d08163d37f7cb72f6	301814	2	main	z	5	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	303420	2	main	z	6	square	local	RVF	yes	present	1	460
5fd53e2d08163d37f7cb72f6	305140	2	main	z	7	circle	global	LVF	yes	present	1	513
5fd53e2d08163d37f7cb72f6	306715	2	main	z	8	circle	local	RVF	yes	present	1	491
5fd53e2d08163d37f7cb72f6	309772	2	main	z	9	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	311634	2	main	z	10	square	global	LVF	yes	present	1	508
5fd53e2d08163d37f7cb72f6	313236	2	main	z	11	circle	global	LVF	yes	present	1	436
5fd53e2d08163d37f7cb72f6	315104	2	main	z	12	circle	local	LVF	yes	present	1	822
5fd53e2d08163d37f7cb72f6	316704	2	main	z	13	circle	global	LVF	yes	present	1	424
5fd53e2d08163d37f7cb72f6	318312	2	main	z	14	circle	local	RVF	yes	present	1	517
5fd53e2d08163d37f7cb72f6	321426	2	main	z	15	square	global	RVF	yes	absent	0	2000
5fd53e2d08163d37f7cb72f6	324706	2	main	z	16	absent	absent	absent	no	absent	1	2000
5fd53e2d08163d37f7cb72f6	326053	2	main	z	17	square	global	LVF	yes	present	1	416
5fd53e2d08163d37f7cb72f6	327585	2	main	z	18	square	global	LVF	yes	present	1	417
5fd53e2d08163d37f7cb72f6	328981	2	main	z	19	circle	global	RVF	yes	present	1	380
5fd53e2d08163d37f7cb72f6	330418	2	main	z	20	circle	local	LVF	yes	present	1	403
5fd53e2d08163d37f7cb72f6	332683	2	main	z	21	square	global	RVF	yes	present	1	703
5fd53e2d08163d37f7cb72f6	334670	2	main	z	22	circle	local	LVF	yes	present	1	892
5fd53e2d08163d37f7cb72f6	336333	2	main	z	23	circle	local	RVF	yes	present	1	491
5fd53e2d08163d37f7cb72f6	337928	2	main	z	24	circle	global	RVF	yes	present	1	554
