subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60fd9503ae873e5130672bc0	161350	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
60fd9503ae873e5130672bc0	166246	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	170025	1	practice	slash	3	circle	local	RVF	yes	present	1	780
60fd9503ae873e5130672bc0	174177	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	177391	1	practice	slash	5	square	global	LVF	yes	present	1	866
60fd9503ae873e5130672bc0	180681	1	practice	slash	6	square	global	RVF	yes	present	1	1008
60fd9503ae873e5130672bc0	184938	1	practice	slash	7	square	local	LVF	yes	absent	0	2000
60fd9503ae873e5130672bc0	189204	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	192443	1	practice	slash	9	circle	global	RVF	yes	present	1	1124
60fd9503ae873e5130672bc0	195768	1	practice	slash	10	circle	local	RVF	yes	present	1	1151
60fd9503ae873e5130672bc0	198572	1	practice	slash	11	circle	global	RVF	yes	present	1	839
60fd9503ae873e5130672bc0	201293	1	practice	slash	12	circle	global	LVF	yes	present	1	728
60fd9503ae873e5130672bc0	204068	1	practice	slash	13	circle	local	RVF	yes	present	1	857
60fd9503ae873e5130672bc0	206631	1	practice	slash	14	square	global	LVF	yes	present	1	670
60fd9503ae873e5130672bc0	209184	1	practice	slash	15	circle	global	LVF	yes	present	1	641
60fd9503ae873e5130672bc0	213192	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	227799	2	main	slash	1	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	229365	2	main	slash	2	circle	global	LVF	yes	present	1	600
60fd9503ae873e5130672bc0	231368	2	main	slash	3	circle	global	LVF	yes	present	1	655
60fd9503ae873e5130672bc0	233170	2	main	slash	4	circle	local	LVF	yes	present	1	690
60fd9503ae873e5130672bc0	235092	2	main	slash	5	square	global	LVF	yes	present	1	714
60fd9503ae873e5130672bc0	236837	2	main	slash	6	square	local	LVF	yes	present	1	675
60fd9503ae873e5130672bc0	238731	2	main	slash	7	circle	local	RVF	yes	present	1	588
60fd9503ae873e5130672bc0	240777	2	main	slash	8	circle	global	LVF	yes	present	1	851
60fd9503ae873e5130672bc0	244009	2	main	slash	9	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	245599	2	main	slash	10	square	global	RVF	yes	present	1	658
60fd9503ae873e5130672bc0	247534	2	main	slash	11	circle	global	RVF	yes	present	1	628
60fd9503ae873e5130672bc0	249527	2	main	slash	12	square	local	RVF	yes	present	1	921
60fd9503ae873e5130672bc0	252738	2	main	slash	13	absent	absent	absent	no	absent	1	2000
60fd9503ae873e5130672bc0	254355	2	main	slash	14	circle	global	LVF	yes	present	1	601
60fd9503ae873e5130672bc0	256105	2	main	slash	15	square	global	RVF	yes	present	1	620
60fd9503ae873e5130672bc0	258207	2	main	slash	16	square	local	RVF	yes	present	1	838
60fd9503ae873e5130672bc0	260194	2	main	slash	17	square	global	LVF	yes	present	1	892
60fd9503ae873e5130672bc0	262676	2	main	slash	18	square	global	LVF	yes	present	1	676
60fd9503ae873e5130672bc0	264788	2	main	slash	19	absent	absent	absent	no	present	0	938
