subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62911ef14fd68295d60ba83b	254179	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
62911ef14fd68295d60ba83b	259319	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
62911ef14fd68295d60ba83b	263434	1	practice	slash	3	square	global	LVF	yes	present	1	1263
62911ef14fd68295d60ba83b	268193	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
62911ef14fd68295d60ba83b	273149	1	practice	slash	5	square	local	LVF	yes	absent	0	2000
62911ef14fd68295d60ba83b	277988	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
62911ef14fd68295d60ba83b	281808	1	practice	slash	7	circle	global	LVF	yes	present	1	1067
62911ef14fd68295d60ba83b	286089	1	practice	slash	8	circle	local	RVF	yes	present	1	1528
62911ef14fd68295d60ba83b	290099	1	practice	slash	9	circle	local	RVF	yes	present	1	1282
62911ef14fd68295d60ba83b	294738	1	practice	slash	10	circle	global	RVF	yes	present	1	1134
62911ef14fd68295d60ba83b	298727	1	practice	slash	11	square	global	LVF	yes	present	1	735
62911ef14fd68295d60ba83b	302789	1	practice	slash	12	square	global	RVF	yes	present	1	894
62911ef14fd68295d60ba83b	307076	1	practice	slash	13	absent	absent	absent	no	present	0	1343
62911ef14fd68295d60ba83b	312240	1	practice	slash	14	circle	global	RVF	yes	present	1	1052
62911ef14fd68295d60ba83b	316325	1	practice	slash	15	circle	global	LVF	yes	present	1	799
62911ef14fd68295d60ba83b	320506	1	practice	slash	16	circle	local	RVF	yes	present	1	1260
62911ef14fd68295d60ba83b	330722	2	main	slash	1	circle	global	LVF	yes	absent	0	2000
62911ef14fd68295d60ba83b	334162	2	main	slash	2	circle	global	RVF	yes	present	1	869
62911ef14fd68295d60ba83b	337350	2	main	slash	3	square	local	RVF	yes	present	1	1205
62911ef14fd68295d60ba83b	339798	2	main	slash	4	square	global	LVF	yes	present	1	1017
62911ef14fd68295d60ba83b	342778	2	main	slash	5	circle	global	RVF	yes	present	1	1327
62911ef14fd68295d60ba83b	346304	2	main	slash	6	circle	local	RVF	yes	absent	0	2000
62911ef14fd68295d60ba83b	348817	2	main	slash	7	circle	global	RVF	yes	present	1	810
62911ef14fd68295d60ba83b	351601	2	main	slash	8	circle	global	LVF	yes	present	1	1108
62911ef14fd68295d60ba83b	354860	2	main	slash	9	square	global	LVF	yes	present	1	930
62911ef14fd68295d60ba83b	358104	2	main	slash	10	square	local	LVF	yes	present	1	1572
62911ef14fd68295d60ba83b	361569	2	main	slash	11	square	local	LVF	yes	absent	0	2000
62911ef14fd68295d60ba83b	365039	2	main	slash	12	absent	absent	absent	no	absent	1	2000
62911ef14fd68295d60ba83b	367318	2	main	slash	13	absent	absent	absent	no	present	0	1576
62911ef14fd68295d60ba83b	370197	2	main	slash	14	square	local	RVF	yes	present	1	1119
62911ef14fd68295d60ba83b	373226	2	main	slash	15	square	global	LVF	yes	present	1	1245
62911ef14fd68295d60ba83b	376866	2	main	slash	16	circle	local	RVF	yes	present	1	1399
