subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6108bb33c59f5718fbf341e5	242095	1	practice	z	1	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	246531	1	practice	z	2	square	global	LVF	yes	present	1	1024
6108bb33c59f5718fbf341e5	251016	1	practice	z	3	square	global	LVF	yes	present	1	1630
6108bb33c59f5718fbf341e5	254447	1	practice	z	4	circle	global	LVF	yes	present	1	1031
6108bb33c59f5718fbf341e5	258812	1	practice	z	5	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	263158	1	practice	z	6	square	local	LVF	yes	absent	0	2000
6108bb33c59f5718fbf341e5	267537	1	practice	z	7	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	270751	1	practice	z	8	circle	local	RVF	yes	present	1	967
6108bb33c59f5718fbf341e5	274109	1	practice	z	9	circle	local	RVF	yes	present	1	1096
6108bb33c59f5718fbf341e5	278293	1	practice	z	10	circle	global	LVF	yes	absent	0	2000
6108bb33c59f5718fbf341e5	281354	1	practice	z	11	circle	local	RVF	yes	present	1	782
6108bb33c59f5718fbf341e5	284368	1	practice	z	12	circle	global	RVF	yes	present	1	899
6108bb33c59f5718fbf341e5	287113	1	practice	z	13	square	global	RVF	yes	present	1	630
6108bb33c59f5718fbf341e5	291311	1	practice	z	14	square	local	LVF	yes	present	1	1996
6108bb33c59f5718fbf341e5	294419	1	practice	z	15	circle	global	RVF	yes	present	1	857
6108bb33c59f5718fbf341e5	298906	1	practice	z	16	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	309505	2	main	z	1	square	local	LVF	yes	present	1	1597
6108bb33c59f5718fbf341e5	313256	2	main	z	2	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	317227	2	main	z	3	circle	global	LVF	yes	present	1	810
6108bb33c59f5718fbf341e5	320036	2	main	z	4	absent	absent	absent	no	present	0	805
6108bb33c59f5718fbf341e5	322689	2	main	z	5	circle	local	LVF	yes	present	1	659
6108bb33c59f5718fbf341e5	325482	2	main	z	6	circle	global	RVF	yes	present	1	623
6108bb33c59f5718fbf341e5	327738	2	main	z	7	circle	global	LVF	yes	present	1	748
6108bb33c59f5718fbf341e5	329603	2	main	z	8	square	global	RVF	yes	present	1	564
6108bb33c59f5718fbf341e5	331802	2	main	z	9	square	global	RVF	yes	present	1	683
6108bb33c59f5718fbf341e5	333851	2	main	z	10	circle	local	RVF	yes	present	1	667
6108bb33c59f5718fbf341e5	335928	2	main	z	11	circle	global	LVF	yes	present	1	796
6108bb33c59f5718fbf341e5	338135	2	main	z	12	square	local	RVF	yes	present	1	921
6108bb33c59f5718fbf341e5	340456	2	main	z	13	square	global	RVF	yes	present	1	944
6108bb33c59f5718fbf341e5	342381	2	main	z	14	circle	local	LVF	yes	present	1	688
6108bb33c59f5718fbf341e5	344792	2	main	z	15	square	local	LVF	yes	present	1	1085
6108bb33c59f5718fbf341e5	346937	2	main	z	16	square	global	LVF	yes	present	1	981
6108bb33c59f5718fbf341e5	349009	2	main	z	17	square	local	LVF	yes	present	1	789
6108bb33c59f5718fbf341e5	352052	2	main	z	18	square	local	RVF	yes	present	1	1818
6108bb33c59f5718fbf341e5	355048	2	main	z	19	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	358229	2	main	z	20	absent	absent	absent	no	absent	1	2000
6108bb33c59f5718fbf341e5	360117	2	main	z	21	square	global	LVF	yes	present	1	775
6108bb33c59f5718fbf341e5	362490	2	main	z	22	square	local	RVF	yes	present	1	966
6108bb33c59f5718fbf341e5	364527	2	main	z	23	circle	global	RVF	yes	present	1	773
