subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b48a9e14acd54000132a67f	147927	1	practice	z	1	square	global	LVF	yes	absent	0	2000
5b48a9e14acd54000132a67f	152525	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	155911	1	practice	z	3	circle	global	LVF	yes	present	1	937
5b48a9e14acd54000132a67f	160138	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	163444	1	practice	z	5	circle	global	LVF	yes	present	1	1025
5b48a9e14acd54000132a67f	167535	1	practice	z	6	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	170696	1	practice	z	7	square	global	LVF	yes	present	1	1130
5b48a9e14acd54000132a67f	173917	1	practice	z	8	circle	global	RVF	yes	present	1	1201
5b48a9e14acd54000132a67f	177495	1	practice	z	9	circle	local	RVF	yes	present	1	1399
5b48a9e14acd54000132a67f	181661	1	practice	z	10	square	local	LVF	yes	absent	0	2000
5b48a9e14acd54000132a67f	184840	1	practice	z	11	circle	global	RVF	yes	present	1	1065
5b48a9e14acd54000132a67f	188178	1	practice	z	12	absent	absent	absent	no	present	0	1270
5b48a9e14acd54000132a67f	191359	1	practice	z	13	square	global	RVF	yes	present	1	1102
5b48a9e14acd54000132a67f	195271	1	practice	z	14	circle	local	RVF	yes	absent	0	2000
5b48a9e14acd54000132a67f	198424	1	practice	z	15	square	local	LVF	yes	present	1	1155
5b48a9e14acd54000132a67f	201996	1	practice	z	16	circle	local	RVF	yes	present	1	1528
5b48a9e14acd54000132a67f	209494	2	main	z	1	square	local	LVF	yes	present	1	566
5b48a9e14acd54000132a67f	212523	2	main	z	2	circle	local	LVF	yes	present	1	565
5b48a9e14acd54000132a67f	214793	2	main	z	3	square	local	RVF	yes	present	1	685
5b48a9e14acd54000132a67f	216870	2	main	z	4	square	local	LVF	yes	present	1	596
5b48a9e14acd54000132a67f	219050	2	main	z	5	circle	local	RVF	yes	present	1	760
5b48a9e14acd54000132a67f	222406	2	main	z	6	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	224222	2	main	z	7	absent	absent	absent	no	present	0	718
5b48a9e14acd54000132a67f	226243	2	main	z	8	circle	global	RVF	yes	present	1	690
5b48a9e14acd54000132a67f	228583	2	main	z	9	absent	absent	absent	no	present	0	781
5b48a9e14acd54000132a67f	230510	2	main	z	10	circle	global	LVF	yes	present	1	676
5b48a9e14acd54000132a67f	232557	2	main	z	11	square	global	LVF	yes	present	1	724
5b48a9e14acd54000132a67f	234640	2	main	z	12	square	global	RVF	yes	present	1	691
5b48a9e14acd54000132a67f	236637	2	main	z	13	circle	global	LVF	yes	present	1	540
5b48a9e14acd54000132a67f	238621	2	main	z	14	square	global	RVF	yes	present	1	708
5b48a9e14acd54000132a67f	240465	2	main	z	15	circle	global	RVF	yes	present	1	418
5b48a9e14acd54000132a67f	243828	2	main	z	16	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	247010	2	main	z	17	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	248401	2	main	z	18	circle	global	RVF	yes	present	1	326
5b48a9e14acd54000132a67f	250209	2	main	z	19	circle	local	LVF	yes	present	1	383
5b48a9e14acd54000132a67f	251955	2	main	z	20	circle	global	LVF	yes	present	1	378
5b48a9e14acd54000132a67f	253717	2	main	z	21	square	global	RVF	yes	present	1	428
5b48a9e14acd54000132a67f	255490	2	main	z	22	circle	local	RVF	yes	present	1	351
5b48a9e14acd54000132a67f	257285	2	main	z	23	square	local	RVF	yes	present	1	375
5b48a9e14acd54000132a67f	259021	2	main	z	24	circle	local	RVF	yes	present	1	334
5b48a9e14acd54000132a67f	262436	2	main	z	25	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	265718	2	main	z	26	absent	absent	absent	no	absent	1	2000
5b48a9e14acd54000132a67f	267555	2	main	z	27	square	local	RVF	yes	present	1	739
