subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b4a6e57d317a20001e2d051	142629	1	practice	slash	1	absent	absent	absent	no	present	0	1070
5b4a6e57d317a20001e2d051	148024	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	151352	1	practice	slash	3	square	local	LVF	yes	present	1	1059
5b4a6e57d317a20001e2d051	155216	1	practice	slash	4	square	local	LVF	yes	present	1	938
5b4a6e57d317a20001e2d051	158521	1	practice	slash	5	square	global	LVF	yes	present	1	961
5b4a6e57d317a20001e2d051	162305	1	practice	slash	6	circle	local	RVF	yes	present	1	1128
5b4a6e57d317a20001e2d051	166458	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	170209	1	practice	slash	8	circle	local	RVF	yes	present	1	882
5b4a6e57d317a20001e2d051	173568	1	practice	slash	9	circle	global	LVF	yes	present	1	957
5b4a6e57d317a20001e2d051	177641	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	180432	1	practice	slash	11	square	global	RVF	yes	present	1	756
5b4a6e57d317a20001e2d051	183431	1	practice	slash	12	circle	local	RVF	yes	present	1	704
5b4a6e57d317a20001e2d051	186375	1	practice	slash	13	circle	global	RVF	yes	present	1	798
5b4a6e57d317a20001e2d051	189441	1	practice	slash	14	square	global	LVF	yes	present	1	829
5b4a6e57d317a20001e2d051	192512	1	practice	slash	15	circle	global	RVF	yes	present	1	751
5b4a6e57d317a20001e2d051	195426	1	practice	slash	16	circle	global	LVF	yes	present	1	750
5b4a6e57d317a20001e2d051	206975	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	209086	2	main	slash	2	circle	global	LVF	yes	present	1	792
5b4a6e57d317a20001e2d051	212289	2	main	slash	3	square	global	RVF	yes	present	1	762
5b4a6e57d317a20001e2d051	214981	2	main	slash	4	square	local	RVF	yes	present	1	1254
5b4a6e57d317a20001e2d051	217462	2	main	slash	5	circle	local	RVF	yes	present	1	1018
5b4a6e57d317a20001e2d051	220292	2	main	slash	6	square	local	LVF	yes	present	1	849
5b4a6e57d317a20001e2d051	222611	2	main	slash	7	circle	global	RVF	yes	present	1	751
5b4a6e57d317a20001e2d051	225858	2	main	slash	8	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	228015	2	main	slash	9	circle	global	LVF	yes	present	1	838
5b4a6e57d317a20001e2d051	231658	2	main	slash	10	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	234874	2	main	slash	11	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	236802	2	main	slash	12	circle	local	RVF	yes	present	1	842
5b4a6e57d317a20001e2d051	238785	2	main	slash	13	circle	global	RVF	yes	present	1	674
5b4a6e57d317a20001e2d051	240703	2	main	slash	14	square	global	RVF	yes	present	1	693
5b4a6e57d317a20001e2d051	242637	2	main	slash	15	square	global	RVF	yes	present	1	744
5b4a6e57d317a20001e2d051	244606	2	main	slash	16	circle	local	LVF	yes	present	1	795
5b4a6e57d317a20001e2d051	246397	2	main	slash	17	square	global	LVF	yes	present	1	754
5b4a6e57d317a20001e2d051	248129	2	main	slash	18	square	local	LVF	yes	present	1	719
5b4a6e57d317a20001e2d051	249842	2	main	slash	19	square	global	LVF	yes	present	1	733
5b4a6e57d317a20001e2d051	251793	2	main	slash	20	circle	global	RVF	yes	present	1	916
5b4a6e57d317a20001e2d051	253517	2	main	slash	21	circle	global	LVF	yes	present	1	690
5b4a6e57d317a20001e2d051	255408	2	main	slash	22	square	local	RVF	yes	present	1	881
5b4a6e57d317a20001e2d051	257142	2	main	slash	23	circle	local	LVF	yes	present	1	732
5b4a6e57d317a20001e2d051	258893	2	main	slash	24	circle	local	LVF	yes	present	1	733
5b4a6e57d317a20001e2d051	260643	2	main	slash	25	circle	local	LVF	yes	present	1	817
5b4a6e57d317a20001e2d051	262355	2	main	slash	26	circle	global	RVF	yes	present	1	711
5b4a6e57d317a20001e2d051	264104	2	main	slash	27	square	local	LVF	yes	present	1	777
5b4a6e57d317a20001e2d051	266613	2	main	slash	28	square	local	RVF	yes	present	1	1536
5b4a6e57d317a20001e2d051	268494	2	main	slash	29	square	global	LVF	yes	present	1	851
5b4a6e57d317a20001e2d051	271375	2	main	slash	30	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	273189	2	main	slash	31	circle	local	RVF	yes	present	1	829
5b4a6e57d317a20001e2d051	274933	2	main	slash	32	square	global	LVF	yes	present	1	741
5b4a6e57d317a20001e2d051	277875	2	main	slash	33	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	279982	2	main	slash	34	square	local	RVF	yes	present	1	539
5b4a6e57d317a20001e2d051	281837	2	main	slash	35	circle	local	RVF	yes	present	1	694
5b4a6e57d317a20001e2d051	283520	2	main	slash	36	square	local	LVF	yes	present	1	727
5b4a6e57d317a20001e2d051	286191	2	main	slash	37	square	global	RVF	yes	present	1	1698
5b4a6e57d317a20001e2d051	288427	2	main	slash	38	circle	global	LVF	yes	present	1	1067
5b4a6e57d317a20001e2d051	291509	2	main	slash	39	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	296374	2	main	slash	40	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	298176	2	main	slash	41	circle	global	RVF	yes	present	1	666
5b4a6e57d317a20001e2d051	299717	2	main	slash	42	circle	global	LVF	yes	present	1	623
5b4a6e57d317a20001e2d051	301339	2	main	slash	43	square	global	RVF	yes	present	1	710
5b4a6e57d317a20001e2d051	303160	2	main	slash	44	circle	local	RVF	yes	present	1	849
5b4a6e57d317a20001e2d051	304835	2	main	slash	45	square	global	LVF	yes	present	1	775
5b4a6e57d317a20001e2d051	306416	2	main	slash	46	circle	local	LVF	yes	present	1	657
5b4a6e57d317a20001e2d051	307989	2	main	slash	47	circle	global	LVF	yes	present	1	645
5b4a6e57d317a20001e2d051	309502	2	main	slash	48	square	global	RVF	yes	present	1	609
5b4a6e57d317a20001e2d051	312409	2	main	slash	49	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	315386	2	main	slash	50	square	local	RVF	yes	present	1	659
5b4a6e57d317a20001e2d051	316897	2	main	slash	51	circle	local	LVF	yes	present	1	621
5b4a6e57d317a20001e2d051	318433	2	main	slash	52	square	global	LVF	yes	present	1	623
5b4a6e57d317a20001e2d051	321359	2	main	slash	53	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	322950	2	main	slash	54	square	local	LVF	yes	present	1	555
5b4a6e57d317a20001e2d051	324498	2	main	slash	55	circle	global	RVF	yes	present	1	637
5b4a6e57d317a20001e2d051	325943	2	main	slash	56	circle	local	LVF	yes	present	1	584
5b4a6e57d317a20001e2d051	327509	2	main	slash	57	circle	local	RVF	yes	present	1	665
5b4a6e57d317a20001e2d051	329127	2	main	slash	58	circle	global	LVF	yes	present	1	667
5b4a6e57d317a20001e2d051	330633	2	main	slash	59	square	local	LVF	yes	present	1	623
5b4a6e57d317a20001e2d051	332086	2	main	slash	60	circle	global	RVF	yes	present	1	559
5b4a6e57d317a20001e2d051	333636	2	main	slash	61	circle	local	RVF	yes	present	1	641
5b4a6e57d317a20001e2d051	335233	2	main	slash	62	circle	local	LVF	yes	present	1	656
5b4a6e57d317a20001e2d051	338141	2	main	slash	63	absent	absent	absent	no	absent	1	2000
5b4a6e57d317a20001e2d051	339835	2	main	slash	64	circle	local	RVF	yes	present	1	609
5b4a6e57d317a20001e2d051	341435	2	main	slash	65	square	local	LVF	yes	present	1	740
