subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5d3522b6eac3d50017df02cb	228872	1	practice	z	1	square	local	LVF	yes	absent	0	2000
5d3522b6eac3d50017df02cb	232634	1	practice	z	2	circle	global	RVF	yes	present	1	612
5d3522b6eac3d50017df02cb	237688	1	practice	z	3	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	242105	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	244715	1	practice	z	5	circle	global	LVF	yes	present	1	478
5d3522b6eac3d50017df02cb	248438	1	practice	z	6	circle	local	RVF	yes	present	1	716
5d3522b6eac3d50017df02cb	252955	1	practice	z	7	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	255593	1	practice	z	8	circle	global	RVF	yes	present	1	571
5d3522b6eac3d50017df02cb	258745	1	practice	z	9	circle	local	RVF	yes	present	1	573
5d3522b6eac3d50017df02cb	261596	1	practice	z	10	square	global	LVF	yes	present	1	592
5d3522b6eac3d50017df02cb	264344	1	practice	z	11	square	global	LVF	yes	present	1	639
5d3522b6eac3d50017df02cb	267072	1	practice	z	12	circle	local	RVF	yes	present	1	716
5d3522b6eac3d50017df02cb	269881	1	practice	z	13	circle	global	LVF	yes	present	1	811
5d3522b6eac3d50017df02cb	272730	1	practice	z	14	square	local	LVF	yes	present	1	824
5d3522b6eac3d50017df02cb	276787	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	279757	1	practice	z	16	square	global	RVF	yes	present	1	702
5d3522b6eac3d50017df02cb	296959	2	main	z	1	circle	local	LVF	yes	present	1	556
5d3522b6eac3d50017df02cb	299079	2	main	z	2	circle	local	LVF	yes	present	1	425
5d3522b6eac3d50017df02cb	301122	2	main	z	3	circle	local	RVF	yes	present	1	469
5d3522b6eac3d50017df02cb	303288	2	main	z	4	circle	local	RVF	yes	present	1	434
5d3522b6eac3d50017df02cb	306719	2	main	z	5	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	309819	2	main	z	6	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	311543	2	main	z	7	square	local	RVF	yes	present	1	524
5d3522b6eac3d50017df02cb	314381	2	main	z	8	square	global	LVF	yes	present	1	695
5d3522b6eac3d50017df02cb	316187	2	main	z	9	square	global	RVF	yes	present	1	509
5d3522b6eac3d50017df02cb	319402	2	main	z	10	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	320940	2	main	z	11	circle	global	LVF	yes	present	1	520
5d3522b6eac3d50017df02cb	323096	2	main	z	12	square	local	RVF	yes	present	1	610
5d3522b6eac3d50017df02cb	325757	2	main	z	13	circle	global	LVF	yes	present	1	638
5d3522b6eac3d50017df02cb	328314	2	main	z	14	square	local	LVF	yes	present	1	1495
5d3522b6eac3d50017df02cb	330544	2	main	z	15	circle	local	RVF	yes	present	1	575
5d3522b6eac3d50017df02cb	334236	2	main	z	16	absent	absent	absent	no	absent	1	2000
5d3522b6eac3d50017df02cb	335884	2	main	z	17	square	global	RVF	yes	present	1	465
