subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e8cc937ee95da07853f938c	182039	1	practice	slash	1	square	global	LVF	yes	absent	0	2000
5e8cc937ee95da07853f938c	188365	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	192139	1	practice	slash	3	square	local	LVF	yes	present	1	431
5e8cc937ee95da07853f938c	196928	1	practice	slash	4	square	local	LVF	yes	absent	0	2000
5e8cc937ee95da07853f938c	201418	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	205819	1	practice	slash	6	circle	global	LVF	yes	present	1	801
5e8cc937ee95da07853f938c	209169	1	practice	slash	7	circle	global	RVF	yes	present	1	471
5e8cc937ee95da07853f938c	212610	1	practice	slash	8	circle	global	RVF	yes	present	1	361
5e8cc937ee95da07853f938c	215628	1	practice	slash	9	circle	local	RVF	yes	present	1	385
5e8cc937ee95da07853f938c	219019	1	practice	slash	10	circle	local	RVF	yes	present	1	841
5e8cc937ee95da07853f938c	221978	1	practice	slash	11	circle	global	LVF	yes	present	1	621
5e8cc937ee95da07853f938c	224809	1	practice	slash	12	absent	absent	absent	no	present	0	441
5e8cc937ee95da07853f938c	229099	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	231849	1	practice	slash	14	circle	local	RVF	yes	present	1	511
5e8cc937ee95da07853f938c	234565	1	practice	slash	15	square	global	RVF	yes	present	1	372
5e8cc937ee95da07853f938c	237348	1	practice	slash	16	square	global	LVF	yes	present	1	431
5e8cc937ee95da07853f938c	248601	2	main	slash	1	square	local	LVF	yes	absent	0	2000
5e8cc937ee95da07853f938c	251247	2	main	slash	2	circle	global	RVF	yes	present	1	382
5e8cc937ee95da07853f938c	254267	2	main	slash	3	square	local	RVF	yes	present	1	681
5e8cc937ee95da07853f938c	257438	2	main	slash	4	square	local	LVF	yes	present	1	1011
5e8cc937ee95da07853f938c	259867	2	main	slash	5	absent	absent	absent	no	present	0	531
5e8cc937ee95da07853f938c	262287	2	main	slash	6	square	global	LVF	yes	present	1	631
5e8cc937ee95da07853f938c	265567	2	main	slash	7	absent	absent	absent	no	present	0	1611
5e8cc937ee95da07853f938c	267557	2	main	slash	8	circle	global	LVF	yes	present	1	581
5e8cc937ee95da07853f938c	270147	2	main	slash	9	square	local	RVF	yes	present	1	1001
5e8cc937ee95da07853f938c	272097	2	main	slash	10	circle	global	LVF	yes	present	1	451
5e8cc937ee95da07853f938c	274627	2	main	slash	11	square	local	LVF	yes	present	1	921
5e8cc937ee95da07853f938c	276627	2	main	slash	12	circle	local	RVF	yes	present	1	558
5e8cc937ee95da07853f938c	278728	2	main	slash	13	square	local	RVF	yes	present	1	511
5e8cc937ee95da07853f938c	282217	2	main	slash	14	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	283904	2	main	slash	15	circle	local	RVF	yes	present	1	372
5e8cc937ee95da07853f938c	286418	2	main	slash	16	circle	global	RVF	yes	present	1	1061
5e8cc937ee95da07853f938c	288578	2	main	slash	17	square	global	RVF	yes	present	1	511
5e8cc937ee95da07853f938c	290807	2	main	slash	18	square	local	RVF	yes	present	1	681
5e8cc937ee95da07853f938c	293847	2	main	slash	19	square	global	LVF	yes	present	1	1521
5e8cc937ee95da07853f938c	297197	2	main	slash	20	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	299097	2	main	slash	21	circle	local	LVF	yes	present	1	691
5e8cc937ee95da07853f938c	301177	2	main	slash	22	circle	global	LVF	yes	present	1	521
5e8cc937ee95da07853f938c	303177	2	main	slash	23	circle	local	RVF	yes	present	1	511
5e8cc937ee95da07853f938c	306697	2	main	slash	24	square	global	LVF	yes	absent	0	2000
5e8cc937ee95da07853f938c	308497	2	main	slash	25	square	global	RVF	yes	present	1	431
5e8cc937ee95da07853f938c	310287	2	main	slash	26	circle	global	RVF	yes	present	1	431
5e8cc937ee95da07853f938c	312347	2	main	slash	27	square	global	RVF	yes	present	1	691
5e8cc937ee95da07853f938c	314287	2	main	slash	28	circle	global	LVF	yes	present	1	561
5e8cc937ee95da07853f938c	317817	2	main	slash	29	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	320967	2	main	slash	30	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	322627	2	main	slash	31	circle	local	RVF	yes	present	1	421
5e8cc937ee95da07853f938c	324697	2	main	slash	32	circle	local	LVF	yes	present	1	531
5e8cc937ee95da07853f938c	326817	2	main	slash	33	circle	global	RVF	yes	present	1	591
5e8cc937ee95da07853f938c	328767	2	main	slash	34	square	local	LVF	yes	present	1	441
5e8cc937ee95da07853f938c	331197	2	main	slash	35	circle	local	LVF	yes	present	1	691
5e8cc937ee95da07853f938c	333057	2	main	slash	36	square	global	RVF	yes	present	1	401
5e8cc937ee95da07853f938c	334857	2	main	slash	37	circle	local	LVF	yes	present	1	421
5e8cc937ee95da07853f938c	337998	2	main	slash	38	absent	absent	absent	no	present	0	1691
5e8cc937ee95da07853f938c	341337	2	main	slash	39	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	343047	2	main	slash	40	square	global	LVF	yes	present	1	401
5e8cc937ee95da07853f938c	345117	2	main	slash	41	absent	absent	absent	no	present	0	401
5e8cc937ee95da07853f938c	347317	2	main	slash	42	circle	local	LVF	yes	present	1	681
5e8cc937ee95da07853f938c	349367	2	main	slash	43	circle	local	LVF	yes	present	1	641
5e8cc937ee95da07853f938c	352017	2	main	slash	44	absent	absent	absent	no	present	0	1171
5e8cc937ee95da07853f938c	355547	2	main	slash	45	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	357137	2	main	slash	46	square	global	RVF	yes	present	1	401
5e8cc937ee95da07853f938c	359048	2	main	slash	47	square	local	RVF	yes	present	1	465
5e8cc937ee95da07853f938c	361068	2	main	slash	48	circle	global	LVF	yes	present	1	531
5e8cc937ee95da07853f938c	362968	2	main	slash	49	square	local	RVF	yes	present	1	421
5e8cc937ee95da07853f938c	364968	2	main	slash	50	circle	global	LVF	yes	present	1	441
5e8cc937ee95da07853f938c	366938	2	main	slash	51	square	global	LVF	yes	present	1	571
5e8cc937ee95da07853f938c	368748	2	main	slash	52	circle	global	RVF	yes	present	1	421
5e8cc937ee95da07853f938c	370588	2	main	slash	53	square	global	RVF	yes	present	1	461
5e8cc937ee95da07853f938c	372278	2	main	slash	54	circle	global	RVF	yes	present	1	441
5e8cc937ee95da07853f938c	374028	2	main	slash	55	square	global	LVF	yes	present	1	511
5e8cc937ee95da07853f938c	377308	2	main	slash	56	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	379328	2	main	slash	57	circle	global	LVF	yes	present	1	451
5e8cc937ee95da07853f938c	381518	2	main	slash	58	square	local	LVF	yes	present	1	791
5e8cc937ee95da07853f938c	383327	2	main	slash	59	circle	local	LVF	yes	present	1	421
5e8cc937ee95da07853f938c	385308	2	main	slash	60	circle	global	RVF	yes	present	1	441
5e8cc937ee95da07853f938c	387918	2	main	slash	61	circle	local	RVF	yes	present	1	1171
5e8cc937ee95da07853f938c	389929	2	main	slash	62	square	local	LVF	yes	present	1	781
5e8cc937ee95da07853f938c	392318	2	main	slash	63	square	local	LVF	yes	present	1	462
5e8cc937ee95da07853f938c	394428	2	main	slash	64	circle	local	RVF	yes	present	1	651
5e8cc937ee95da07853f938c	396037	2	main	slash	65	circle	local	RVF	yes	present	1	351
5e8cc937ee95da07853f938c	397737	2	main	slash	66	square	local	RVF	yes	present	1	361
5e8cc937ee95da07853f938c	399728	2	main	slash	67	absent	absent	absent	no	present	0	601
5e8cc937ee95da07853f938c	401657	2	main	slash	68	square	local	LVF	yes	present	1	491
5e8cc937ee95da07853f938c	403438	2	main	slash	69	square	global	RVF	yes	present	1	421
5e8cc937ee95da07853f938c	405108	2	main	slash	70	circle	global	LVF	yes	present	1	402
5e8cc937ee95da07853f938c	406879	2	main	slash	71	circle	global	RVF	yes	present	1	441
5e8cc937ee95da07853f938c	408518	2	main	slash	72	square	global	LVF	yes	present	1	351
5e8cc937ee95da07853f938c	410118	2	main	slash	73	square	local	RVF	yes	present	1	421
5e8cc937ee95da07853f938c	413487	2	main	slash	74	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	415018	2	main	slash	75	square	global	LVF	yes	present	1	321
5e8cc937ee95da07853f938c	416658	2	main	slash	76	square	global	RVF	yes	present	1	301
5e8cc937ee95da07853f938c	418678	2	main	slash	77	absent	absent	absent	no	present	0	311
5e8cc937ee95da07853f938c	420644	2	main	slash	78	circle	local	RVF	yes	present	1	511
5e8cc937ee95da07853f938c	422448	2	main	slash	79	circle	local	LVF	yes	present	1	451
5e8cc937ee95da07853f938c	425717	2	main	slash	80	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	448960	3	practice	z	1	square	global	LVF	yes	present	1	589
5e8cc937ee95da07853f938c	451580	3	practice	z	2	circle	local	RVF	yes	present	1	441
5e8cc937ee95da07853f938c	454420	3	practice	z	3	circle	global	LVF	yes	present	1	641
5e8cc937ee95da07853f938c	457110	3	practice	z	4	circle	local	RVF	yes	present	1	502
5e8cc937ee95da07853f938c	460552	3	practice	z	5	square	local	LVF	yes	present	1	1320
5e8cc937ee95da07853f938c	464540	3	practice	z	6	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	467411	3	practice	z	7	square	global	LVF	yes	present	1	430
5e8cc937ee95da07853f938c	469951	3	practice	z	8	circle	local	RVF	yes	present	1	431
5e8cc937ee95da07853f938c	473900	3	practice	z	9	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	476391	3	practice	z	10	absent	absent	absent	no	present	0	441
5e8cc937ee95da07853f938c	479252	3	practice	z	11	circle	global	LVF	yes	present	1	681
5e8cc937ee95da07853f938c	481791	3	practice	z	12	absent	absent	absent	no	present	0	431
5e8cc937ee95da07853f938c	485190	3	practice	z	13	square	global	RVF	yes	present	1	781
5e8cc937ee95da07853f938c	489211	3	practice	z	14	circle	global	RVF	yes	absent	0	2000
5e8cc937ee95da07853f938c	491792	3	practice	z	15	circle	global	RVF	yes	present	1	442
5e8cc937ee95da07853f938c	494491	3	practice	z	16	square	local	LVF	yes	present	1	641
5e8cc937ee95da07853f938c	500529	4	main	z	1	square	global	LVF	yes	present	1	1036
5e8cc937ee95da07853f938c	502699	4	main	z	2	circle	global	LVF	yes	present	1	761
5e8cc937ee95da07853f938c	504618	4	main	z	3	square	local	RVF	yes	present	1	542
5e8cc937ee95da07853f938c	506246	4	main	z	4	square	global	LVF	yes	present	1	371
5e8cc937ee95da07853f938c	509549	4	main	z	5	absent	absent	absent	no	absent	1	2000
5e8cc937ee95da07853f938c	511348	4	main	z	6	square	local	LVF	yes	present	1	610
5e8cc937ee95da07853f938c	513909	4	main	z	7	square	global	RVF	yes	present	1	1321
5e8cc937ee95da07853f938c	515418	4	main	z	8	circle	global	RVF	yes	present	1	401
