subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f48c192be8b6224c26c3e50	198114	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
5f48c192be8b6224c26c3e50	203000	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	207434	1	practice	slash	3	square	local	LVF	yes	absent	0	2000
5f48c192be8b6224c26c3e50	210390	1	practice	slash	4	circle	local	RVF	yes	present	1	672
5f48c192be8b6224c26c3e50	213909	1	practice	slash	5	circle	local	RVF	yes	present	1	1224
5f48c192be8b6224c26c3e50	216854	1	practice	slash	6	circle	global	RVF	yes	present	1	700
5f48c192be8b6224c26c3e50	219494	1	practice	slash	7	circle	global	LVF	yes	present	1	473
5f48c192be8b6224c26c3e50	222142	1	practice	slash	8	circle	global	LVF	yes	present	1	486
5f48c192be8b6224c26c3e50	226290	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	230443	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	233291	1	practice	slash	11	square	global	LVF	yes	present	1	627
5f48c192be8b6224c26c3e50	235975	1	practice	slash	12	square	global	LVF	yes	present	1	506
5f48c192be8b6224c26c3e50	238886	1	practice	slash	13	circle	local	RVF	yes	present	1	758
5f48c192be8b6224c26c3e50	241454	1	practice	slash	14	circle	global	RVF	yes	present	1	542
5f48c192be8b6224c26c3e50	245514	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	248166	1	practice	slash	16	square	global	RVF	yes	present	1	435
5f48c192be8b6224c26c3e50	259267	2	main	slash	1	circle	global	LVF	yes	present	1	486
5f48c192be8b6224c26c3e50	261675	2	main	slash	2	square	global	LVF	yes	present	1	426
5f48c192be8b6224c26c3e50	263685	2	main	slash	3	square	global	LVF	yes	present	1	418
5f48c192be8b6224c26c3e50	266547	2	main	slash	4	square	local	RVF	yes	present	1	1480
5f48c192be8b6224c26c3e50	270035	2	main	slash	5	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	273336	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	276887	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	278876	2	main	slash	8	circle	local	RVF	yes	present	1	721
5f48c192be8b6224c26c3e50	281156	2	main	slash	9	circle	global	LVF	yes	present	1	617
5f48c192be8b6224c26c3e50	283524	2	main	slash	10	circle	local	LVF	yes	present	1	751
5f48c192be8b6224c26c3e50	285676	2	main	slash	11	circle	global	RVF	yes	present	1	685
5f48c192be8b6224c26c3e50	289258	2	main	slash	12	absent	absent	absent	no	absent	1	2000
5f48c192be8b6224c26c3e50	292092	2	main	slash	13	square	global	RVF	yes	present	1	1499
5f48c192be8b6224c26c3e50	294492	2	main	slash	14	circle	global	RVF	yes	present	1	865
5f48c192be8b6224c26c3e50	296852	2	main	slash	15	circle	local	LVF	yes	present	1	741
