subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5fa4c21a04bc5912180291bc	1583287	1	practice	z	1	circle	local	RVF	yes	present	1	936
5fa4c21a04bc5912180291bc	1588063	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1591377	1	practice	z	3	square	local	LVF	yes	present	1	1014
5fa4c21a04bc5912180291bc	1595019	1	practice	z	4	circle	global	RVF	yes	present	1	1208
5fa4c21a04bc5912180291bc	1598084	1	practice	z	5	circle	global	LVF	yes	present	1	735
5fa4c21a04bc5912180291bc	1601222	1	practice	z	6	circle	global	RVF	yes	present	1	788
5fa4c21a04bc5912180291bc	1604426	1	practice	z	7	circle	local	RVF	yes	present	1	965
5fa4c21a04bc5912180291bc	1607463	1	practice	z	8	square	global	RVF	yes	present	1	784
5fa4c21a04bc5912180291bc	1611724	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1615091	1	practice	z	10	square	global	LVF	yes	present	1	720
5fa4c21a04bc5912180291bc	1618246	1	practice	z	11	square	local	LVF	yes	present	1	897
5fa4c21a04bc5912180291bc	1622584	1	practice	z	12	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1625522	1	practice	z	13	square	global	LVF	yes	present	1	765
5fa4c21a04bc5912180291bc	1628427	1	practice	z	14	circle	global	LVF	yes	present	1	700
5fa4c21a04bc5912180291bc	1632733	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1636081	1	practice	z	16	circle	local	RVF	yes	present	1	754
5fa4c21a04bc5912180291bc	1645911	2	main	z	1	square	global	RVF	yes	present	1	709
5fa4c21a04bc5912180291bc	1647997	2	main	z	2	square	local	RVF	yes	present	1	712
5fa4c21a04bc5912180291bc	1651164	2	main	z	3	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1654353	2	main	z	4	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1656107	2	main	z	5	circle	global	RVF	yes	present	1	635
5fa4c21a04bc5912180291bc	1658223	2	main	z	6	square	local	RVF	yes	present	1	780
5fa4c21a04bc5912180291bc	1660050	2	main	z	7	square	global	RVF	yes	present	1	762
5fa4c21a04bc5912180291bc	1661932	2	main	z	8	circle	global	RVF	yes	present	1	793
5fa4c21a04bc5912180291bc	1663812	2	main	z	9	square	global	RVF	yes	present	1	841
5fa4c21a04bc5912180291bc	1665586	2	main	z	10	circle	local	RVF	yes	present	1	710
5fa4c21a04bc5912180291bc	1667370	2	main	z	11	square	local	LVF	yes	present	1	750
5fa4c21a04bc5912180291bc	1669011	2	main	z	12	circle	global	RVF	yes	present	1	624
5fa4c21a04bc5912180291bc	1670676	2	main	z	13	circle	local	LVF	yes	present	1	618
5fa4c21a04bc5912180291bc	1672304	2	main	z	14	circle	global	LVF	yes	present	1	629
5fa4c21a04bc5912180291bc	1673953	2	main	z	15	circle	global	RVF	yes	present	1	664
5fa4c21a04bc5912180291bc	1675744	2	main	z	16	absent	absent	absent	no	present	0	828
5fa4c21a04bc5912180291bc	1677380	2	main	z	17	square	global	RVF	yes	present	1	696
5fa4c21a04bc5912180291bc	1678924	2	main	z	18	square	global	LVF	yes	present	1	602
5fa4c21a04bc5912180291bc	1681855	2	main	z	19	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1683537	2	main	z	20	square	global	LVF	yes	present	1	633
5fa4c21a04bc5912180291bc	1685162	2	main	z	21	square	local	LVF	yes	present	1	690
5fa4c21a04bc5912180291bc	1686775	2	main	z	22	square	global	LVF	yes	present	1	652
5fa4c21a04bc5912180291bc	1689660	2	main	z	23	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1691325	2	main	z	24	circle	local	LVF	yes	present	1	532
5fa4c21a04bc5912180291bc	1692926	2	main	z	25	circle	local	RVF	yes	present	1	655
5fa4c21a04bc5912180291bc	1694568	2	main	z	26	square	local	LVF	yes	present	1	673
5fa4c21a04bc5912180291bc	1696057	2	main	z	27	circle	global	LVF	yes	present	1	569
5fa4c21a04bc5912180291bc	1697589	2	main	z	28	square	local	RVF	yes	present	1	618
5fa4c21a04bc5912180291bc	1699159	2	main	z	29	square	global	LVF	yes	present	1	649
5fa4c21a04bc5912180291bc	1700707	2	main	z	30	square	local	LVF	yes	present	1	603
5fa4c21a04bc5912180291bc	1702210	2	main	z	31	circle	local	LVF	yes	present	1	555
5fa4c21a04bc5912180291bc	1703658	2	main	z	32	circle	global	LVF	yes	present	1	555
5fa4c21a04bc5912180291bc	1705109	2	main	z	33	circle	local	RVF	yes	present	1	585
5fa4c21a04bc5912180291bc	1707961	2	main	z	34	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1711076	2	main	z	35	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1712672	2	main	z	36	circle	global	LVF	yes	present	1	527
5fa4c21a04bc5912180291bc	1714214	2	main	z	37	circle	local	RVF	yes	present	1	616
5fa4c21a04bc5912180291bc	1715660	2	main	z	38	circle	local	LVF	yes	present	1	548
5fa4c21a04bc5912180291bc	1717257	2	main	z	39	square	local	RVF	yes	present	1	700
5fa4c21a04bc5912180291bc	1720092	2	main	z	40	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1721747	2	main	z	41	circle	local	RVF	yes	present	1	559
5fa4c21a04bc5912180291bc	1723268	2	main	z	42	circle	global	RVF	yes	present	1	634
5fa4c21a04bc5912180291bc	1724676	2	main	z	43	circle	global	LVF	yes	present	1	488
5fa4c21a04bc5912180291bc	1726118	2	main	z	44	circle	local	LVF	yes	present	1	515
5fa4c21a04bc5912180291bc	1728976	2	main	z	45	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1730637	2	main	z	46	circle	global	RVF	yes	present	1	519
5fa4c21a04bc5912180291bc	1732189	2	main	z	47	square	global	LVF	yes	present	1	671
5fa4c21a04bc5912180291bc	1733611	2	main	z	48	square	global	LVF	yes	present	1	573
5fa4c21a04bc5912180291bc	1735098	2	main	z	49	circle	global	LVF	yes	present	1	597
5fa4c21a04bc5912180291bc	1737951	2	main	z	50	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1739645	2	main	z	51	circle	global	LVF	yes	present	1	549
5fa4c21a04bc5912180291bc	1741131	2	main	z	52	square	local	RVF	yes	present	1	636
5fa4c21a04bc5912180291bc	1744010	2	main	z	53	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1746135	2	main	z	54	square	local	LVF	yes	present	1	675
5fa4c21a04bc5912180291bc	1747894	2	main	z	55	square	global	RVF	yes	present	1	606
5fa4c21a04bc5912180291bc	1750804	2	main	z	56	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1752561	2	main	z	57	square	global	RVF	yes	present	1	689
5fa4c21a04bc5912180291bc	1754478	2	main	z	58	absent	absent	absent	no	present	0	820
5fa4c21a04bc5912180291bc	1756153	2	main	z	59	circle	local	RVF	yes	present	1	531
5fa4c21a04bc5912180291bc	1757805	2	main	z	60	square	local	RVF	yes	present	1	696
5fa4c21a04bc5912180291bc	1759278	2	main	z	61	square	local	RVF	yes	present	1	607
5fa4c21a04bc5912180291bc	1760626	2	main	z	62	circle	local	LVF	yes	present	1	472
5fa4c21a04bc5912180291bc	1763520	2	main	z	63	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1765127	2	main	z	64	circle	global	RVF	yes	present	1	534
5fa4c21a04bc5912180291bc	1766813	2	main	z	65	square	global	RVF	yes	present	1	792
5fa4c21a04bc5912180291bc	1769824	2	main	z	66	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1771476	2	main	z	67	circle	global	RVF	yes	present	1	586
5fa4c21a04bc5912180291bc	1772948	2	main	z	68	square	local	RVF	yes	present	1	572
5fa4c21a04bc5912180291bc	1774515	2	main	z	69	circle	local	LVF	yes	present	1	541
5fa4c21a04bc5912180291bc	1777405	2	main	z	70	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	1778970	2	main	z	71	circle	local	LVF	yes	present	1	516
5fa4c21a04bc5912180291bc	1780314	2	main	z	72	circle	local	RVF	yes	present	1	476
5fa4c21a04bc5912180291bc	1781760	2	main	z	73	circle	local	RVF	yes	present	1	555
5fa4c21a04bc5912180291bc	1783223	2	main	z	74	square	global	RVF	yes	present	1	620
5fa4c21a04bc5912180291bc	1784587	2	main	z	75	square	global	LVF	yes	present	1	526
5fa4c21a04bc5912180291bc	1785961	2	main	z	76	square	local	LVF	yes	present	1	489
5fa4c21a04bc5912180291bc	1787260	2	main	z	77	square	global	LVF	yes	present	1	437
5fa4c21a04bc5912180291bc	1788636	2	main	z	78	circle	global	LVF	yes	present	1	498
5fa4c21a04bc5912180291bc	1789941	2	main	z	79	square	local	LVF	yes	present	1	454
5fa4c21a04bc5912180291bc	1791316	2	main	z	80	square	local	LVF	yes	present	1	490
5fa4c21a04bc5912180291bc	1963098	3	practice	slash	1	square	local	LVF	yes	absent	0	2000
5fa4c21a04bc5912180291bc	1967393	3	practice	slash	2	circle	global	LVF	yes	present	1	388
5fa4c21a04bc5912180291bc	1970412	3	practice	slash	3	square	global	RVF	yes	present	1	515
5fa4c21a04bc5912180291bc	1973188	3	practice	slash	4	circle	global	LVF	yes	present	1	444
5fa4c21a04bc5912180291bc	1975950	3	practice	slash	5	square	local	LVF	yes	present	1	488
5fa4c21a04bc5912180291bc	1978493	3	practice	slash	6	circle	global	RVF	yes	present	1	434
5fa4c21a04bc5912180291bc	1981103	3	practice	slash	7	circle	local	RVF	yes	present	1	407
5fa4c21a04bc5912180291bc	1983665	3	practice	slash	8	square	global	LVF	yes	present	1	445
5fa4c21a04bc5912180291bc	1986500	3	practice	slash	9	circle	local	RVF	yes	present	1	471
5fa4c21a04bc5912180291bc	1989095	3	practice	slash	10	circle	global	RVF	yes	present	1	386
5fa4c21a04bc5912180291bc	1991625	3	practice	slash	11	absent	absent	absent	no	present	0	430
5fa4c21a04bc5912180291bc	1994270	3	practice	slash	12	square	global	LVF	yes	present	1	403
5fa4c21a04bc5912180291bc	1998572	3	practice	slash	13	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2001797	3	practice	slash	14	circle	local	RVF	yes	present	1	881
5fa4c21a04bc5912180291bc	2006180	3	practice	slash	15	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2010395	3	practice	slash	16	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2015512	4	main	slash	1	square	local	LVF	yes	present	1	757
5fa4c21a04bc5912180291bc	2017246	4	main	slash	2	square	global	LVF	yes	present	1	491
5fa4c21a04bc5912180291bc	2018895	4	main	slash	3	square	global	LVF	yes	present	1	606
5fa4c21a04bc5912180291bc	2020461	4	main	slash	4	circle	global	RVF	yes	present	1	574
5fa4c21a04bc5912180291bc	2023391	4	main	slash	5	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2025002	4	main	slash	6	circle	global	RVF	yes	present	1	526
5fa4c21a04bc5912180291bc	2026601	4	main	slash	7	square	local	RVF	yes	present	1	609
5fa4c21a04bc5912180291bc	2029538	4	main	slash	8	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2031283	4	main	slash	9	circle	local	LVF	yes	present	1	579
5fa4c21a04bc5912180291bc	2032719	4	main	slash	10	circle	local	RVF	yes	present	1	481
5fa4c21a04bc5912180291bc	2034179	4	main	slash	11	circle	global	RVF	yes	present	1	540
5fa4c21a04bc5912180291bc	2035625	4	main	slash	12	square	global	RVF	yes	present	1	537
5fa4c21a04bc5912180291bc	2036927	4	main	slash	13	circle	global	RVF	yes	present	1	454
5fa4c21a04bc5912180291bc	2038363	4	main	slash	14	square	local	RVF	yes	present	1	560
5fa4c21a04bc5912180291bc	2039773	4	main	slash	15	circle	global	LVF	yes	present	1	514
5fa4c21a04bc5912180291bc	2041026	4	main	slash	16	circle	local	RVF	yes	present	1	437
5fa4c21a04bc5912180291bc	2042271	4	main	slash	17	circle	local	LVF	yes	present	1	391
5fa4c21a04bc5912180291bc	2043558	4	main	slash	18	square	global	LVF	yes	present	1	445
5fa4c21a04bc5912180291bc	2046389	4	main	slash	19	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2047751	4	main	slash	20	circle	global	LVF	yes	present	1	365
5fa4c21a04bc5912180291bc	2049047	4	main	slash	21	square	global	RVF	yes	present	1	424
5fa4c21a04bc5912180291bc	2050272	4	main	slash	22	circle	global	LVF	yes	present	1	386
5fa4c21a04bc5912180291bc	2051457	4	main	slash	23	circle	local	RVF	yes	present	1	389
5fa4c21a04bc5912180291bc	2052650	4	main	slash	24	square	local	LVF	yes	present	1	391
5fa4c21a04bc5912180291bc	2053846	4	main	slash	25	square	global	RVF	yes	present	1	425
5fa4c21a04bc5912180291bc	2056678	4	main	slash	26	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2059790	4	main	slash	27	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2061275	4	main	slash	28	circle	local	LVF	yes	present	1	431
5fa4c21a04bc5912180291bc	2062662	4	main	slash	29	square	global	RVF	yes	present	1	541
5fa4c21a04bc5912180291bc	2065491	4	main	slash	30	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2066882	4	main	slash	31	square	local	RVF	yes	present	1	474
5fa4c21a04bc5912180291bc	2068326	4	main	slash	32	circle	local	RVF	yes	present	1	452
5fa4c21a04bc5912180291bc	2069605	4	main	slash	33	circle	global	LVF	yes	present	1	407
5fa4c21a04bc5912180291bc	2072442	4	main	slash	34	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2073921	4	main	slash	35	square	local	LVF	yes	present	1	452
5fa4c21a04bc5912180291bc	2075264	4	main	slash	36	absent	absent	absent	no	present	0	412
5fa4c21a04bc5912180291bc	2076526	4	main	slash	37	circle	local	LVF	yes	present	1	454
5fa4c21a04bc5912180291bc	2077828	4	main	slash	38	square	local	LVF	yes	present	1	423
5fa4c21a04bc5912180291bc	2079115	4	main	slash	39	square	local	RVF	yes	present	1	475
5fa4c21a04bc5912180291bc	2080345	4	main	slash	40	square	global	LVF	yes	present	1	416
5fa4c21a04bc5912180291bc	2081649	4	main	slash	41	square	global	RVF	yes	present	1	461
5fa4c21a04bc5912180291bc	2082977	4	main	slash	42	absent	absent	absent	no	present	0	474
5fa4c21a04bc5912180291bc	2084265	4	main	slash	43	circle	local	LVF	yes	present	1	439
5fa4c21a04bc5912180291bc	2085549	4	main	slash	44	circle	local	RVF	yes	present	1	480
5fa4c21a04bc5912180291bc	2086771	4	main	slash	45	circle	global	LVF	yes	present	1	382
5fa4c21a04bc5912180291bc	2088009	4	main	slash	46	square	local	RVF	yes	present	1	471
5fa4c21a04bc5912180291bc	2090810	4	main	slash	47	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2092260	4	main	slash	48	circle	local	RVF	yes	present	1	399
5fa4c21a04bc5912180291bc	2093447	4	main	slash	49	circle	local	LVF	yes	present	1	359
5fa4c21a04bc5912180291bc	2094650	4	main	slash	50	circle	global	RVF	yes	present	1	408
5fa4c21a04bc5912180291bc	2097439	4	main	slash	51	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2098944	4	main	slash	52	circle	global	RVF	yes	present	1	453
5fa4c21a04bc5912180291bc	2100191	4	main	slash	53	square	global	RVF	yes	present	1	435
5fa4c21a04bc5912180291bc	2101368	4	main	slash	54	absent	absent	absent	no	present	0	397
5fa4c21a04bc5912180291bc	2104226	4	main	slash	55	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2105755	4	main	slash	56	square	local	LVF	yes	present	1	486
5fa4c21a04bc5912180291bc	2106994	4	main	slash	57	square	global	RVF	yes	present	1	421
5fa4c21a04bc5912180291bc	2108229	4	main	slash	58	square	global	LVF	yes	present	1	444
5fa4c21a04bc5912180291bc	2109410	4	main	slash	59	square	local	LVF	yes	present	1	406
5fa4c21a04bc5912180291bc	2110603	4	main	slash	60	square	global	LVF	yes	present	1	379
5fa4c21a04bc5912180291bc	2111799	4	main	slash	61	circle	global	RVF	yes	present	1	418
5fa4c21a04bc5912180291bc	2113007	4	main	slash	62	circle	global	LVF	yes	present	1	379
5fa4c21a04bc5912180291bc	2114225	4	main	slash	63	square	local	RVF	yes	present	1	455
5fa4c21a04bc5912180291bc	2117006	4	main	slash	64	absent	absent	absent	no	absent	1	2000
5fa4c21a04bc5912180291bc	2118468	4	main	slash	65	square	local	LVF	yes	present	1	395
5fa4c21a04bc5912180291bc	2119678	4	main	slash	66	circle	global	LVF	yes	present	1	412
5fa4c21a04bc5912180291bc	2120935	4	main	slash	67	absent	absent	absent	no	present	0	463
5fa4c21a04bc5912180291bc	2122266	4	main	slash	68	circle	local	RVF	yes	present	1	424
5fa4c21a04bc5912180291bc	2123672	4	main	slash	69	square	local	LVF	yes	present	1	602
5fa4c21a04bc5912180291bc	2124837	4	main	slash	70	circle	local	LVF	yes	present	1	408
5fa4c21a04bc5912180291bc	2126057	4	main	slash	71	circle	local	RVF	yes	present	1	438
5fa4c21a04bc5912180291bc	2127373	4	main	slash	72	square	global	LVF	yes	present	1	512
5fa4c21a04bc5912180291bc	2128506	4	main	slash	73	square	global	RVF	yes	present	1	399
5fa4c21a04bc5912180291bc	2129727	4	main	slash	74	circle	local	LVF	yes	present	1	454
5fa4c21a04bc5912180291bc	2130920	4	main	slash	75	circle	global	LVF	yes	present	1	431
5fa4c21a04bc5912180291bc	2132136	4	main	slash	76	square	local	RVF	yes	present	1	461
5fa4c21a04bc5912180291bc	2133319	4	main	slash	77	circle	global	RVF	yes	present	1	449
5fa4c21a04bc5912180291bc	2134471	4	main	slash	78	square	local	RVF	yes	present	1	418
