subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62e02c0c79f1992f7095ec7f	208660	1	practice	slash	1	square	global	RVF	yes	present	1	1966
62e02c0c79f1992f7095ec7f	216934	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
62e02c0c79f1992f7095ec7f	221869	1	practice	slash	3	square	global	LVF	yes	present	1	1172
62e02c0c79f1992f7095ec7f	226217	1	practice	slash	4	circle	local	RVF	yes	present	1	1150
62e02c0c79f1992f7095ec7f	229879	1	practice	slash	5	circle	local	RVF	yes	present	1	884
62e02c0c79f1992f7095ec7f	233145	1	practice	slash	6	circle	global	LVF	yes	present	1	678
62e02c0c79f1992f7095ec7f	236655	1	practice	slash	7	circle	local	RVF	yes	present	1	771
62e02c0c79f1992f7095ec7f	239665	1	practice	slash	8	circle	global	RVF	yes	present	1	733
62e02c0c79f1992f7095ec7f	242706	1	practice	slash	9	circle	global	LVF	yes	present	1	709
62e02c0c79f1992f7095ec7f	246160	1	practice	slash	10	square	local	LVF	yes	present	1	1173
62e02c0c79f1992f7095ec7f	249576	1	practice	slash	11	square	local	LVF	yes	present	1	1257
62e02c0c79f1992f7095ec7f	253865	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
62e02c0c79f1992f7095ec7f	257015	1	practice	slash	13	absent	absent	absent	no	present	0	729
62e02c0c79f1992f7095ec7f	260096	1	practice	slash	14	absent	absent	absent	no	present	0	778
62e02c0c79f1992f7095ec7f	262990	1	practice	slash	15	circle	global	RVF	yes	present	1	731
62e02c0c79f1992f7095ec7f	265823	1	practice	slash	16	square	global	LVF	yes	present	1	755
62e02c0c79f1992f7095ec7f	274778	2	main	slash	1	square	global	RVF	yes	present	1	648
62e02c0c79f1992f7095ec7f	277829	2	main	slash	2	absent	absent	absent	no	present	0	695
62e02c0c79f1992f7095ec7f	280767	2	main	slash	3	circle	local	LVF	yes	present	1	656
62e02c0c79f1992f7095ec7f	283384	2	main	slash	4	absent	absent	absent	no	present	0	700
62e02c0c79f1992f7095ec7f	286073	2	main	slash	5	circle	local	RVF	yes	present	1	640
62e02c0c79f1992f7095ec7f	288066	2	main	slash	6	circle	local	LVF	yes	present	1	520
62e02c0c79f1992f7095ec7f	290066	2	main	slash	7	square	local	LVF	yes	present	1	615
62e02c0c79f1992f7095ec7f	291840	2	main	slash	8	square	local	RVF	yes	present	1	551
62e02c0c79f1992f7095ec7f	293684	2	main	slash	9	square	global	RVF	yes	present	1	650
62e02c0c79f1992f7095ec7f	296884	2	main	slash	10	absent	absent	absent	no	absent	1	2000
62e02c0c79f1992f7095ec7f	298525	2	main	slash	11	square	local	LVF	yes	present	1	390
62e02c0c79f1992f7095ec7f	300636	2	main	slash	12	circle	local	RVF	yes	present	1	410
62e02c0c79f1992f7095ec7f	302520	2	main	slash	13	square	global	LVF	yes	present	1	395
62e02c0c79f1992f7095ec7f	304468	2	main	slash	14	circle	local	LVF	yes	present	1	494
62e02c0c79f1992f7095ec7f	306516	2	main	slash	15	square	global	LVF	yes	present	1	822
62e02c0c79f1992f7095ec7f	308392	2	main	slash	16	square	local	LVF	yes	present	1	635
62e02c0c79f1992f7095ec7f	311618	2	main	slash	17	absent	absent	absent	no	absent	1	2000
62e02c0c79f1992f7095ec7f	313211	2	main	slash	18	square	local	RVF	yes	present	1	493
62e02c0c79f1992f7095ec7f	315221	2	main	slash	19	square	global	LVF	yes	present	1	570
62e02c0c79f1992f7095ec7f	316939	2	main	slash	20	circle	local	RVF	yes	present	1	409
62e02c0c79f1992f7095ec7f	318674	2	main	slash	21	square	global	RVF	yes	present	1	468
62e02c0c79f1992f7095ec7f	320358	2	main	slash	22	circle	global	LVF	yes	present	1	523
62e02c0c79f1992f7095ec7f	321950	2	main	slash	23	circle	global	LVF	yes	present	1	523
62e02c0c79f1992f7095ec7f	323550	2	main	slash	24	absent	absent	absent	no	present	0	518
62e02c0c79f1992f7095ec7f	325223	2	main	slash	25	square	local	LVF	yes	present	1	655
62e02c0c79f1992f7095ec7f	326810	2	main	slash	26	square	local	RVF	yes	present	1	608
62e02c0c79f1992f7095ec7f	328537	2	main	slash	27	square	global	RVF	yes	present	1	700
62e02c0c79f1992f7095ec7f	331535	2	main	slash	28	absent	absent	absent	no	absent	1	2000
62e02c0c79f1992f7095ec7f	334380	2	main	slash	29	square	local	RVF	yes	present	1	1595
62e02c0c79f1992f7095ec7f	336168	2	main	slash	30	circle	global	LVF	yes	present	1	549
62e02c0c79f1992f7095ec7f	338112	2	main	slash	31	circle	local	RVF	yes	present	1	401
62e02c0c79f1992f7095ec7f	339675	2	main	slash	32	circle	global	LVF	yes	present	1	540
