subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
632436c12617a96bb55a2ca8	226218	1	practice	z	1	square	local	LVF	yes	present	1	510
632436c12617a96bb55a2ca8	229128	1	practice	z	2	square	global	LVF	yes	present	1	313
632436c12617a96bb55a2ca8	231656	1	practice	z	3	absent	absent	absent	no	present	0	81
632436c12617a96bb55a2ca8	234374	1	practice	z	4	absent	absent	absent	no	present	0	249
632436c12617a96bb55a2ca8	236735	1	practice	z	5	circle	global	LVF	yes	present	1	111
632436c12617a96bb55a2ca8	238861	1	practice	z	6	absent	absent	absent	no	present	0	87
632436c12617a96bb55a2ca8	242285	1	practice	z	7	square	global	RVF	yes	present	1	1494
632436c12617a96bb55a2ca8	245166	1	practice	z	8	absent	absent	absent	no	present	0	926
632436c12617a96bb55a2ca8	248140	1	practice	z	9	circle	local	RVF	yes	present	1	965
632436c12617a96bb55a2ca8	252340	1	practice	z	10	circle	global	RVF	yes	present	1	465
632436c12617a96bb55a2ca8	255387	1	practice	z	11	square	global	LVF	yes	present	1	1028
632436c12617a96bb55a2ca8	258181	1	practice	z	12	circle	global	RVF	yes	present	1	657
632436c12617a96bb55a2ca8	261676	1	practice	z	13	circle	local	RVF	yes	present	1	1302
632436c12617a96bb55a2ca8	264857	1	practice	z	14	circle	global	LVF	yes	present	1	1077
632436c12617a96bb55a2ca8	268184	1	practice	z	15	square	local	LVF	yes	present	1	1291
632436c12617a96bb55a2ca8	271494	1	practice	z	16	circle	local	RVF	yes	present	1	702
632436c12617a96bb55a2ca8	279103	2	main	z	1	square	local	LVF	yes	present	1	448
632436c12617a96bb55a2ca8	281735	2	main	z	2	circle	global	RVF	yes	present	1	445
632436c12617a96bb55a2ca8	286189	2	main	z	3	square	local	RVF	yes	absent	0	2000
632436c12617a96bb55a2ca8	288224	2	main	z	4	square	local	LVF	yes	present	1	602
632436c12617a96bb55a2ca8	290939	2	main	z	5	square	global	LVF	yes	present	1	800
632436c12617a96bb55a2ca8	293537	2	main	z	6	circle	local	RVF	yes	present	1	1232
632436c12617a96bb55a2ca8	296655	2	main	z	7	circle	local	RVF	yes	present	1	1933
632436c12617a96bb55a2ca8	298559	2	main	z	8	square	global	RVF	yes	present	1	686
632436c12617a96bb55a2ca8	301757	2	main	z	9	absent	absent	absent	no	absent	1	2000
632436c12617a96bb55a2ca8	303687	2	main	z	10	circle	global	LVF	yes	present	1	615
632436c12617a96bb55a2ca8	305927	2	main	z	11	absent	absent	absent	no	present	0	939
632436c12617a96bb55a2ca8	307920	2	main	z	12	circle	local	LVF	yes	present	1	865
632436c12617a96bb55a2ca8	311113	2	main	z	13	circle	global	RVF	yes	present	1	1541
632436c12617a96bb55a2ca8	314613	2	main	z	14	circle	global	LVF	yes	present	1	1155
632436c12617a96bb55a2ca8	316889	2	main	z	15	square	local	LVF	yes	present	1	675
632436c12617a96bb55a2ca8	319319	2	main	z	16	square	global	RVF	yes	present	1	1003
632436c12617a96bb55a2ca8	321993	2	main	z	17	absent	absent	absent	no	present	0	487
632436c12617a96bb55a2ca8	325039	2	main	z	18	square	global	RVF	yes	present	1	784
632436c12617a96bb55a2ca8	327537	2	main	z	19	square	local	LVF	yes	present	1	932
632436c12617a96bb55a2ca8	330838	2	main	z	20	circle	local	RVF	yes	absent	0	2000
632436c12617a96bb55a2ca8	332730	2	main	z	21	circle	global	LVF	yes	present	1	657
632436c12617a96bb55a2ca8	336020	2	main	z	22	absent	absent	absent	no	present	0	1314
632436c12617a96bb55a2ca8	337714	2	main	z	23	circle	local	LVF	yes	present	1	741
632436c12617a96bb55a2ca8	339875	2	main	z	24	square	local	RVF	yes	present	1	1003
632436c12617a96bb55a2ca8	343089	2	main	z	25	absent	absent	absent	no	absent	1	2000
632436c12617a96bb55a2ca8	344852	2	main	z	26	absent	absent	absent	no	present	0	680
632436c12617a96bb55a2ca8	347233	2	main	z	27	square	local	RVF	yes	present	1	1063
632436c12617a96bb55a2ca8	349165	2	main	z	28	circle	local	LVF	yes	present	1	744
632436c12617a96bb55a2ca8	352035	2	main	z	29	absent	absent	absent	no	present	0	662
632436c12617a96bb55a2ca8	353828	2	main	z	30	square	global	LVF	yes	present	1	679
632436c12617a96bb55a2ca8	355436	2	main	z	31	square	global	LVF	yes	present	1	581
