subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5a198755f2e3460001edc5c9	headphonecheck_testphase	3	NA	NA	0	NA	second	1	1188
5a198755f2e3460001edc5c9	headphonecheck_testphase	6	NA	NA	0	NA	third	1	544
5a198755f2e3460001edc5c9	headphonecheck_testphase	9	NA	NA	0	NA	second	1	600
5a198755f2e3460001edc5c9	headphonecheck_testphase	12	NA	NA	0	NA	first	1	518
5a198755f2e3460001edc5c9	headphonecheck_testphase	15	NA	NA	0	NA	first	1	323
5a198755f2e3460001edc5c9	headphonecheck_testphase	18	NA	NA	0	NA	third	1	437
5a198755f2e3460001edc5c9	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1475
5a198755f2e3460001edc5c9	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	420
5a198755f2e3460001edc5c9	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	447
5a198755f2e3460001edc5c9	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	377
5a198755f2e3460001edc5c9	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	303
5a198755f2e3460001edc5c9	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	363
5a198755f2e3460001edc5c9	DL_practice	2	ba	ba	0	left	ba	1	1009
5a198755f2e3460001edc5c9	DL_practice	3	pa	pa	0	left	pa	1	1424
5a198755f2e3460001edc5c9	DL_practice	4	ga	ta	1	right	ta	1	1460
5a198755f2e3460001edc5c9	DL_practice	5	da	ba	1	left	da	1	1960
5a198755f2e3460001edc5c9	DL_practice	6	ka	ka	0	left	ka	1	992
5a198755f2e3460001edc5c9	DL_practice	7	ga	ga	0	left	ga	1	1063
5a198755f2e3460001edc5c9	DL_practice	8	ka	pa	1	right	pa	1	1067
5a198755f2e3460001edc5c9	DL_practice	9	da	da	0	left	da	1	1487
5a198755f2e3460001edc5c9	DL_practice	10	ta	ta	0	left	ta	1	1449
5a198755f2e3460001edc5c9	DL_test	1	ka	ba	1	other	pa	0	1180
5a198755f2e3460001edc5c9	DL_test	2	da	ta	1	right	ta	1	2044
5a198755f2e3460001edc5c9	DL_test	3	ba	da	1	right	da	1	1026
5a198755f2e3460001edc5c9	DL_test	4	ba	ba	0	left	ba	1	1647
5a198755f2e3460001edc5c9	DL_test	5	ga	ta	1	right	ta	1	2266
5a198755f2e3460001edc5c9	DL_test	6	ta	ka	1	left	ta	1	1463
5a198755f2e3460001edc5c9	DL_test	7	ga	ga	0	other	da	0	1507
5a198755f2e3460001edc5c9	DL_test	8	ba	pa	1	right	pa	1	1572
5a198755f2e3460001edc5c9	DL_test	9	ta	ta	0	left	ta	1	1252
5a198755f2e3460001edc5c9	DL_test	10	ba	ga	1	other	da	0	2398
5a198755f2e3460001edc5c9	DL_test	11	ka	da	1	right	da	1	1934
5a198755f2e3460001edc5c9	DL_test	12	ga	ba	1	right	ba	1	1319
5a198755f2e3460001edc5c9	DL_test	13	ta	pa	1	right	pa	1	1512
5a198755f2e3460001edc5c9	DL_test	14	pa	pa	0	left	pa	1	3185
5a198755f2e3460001edc5c9	DL_test	15	pa	ta	1	right	ta	1	2184
5a198755f2e3460001edc5c9	DL_test	16	pa	ga	1	other	ta	0	1664
5a198755f2e3460001edc5c9	DL_test	17	ga	pa	1	right	pa	1	1267
5a198755f2e3460001edc5c9	DL_test	18	ka	ta	1	right	ta	1	1072
5a198755f2e3460001edc5c9	DL_test	19	ka	ka	0	left	ka	1	1034
5a198755f2e3460001edc5c9	DL_test	20	ba	ka	1	right	ka	1	1072
5a198755f2e3460001edc5c9	DL_test	21	pa	ba	1	left	pa	1	1547
5a198755f2e3460001edc5c9	DL_test	22	ta	ga	1	other	da	0	2090
5a198755f2e3460001edc5c9	DL_test	23	da	ga	1	left	da	1	1046
5a198755f2e3460001edc5c9	DL_test	24	pa	ka	1	other	ta	0	1618
5a198755f2e3460001edc5c9	DL_test	25	ka	pa	1	right	pa	1	1784
5a198755f2e3460001edc5c9	DL_test	26	ta	ba	1	other	pa	0	1647
5a198755f2e3460001edc5c9	DL_test	27	ba	ta	1	right	ta	1	1324
5a198755f2e3460001edc5c9	DL_test	28	ta	da	1	left	ta	1	2395
5a198755f2e3460001edc5c9	DL_test	29	ga	ka	1	right	ka	1	1451
5a198755f2e3460001edc5c9	DL_test	30	pa	da	1	other	ka	0	1767
5a198755f2e3460001edc5c9	DL_test	31	ga	da	1	right	da	1	1566
5a198755f2e3460001edc5c9	DL_test	32	ka	ga	1	left	ka	1	1470
5a198755f2e3460001edc5c9	DL_test	33	da	ba	1	right	ba	1	1888
5a198755f2e3460001edc5c9	DL_test	34	da	da	0	left	da	1	1668
5a198755f2e3460001edc5c9	DL_test	35	da	ka	1	other	pa	0	1415
