subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ad57f5c27c301000101d9c5	headphonecheck_testphase	3	NA	NA	0	NA	first	1	259
5ad57f5c27c301000101d9c5	headphonecheck_testphase	6	NA	NA	0	NA	second	1	713
5ad57f5c27c301000101d9c5	headphonecheck_testphase	9	NA	NA	0	NA	third	1	434
5ad57f5c27c301000101d9c5	headphonecheck_testphase	12	NA	NA	0	NA	second	1	502
5ad57f5c27c301000101d9c5	headphonecheck_testphase	15	NA	NA	0	NA	first	1	418
5ad57f5c27c301000101d9c5	headphonecheck_testphase	18	NA	NA	0	NA	third	1	153
5ad57f5c27c301000101d9c5	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	81
5ad57f5c27c301000101d9c5	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	0
5ad57f5c27c301000101d9c5	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	82
5ad57f5c27c301000101d9c5	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	80
5ad57f5c27c301000101d9c5	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	84
5ad57f5c27c301000101d9c5	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	82
5ad57f5c27c301000101d9c5	DL_practice	2	ba	ba	0	left	ba	1	1346
5ad57f5c27c301000101d9c5	DL_practice	3	pa	pa	0	left	pa	1	1034
5ad57f5c27c301000101d9c5	DL_practice	4	da	da	0	left	da	1	727
5ad57f5c27c301000101d9c5	DL_practice	5	ta	ta	0	left	ta	1	666
5ad57f5c27c301000101d9c5	DL_practice	6	da	ba	1	left	da	1	2392
5ad57f5c27c301000101d9c5	DL_practice	7	ka	ka	0	left	ka	1	875
5ad57f5c27c301000101d9c5	DL_practice	8	ga	ta	1	other	ka	0	1148
5ad57f5c27c301000101d9c5	DL_practice	9	ga	ga	0	left	ga	1	838
5ad57f5c27c301000101d9c5	DL_practice	10	ka	pa	1	right	pa	1	689
5ad57f5c27c301000101d9c5	DL_test	1	ta	da	1	right	da	1	1151
5ad57f5c27c301000101d9c5	DL_test	2	da	ka	1	other	pa	0	1014
5ad57f5c27c301000101d9c5	DL_test	3	ta	pa	1	left	ta	1	621
5ad57f5c27c301000101d9c5	DL_test	4	pa	ba	1	left	pa	1	1078
5ad57f5c27c301000101d9c5	DL_test	5	ta	ga	1	right	ga	1	660
5ad57f5c27c301000101d9c5	DL_test	6	ba	ga	1	right	ga	1	618
