subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	3	NA	NA	0	NA	second	1	1480
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	6	NA	NA	0	NA	third	1	292
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	9	NA	NA	0	NA	first	1	390
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	12	NA	NA	0	NA	first	1	292
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	15	NA	NA	0	NA	second	1	291
5cc4969c3b1b1c0018f9da36	headphonecheck_testphase	18	NA	NA	0	NA	third	1	306
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	203
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	673
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	1010
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	251
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	272
5cc4969c3b1b1c0018f9da36	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	338
5cc4969c3b1b1c0018f9da36	DL_practice	2	ta	ta	0	left	ta	1	2156
5cc4969c3b1b1c0018f9da36	DL_practice	3	ka	ka	0	left	ka	1	1252
5cc4969c3b1b1c0018f9da36	DL_practice	4	ga	ga	0	left	ga	1	1055
5cc4969c3b1b1c0018f9da36	DL_practice	5	ba	ba	0	left	ba	1	819
5cc4969c3b1b1c0018f9da36	DL_practice	6	ka	pa	1	right	pa	1	1310
5cc4969c3b1b1c0018f9da36	DL_practice	7	da	ba	1	left	da	1	1319
5cc4969c3b1b1c0018f9da36	DL_practice	8	pa	pa	0	left	pa	1	1457
5cc4969c3b1b1c0018f9da36	DL_practice	9	ga	ta	1	other	ka	0	859
5cc4969c3b1b1c0018f9da36	DL_practice	10	da	da	0	left	da	1	823
5cc4969c3b1b1c0018f9da36	DL_test	1	ka	ba	1	left	ka	1	966
5cc4969c3b1b1c0018f9da36	DL_test	2	ta	ga	1	other	ka	0	1012
5cc4969c3b1b1c0018f9da36	DL_test	3	ta	ta	0	left	ta	1	1482
5cc4969c3b1b1c0018f9da36	DL_test	4	ta	pa	1	right	pa	1	2429
5cc4969c3b1b1c0018f9da36	DL_test	5	ka	ka	0	left	ka	1	1779
5cc4969c3b1b1c0018f9da36	DL_test	6	ba	da	1	right	da	1	1169
5cc4969c3b1b1c0018f9da36	DL_test	7	pa	ka	1	left	pa	1	1488
5cc4969c3b1b1c0018f9da36	DL_test	8	ga	ga	0	left	ga	1	1123
5cc4969c3b1b1c0018f9da36	DL_test	9	ta	ba	1	left	ta	1	2163
5cc4969c3b1b1c0018f9da36	DL_test	10	pa	pa	0	left	pa	1	1179
5cc4969c3b1b1c0018f9da36	DL_test	11	da	ga	1	left	da	1	1138
5cc4969c3b1b1c0018f9da36	DL_test	12	pa	ba	1	left	pa	1	1803
5cc4969c3b1b1c0018f9da36	DL_test	13	da	ba	1	left	da	1	1425
5cc4969c3b1b1c0018f9da36	DL_test	14	ba	ka	1	right	ka	1	1117
5cc4969c3b1b1c0018f9da36	DL_test	15	ka	da	1	other	ta	0	1743
5cc4969c3b1b1c0018f9da36	DL_test	16	ba	pa	1	right	pa	1	1415
5cc4969c3b1b1c0018f9da36	DL_test	17	ta	ka	1	right	ka	1	1749
5cc4969c3b1b1c0018f9da36	DL_test	18	ga	ka	1	right	ka	1	1244
5cc4969c3b1b1c0018f9da36	DL_test	19	ka	ta	1	left	ka	1	1392
5cc4969c3b1b1c0018f9da36	DL_test	20	pa	ta	1	right	ta	1	1902
5cc4969c3b1b1c0018f9da36	DL_test	21	ka	ga	1	left	ka	1	2463
5cc4969c3b1b1c0018f9da36	DL_test	22	ka	pa	1	other	ba	0	2508
5cc4969c3b1b1c0018f9da36	DL_test	23	ta	da	1	left	ta	1	1189
5cc4969c3b1b1c0018f9da36	DL_test	24	ba	ta	1	right	ta	1	1235
