subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d278e6a6f7c660019b56196	headphonecheck_testphase	3	NA	NA	0	NA	first	0	5635
5d278e6a6f7c660019b56196	headphonecheck_testphase	6	NA	NA	0	NA	second	1	1439
5d278e6a6f7c660019b56196	headphonecheck_testphase	9	NA	NA	0	NA	first	1	316
5d278e6a6f7c660019b56196	headphonecheck_testphase	12	NA	NA	0	NA	first	0	1754
5d278e6a6f7c660019b56196	headphonecheck_testphase	15	NA	NA	0	NA	first	0	2086
5d278e6a6f7c660019b56196	headphonecheck_testphase	18	NA	NA	0	NA	third	0	772
5d278e6a6f7c660019b56196	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	802
5d278e6a6f7c660019b56196	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	588
5d278e6a6f7c660019b56196	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	321
5d278e6a6f7c660019b56196	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	374
5d278e6a6f7c660019b56196	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	493
5d278e6a6f7c660019b56196	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	544
5d278e6a6f7c660019b56196	DL_practice	2	ga	ta	1	other	ka	0	1778
5d278e6a6f7c660019b56196	DL_practice	3	ga	ga	0	left	ga	1	1358
5d278e6a6f7c660019b56196	DL_practice	4	ta	ta	0	left	ta	1	1636
5d278e6a6f7c660019b56196	DL_practice	5	ka	pa	1	left	ka	1	1498
5d278e6a6f7c660019b56196	DL_practice	6	ba	ba	0	left	ba	1	1664
5d278e6a6f7c660019b56196	DL_practice	7	pa	pa	0	left	pa	1	1300
5d278e6a6f7c660019b56196	DL_practice	8	da	ba	1	right	ba	1	1323
5d278e6a6f7c660019b56196	DL_practice	9	da	da	0	left	da	1	1161
5d278e6a6f7c660019b56196	DL_practice	10	ka	ka	0	left	ka	1	1143
5d278e6a6f7c660019b56196	DL_test	1	pa	ta	1	left	pa	1	1802
5d278e6a6f7c660019b56196	DL_test	2	da	pa	1	other	ta	0	1525
5d278e6a6f7c660019b56196	DL_test	3	ta	ba	1	right	ba	1	2371
5d278e6a6f7c660019b56196	DL_test	4	ka	pa	1	left	ka	1	1159
5d278e6a6f7c660019b56196	DL_test	5	pa	pa	0	left	pa	1	1562
5d278e6a6f7c660019b56196	DL_test	6	ga	ka	1	right	ka	1	790
5d278e6a6f7c660019b56196	DL_test	7	ka	ga	1	right	ga	1	1038
5d278e6a6f7c660019b56196	DL_test	8	ba	ba	0	left	ba	1	2242
5d278e6a6f7c660019b56196	DL_test	9	ba	ka	1	right	ka	1	3195
5d278e6a6f7c660019b56196	DL_test	10	ga	ba	1	right	ba	1	1422
5d278e6a6f7c660019b56196	DL_test	11	pa	ba	1	right	ba	1	726
5d278e6a6f7c660019b56196	DL_test	12	ba	da	1	right	da	1	1044
5d278e6a6f7c660019b56196	DL_test	13	ta	ka	1	right	ka	1	1075
5d278e6a6f7c660019b56196	DL_test	14	ga	ga	0	left	ga	1	943
5d278e6a6f7c660019b56196	DL_test	15	ta	ta	0	left	ta	1	1371
5d278e6a6f7c660019b56196	DL_test	16	ka	da	1	right	da	1	1026
5d278e6a6f7c660019b56196	DL_test	17	da	ka	1	other	ta	0	1123
5d278e6a6f7c660019b56196	DL_test	18	pa	da	1	right	da	1	1131
5d278e6a6f7c660019b56196	DL_test	19	ga	ta	1	other	ka	0	951
5d278e6a6f7c660019b56196	DL_test	20	pa	ga	1	right	ga	1	1032
5d278e6a6f7c660019b56196	DL_test	21	pa	ka	1	right	ka	1	1019
5d278e6a6f7c660019b56196	DL_test	22	ba	ta	1	right	ta	1	1240
5d278e6a6f7c660019b56196	DL_test	23	ta	da	1	right	da	1	1020
5d278e6a6f7c660019b56196	DL_test	24	ka	ta	1	left	ka	1	1879
5d278e6a6f7c660019b56196	DL_test	25	da	ta	1	right	ta	1	1881
5d278e6a6f7c660019b56196	DL_test	26	da	da	0	left	da	1	1198
5d278e6a6f7c660019b56196	DL_test	27	ka	ka	0	left	ka	1	1036
5d278e6a6f7c660019b56196	DL_test	28	ga	pa	1	left	ga	1	1542
5d278e6a6f7c660019b56196	DL_test	29	ta	ga	1	right	ga	1	758
5d278e6a6f7c660019b56196	DL_test	30	ta	pa	1	right	pa	1	1673
