subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5eaecb0824839e59ed3523eb	headphonecheck_testphase	3	NA	NA	0	NA	third	1	247
5eaecb0824839e59ed3523eb	headphonecheck_testphase	6	NA	NA	0	NA	second	1	310
5eaecb0824839e59ed3523eb	headphonecheck_testphase	9	NA	NA	0	NA	second	1	459
5eaecb0824839e59ed3523eb	headphonecheck_testphase	12	NA	NA	0	NA	first	1	370
5eaecb0824839e59ed3523eb	headphonecheck_testphase	15	NA	NA	0	NA	first	1	412
5eaecb0824839e59ed3523eb	headphonecheck_testphase	18	NA	NA	0	NA	third	1	443
5eaecb0824839e59ed3523eb	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	279
5eaecb0824839e59ed3523eb	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	242
5eaecb0824839e59ed3523eb	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	221
5eaecb0824839e59ed3523eb	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	192
5eaecb0824839e59ed3523eb	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	191
5eaecb0824839e59ed3523eb	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	229
5eaecb0824839e59ed3523eb	DL_practice	2	ga	ga	0	left	ga	1	1017
5eaecb0824839e59ed3523eb	DL_practice	3	da	ba	1	right	ba	1	2847
5eaecb0824839e59ed3523eb	DL_practice	4	ta	ta	0	left	ta	1	1469
5eaecb0824839e59ed3523eb	DL_practice	5	ka	ka	0	left	ka	1	1010
5eaecb0824839e59ed3523eb	DL_practice	6	pa	pa	0	left	pa	1	1112
5eaecb0824839e59ed3523eb	DL_practice	7	ga	ta	1	other	ka	0	1139
5eaecb0824839e59ed3523eb	DL_practice	8	ka	pa	1	right	pa	1	1178
5eaecb0824839e59ed3523eb	DL_practice	9	ba	ba	0	left	ba	1	1946
5eaecb0824839e59ed3523eb	DL_practice	10	da	da	0	left	da	1	1045
5eaecb0824839e59ed3523eb	DL_test	1	ga	ga	0	left	ga	1	692
5eaecb0824839e59ed3523eb	DL_test	2	ba	pa	1	right	pa	1	1174
5eaecb0824839e59ed3523eb	DL_test	3	ka	da	1	left	ka	1	886
5eaecb0824839e59ed3523eb	DL_test	4	ba	ta	1	other	ka	0	938
5eaecb0824839e59ed3523eb	DL_test	5	ba	ga	1	left	ba	1	1627
5eaecb0824839e59ed3523eb	DL_test	6	da	ga	1	right	ga	1	1072
