subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	3	NA	NA	0	NA	first	1	715
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	6	NA	NA	0	NA	third	1	145
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	9	NA	NA	0	NA	second	1	0
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	12	NA	NA	0	NA	third	1	158
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	15	NA	NA	0	NA	second	1	509
5f3d6f7010ad88124f3906e2	headphonecheck_testphase	18	NA	NA	0	NA	first	1	226
5f3d6f7010ad88124f3906e2	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	405
5f3d6f7010ad88124f3906e2	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	267
5f3d6f7010ad88124f3906e2	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	204
5f3d6f7010ad88124f3906e2	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	233
5f3d6f7010ad88124f3906e2	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	167
5f3d6f7010ad88124f3906e2	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	214
5f3d6f7010ad88124f3906e2	DL_practice	2	da	ba	1	right	ba	1	2063
5f3d6f7010ad88124f3906e2	DL_practice	3	ta	ta	0	left	ta	1	1626
5f3d6f7010ad88124f3906e2	DL_practice	4	ka	pa	1	left	ka	1	988
5f3d6f7010ad88124f3906e2	DL_practice	5	ka	ka	0	left	ka	1	683
5f3d6f7010ad88124f3906e2	DL_practice	6	da	da	0	left	da	1	1228
5f3d6f7010ad88124f3906e2	DL_practice	7	pa	pa	0	left	pa	1	1196
5f3d6f7010ad88124f3906e2	DL_practice	8	ga	ta	1	other	ka	0	1352
5f3d6f7010ad88124f3906e2	DL_practice	9	ga	ga	0	left	ga	1	1098
5f3d6f7010ad88124f3906e2	DL_practice	10	ba	ba	0	left	ba	1	1526
5f3d6f7010ad88124f3906e2	DL_test	1	pa	ga	1	right	ga	1	2047
5f3d6f7010ad88124f3906e2	DL_test	2	da	da	0	left	da	1	1098
5f3d6f7010ad88124f3906e2	DL_test	3	ka	ta	1	left	ka	1	967
5f3d6f7010ad88124f3906e2	DL_test	4	ba	pa	1	right	pa	1	903
5f3d6f7010ad88124f3906e2	DL_test	5	ka	pa	1	left	ka	1	920
5f3d6f7010ad88124f3906e2	DL_test	6	ba	ka	1	right	ka	1	1149
5f3d6f7010ad88124f3906e2	DL_test	7	ga	ga	0	left	ga	1	1059
5f3d6f7010ad88124f3906e2	DL_test	8	ba	ga	1	left	ba	1	1581
5f3d6f7010ad88124f3906e2	DL_test	9	ta	ba	1	other	pa	0	2159
5f3d6f7010ad88124f3906e2	DL_test	10	da	ka	1	left	da	1	1155
5f3d6f7010ad88124f3906e2	DL_test	11	ga	da	1	right	da	1	1339
5f3d6f7010ad88124f3906e2	DL_test	12	pa	ka	1	right	ka	1	855
5f3d6f7010ad88124f3906e2	DL_test	13	ba	ta	1	right	ta	1	2449
5f3d6f7010ad88124f3906e2	DL_test	14	ga	ka	1	right	ka	1	1228
5f3d6f7010ad88124f3906e2	DL_test	15	da	pa	1	right	pa	1	1780
5f3d6f7010ad88124f3906e2	DL_test	16	ga	ba	1	right	ba	1	1720
5f3d6f7010ad88124f3906e2	DL_test	17	ba	ba	0	left	ba	1	1001
5f3d6f7010ad88124f3906e2	DL_test	18	pa	da	1	right	da	1	1604
5f3d6f7010ad88124f3906e2	DL_test	19	pa	ta	1	right	ta	1	1128
5f3d6f7010ad88124f3906e2	DL_test	20	ka	ka	0	left	ka	1	774
5f3d6f7010ad88124f3906e2	DL_test	21	da	ba	1	left	da	1	1788
5f3d6f7010ad88124f3906e2	DL_test	22	da	ga	1	right	ga	1	1151
5f3d6f7010ad88124f3906e2	DL_test	23	pa	ba	1	left	pa	1	935
5f3d6f7010ad88124f3906e2	DL_test	24	ta	ta	0	left	ta	1	1145
5f3d6f7010ad88124f3906e2	DL_test	25	ka	ga	1	left	ka	1	1321
5f3d6f7010ad88124f3906e2	DL_test	26	ka	da	1	left	ka	1	1192
5f3d6f7010ad88124f3906e2	DL_test	27	da	ta	1	other	ka	0	970
5f3d6f7010ad88124f3906e2	DL_test	28	ta	pa	1	left	ta	1	1145
5f3d6f7010ad88124f3906e2	DL_test	29	ka	ba	1	left	ka	1	1124
5f3d6f7010ad88124f3906e2	DL_test	30	pa	pa	0	left	pa	1	1173
5f3d6f7010ad88124f3906e2	DL_test	31	ta	da	1	other	ga	0	1253
5f3d6f7010ad88124f3906e2	DL_test	32	ba	da	1	right	da	1	1930
5f3d6f7010ad88124f3906e2	DL_test	33	ta	ka	1	right	ka	1	971
5f3d6f7010ad88124f3906e2	DL_test	34	ta	ga	1	other	ka	0	1003
5f3d6f7010ad88124f3906e2	DL_test	35	ga	pa	1	right	pa	1	1113
5f3d6f7010ad88124f3906e2	DL_test	36	ga	ta	1	other	ka	0	1055
5f3d6f7010ad88124f3906e2	DL_test	1	pa	pa	0	left	pa	1	850
5f3d6f7010ad88124f3906e2	DL_test	2	ka	ba	1	left	ka	1	862
5f3d6f7010ad88124f3906e2	DL_test	3	ba	ka	1	right	ka	1	742
5f3d6f7010ad88124f3906e2	DL_test	4	ka	ta	1	left	ka	1	684
5f3d6f7010ad88124f3906e2	DL_test	5	pa	ga	1	left	pa	1	2402
5f3d6f7010ad88124f3906e2	DL_test	6	ba	ga	1	right	ga	1	1557
5f3d6f7010ad88124f3906e2	DL_test	7	pa	ta	1	right	ta	1	2090
5f3d6f7010ad88124f3906e2	DL_test	8	ta	ka	1	right	ka	1	855
5f3d6f7010ad88124f3906e2	DL_test	9	ta	ta	0	left	ta	1	2131
5f3d6f7010ad88124f3906e2	DL_test	10	da	da	0	left	da	1	1165
5f3d6f7010ad88124f3906e2	DL_test	11	da	ka	1	other	pa	0	1185
5f3d6f7010ad88124f3906e2	DL_test	12	pa	ba	1	left	pa	1	837
5f3d6f7010ad88124f3906e2	DL_test	13	ka	ka	0	left	ka	1	740
5f3d6f7010ad88124f3906e2	DL_test	14	ta	pa	1	right	pa	1	1332
5f3d6f7010ad88124f3906e2	DL_test	15	ba	ba	0	left	ba	1	1313
5f3d6f7010ad88124f3906e2	DL_test	16	da	pa	1	other	ba	0	1144
5f3d6f7010ad88124f3906e2	DL_test	17	da	ta	1	other	ka	0	1081
5f3d6f7010ad88124f3906e2	DL_test	18	ba	da	1	right	da	1	989
5f3d6f7010ad88124f3906e2	DL_test	19	ka	pa	1	left	ka	1	1196
5f3d6f7010ad88124f3906e2	DL_test	20	pa	da	1	right	da	1	1536
5f3d6f7010ad88124f3906e2	DL_test	21	ta	da	1	right	da	1	1064
5f3d6f7010ad88124f3906e2	DL_test	22	ga	ta	1	other	ka	0	1033
5f3d6f7010ad88124f3906e2	DL_test	23	ga	pa	1	left	ga	1	1828
5f3d6f7010ad88124f3906e2	DL_test	24	ga	ba	1	right	ba	1	1994
5f3d6f7010ad88124f3906e2	DL_test	25	ka	ga	1	left	ka	1	4642
5f3d6f7010ad88124f3906e2	DL_test	26	ga	da	1	right	da	1	1063
5f3d6f7010ad88124f3906e2	DL_test	27	ka	da	1	left	ka	1	969
5f3d6f7010ad88124f3906e2	DL_test	28	ba	pa	1	right	pa	1	1010
5f3d6f7010ad88124f3906e2	DL_test	29	ga	ga	0	left	ga	1	853
5f3d6f7010ad88124f3906e2	DL_test	30	pa	ka	1	right	ka	1	776
5f3d6f7010ad88124f3906e2	DL_test	31	da	ga	1	right	ga	1	1144
5f3d6f7010ad88124f3906e2	DL_test	32	ba	ta	1	other	ka	0	1134
5f3d6f7010ad88124f3906e2	DL_test	33	ta	ga	1	right	ga	1	875
