subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5f590fd00f0eec104b473961	headphonecheck_testphase	3	NA	NA	0	NA	third	0	704
5f590fd00f0eec104b473961	headphonecheck_testphase	6	NA	NA	0	NA	third	1	461
5f590fd00f0eec104b473961	headphonecheck_testphase	9	NA	NA	0	NA	first	0	223
5f590fd00f0eec104b473961	headphonecheck_testphase	12	NA	NA	0	NA	third	0	502
5f590fd00f0eec104b473961	headphonecheck_testphase	15	NA	NA	0	NA	second	0	610
5f590fd00f0eec104b473961	headphonecheck_testphase	18	NA	NA	0	NA	second	0	269
5f590fd00f0eec104b473961	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	454
5f590fd00f0eec104b473961	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	282
5f590fd00f0eec104b473961	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	222
5f590fd00f0eec104b473961	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	154
5f590fd00f0eec104b473961	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	147
5f590fd00f0eec104b473961	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	214
5f590fd00f0eec104b473961	DL_practice	2	ta	ta	0	left	ta	1	1436
5f590fd00f0eec104b473961	DL_practice	3	da	da	0	left	da	1	1282
5f590fd00f0eec104b473961	DL_practice	4	ba	ba	0	left	ba	1	1143
5f590fd00f0eec104b473961	DL_practice	5	ka	pa	1	left	ka	1	1309
5f590fd00f0eec104b473961	DL_practice	6	ga	ga	0	left	ga	1	968
5f590fd00f0eec104b473961	DL_practice	7	ga	ta	1	left	ga	1	887
5f590fd00f0eec104b473961	DL_practice	8	da	ba	1	left	da	1	974
5f590fd00f0eec104b473961	DL_practice	9	ka	ka	0	left	ka	1	771
5f590fd00f0eec104b473961	DL_practice	10	pa	pa	0	left	pa	1	889
5f590fd00f0eec104b473961	DL_test	1	ka	da	1	other	ga	0	974
5f590fd00f0eec104b473961	DL_test	2	ga	da	1	left	ga	1	671
5f590fd00f0eec104b473961	DL_test	3	ba	ba	0	left	ba	1	1478
5f590fd00f0eec104b473961	DL_test	4	pa	da	1	right	da	1	809
5f590fd00f0eec104b473961	DL_test	5	ta	ka	1	right	ka	1	655
5f590fd00f0eec104b473961	DL_test	6	ga	ba	1	right	ba	1	1158
5f590fd00f0eec104b473961	DL_test	7	ka	ta	1	left	ka	1	950
5f590fd00f0eec104b473961	DL_test	8	ta	ba	1	other	ga	0	2151
5f590fd00f0eec104b473961	DL_test	9	ba	pa	1	left	ba	1	1982
5f590fd00f0eec104b473961	DL_test	10	da	ba	1	left	da	1	1254
5f590fd00f0eec104b473961	DL_test	11	ka	ka	0	left	ka	1	1030
5f590fd00f0eec104b473961	DL_test	12	ta	ta	0	left	ta	1	1154
5f590fd00f0eec104b473961	DL_test	13	ka	ga	1	right	ga	1	1305
5f590fd00f0eec104b473961	DL_test	14	ba	ta	1	right	ta	1	1716
5f590fd00f0eec104b473961	DL_test	15	ka	pa	1	left	ka	1	1198
5f590fd00f0eec104b473961	DL_test	16	ga	ga	0	left	ga	1	684
5f590fd00f0eec104b473961	DL_test	17	ba	ga	1	left	ba	1	1391
5f590fd00f0eec104b473961	DL_test	18	da	ta	1	left	da	1	828
5f590fd00f0eec104b473961	DL_test	19	da	pa	1	left	da	1	831
5f590fd00f0eec104b473961	DL_test	20	ba	ka	1	right	ka	1	2648
