subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
601957589dce2d020c0b68fd	headphonecheck_testphase	3	NA	NA	0	NA	third	1	360
601957589dce2d020c0b68fd	headphonecheck_testphase	6	NA	NA	0	NA	second	1	39
601957589dce2d020c0b68fd	headphonecheck_testphase	9	NA	NA	0	NA	second	1	519
601957589dce2d020c0b68fd	headphonecheck_testphase	12	NA	NA	0	NA	first	1	280
601957589dce2d020c0b68fd	headphonecheck_testphase	15	NA	NA	0	NA	first	1	439
601957589dce2d020c0b68fd	headphonecheck_testphase	18	NA	NA	0	NA	third	1	218
601957589dce2d020c0b68fd	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	517
601957589dce2d020c0b68fd	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	244
601957589dce2d020c0b68fd	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	220
601957589dce2d020c0b68fd	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	217
601957589dce2d020c0b68fd	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	213
601957589dce2d020c0b68fd	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	199
601957589dce2d020c0b68fd	DL_practice	2	ga	ta	1	other	ka	0	3235
601957589dce2d020c0b68fd	DL_practice	3	ga	ga	0	left	ga	1	1648
601957589dce2d020c0b68fd	DL_practice	4	ta	ta	0	other	ka	0	1150
601957589dce2d020c0b68fd	DL_practice	5	da	da	0	left	da	1	1548
601957589dce2d020c0b68fd	DL_practice	6	ba	ba	0	left	ba	1	1258
601957589dce2d020c0b68fd	DL_practice	7	ka	pa	1	right	pa	1	1167
601957589dce2d020c0b68fd	DL_practice	8	ka	ka	0	left	ka	1	1118
601957589dce2d020c0b68fd	DL_practice	9	da	ba	1	left	da	1	1973
601957589dce2d020c0b68fd	DL_practice	10	pa	pa	0	left	pa	1	1616
601957589dce2d020c0b68fd	DL_test	1	da	ba	1	left	da	1	1340
601957589dce2d020c0b68fd	DL_test	2	pa	ta	1	other	ka	0	2613
601957589dce2d020c0b68fd	DL_test	3	pa	da	1	other	ka	0	1147
601957589dce2d020c0b68fd	DL_test	4	ka	pa	1	left	ka	1	1082
601957589dce2d020c0b68fd	DL_test	5	ta	pa	1	right	pa	1	1274
601957589dce2d020c0b68fd	DL_test	6	ga	ba	1	other	da	0	2030
601957589dce2d020c0b68fd	DL_test	7	da	da	0	left	da	1	902
601957589dce2d020c0b68fd	DL_test	8	ga	ka	1	right	ka	1	1522
601957589dce2d020c0b68fd	DL_test	9	ka	da	1	left	ka	1	1907
601957589dce2d020c0b68fd	DL_test	10	ga	da	1	left	ga	1	1466
601957589dce2d020c0b68fd	DL_test	11	da	pa	1	right	pa	1	1667
601957589dce2d020c0b68fd	DL_test	12	ta	ka	1	right	ka	1	1190
601957589dce2d020c0b68fd	DL_test	13	ga	ta	1	other	ka	0	1002
601957589dce2d020c0b68fd	DL_test	14	ka	ka	0	left	ka	1	741
601957589dce2d020c0b68fd	DL_test	15	pa	ba	1	left	pa	1	1095
601957589dce2d020c0b68fd	DL_test	16	ka	ba	1	other	pa	0	5403
601957589dce2d020c0b68fd	DL_test	17	ga	ga	0	left	ga	1	1406
