subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60d5c363dd49bcb80e528806	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1338
60d5c363dd49bcb80e528806	headphonecheck_testphase	6	NA	NA	0	NA	second	1	269
60d5c363dd49bcb80e528806	headphonecheck_testphase	9	NA	NA	0	NA	first	1	2887
60d5c363dd49bcb80e528806	headphonecheck_testphase	12	NA	NA	0	NA	first	0	2685
60d5c363dd49bcb80e528806	headphonecheck_testphase	15	NA	NA	0	NA	first	1	1999
60d5c363dd49bcb80e528806	headphonecheck_testphase	18	NA	NA	0	NA	first	0	1433
60d5c363dd49bcb80e528806	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	0	5941
60d5c363dd49bcb80e528806	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	2884
60d5c363dd49bcb80e528806	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	0	2174
60d5c363dd49bcb80e528806	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	0	9779
60d5c363dd49bcb80e528806	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	1318
60d5c363dd49bcb80e528806	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	2175
60d5c363dd49bcb80e528806	DL_practice	2	pa	pa	0	left	pa	1	1502
60d5c363dd49bcb80e528806	DL_practice	3	ta	ta	0	left	ta	1	1439
60d5c363dd49bcb80e528806	DL_practice	4	ka	pa	1	left	ka	1	1832
60d5c363dd49bcb80e528806	DL_practice	5	ka	ka	0	left	ka	1	1186
60d5c363dd49bcb80e528806	DL_practice	6	ga	ta	1	right	ta	1	1446
60d5c363dd49bcb80e528806	DL_practice	7	ga	ga	0	other	da	0	1337
60d5c363dd49bcb80e528806	DL_practice	8	da	da	0	left	da	1	1156
60d5c363dd49bcb80e528806	DL_practice	9	ba	ba	0	left	ba	1	2466
60d5c363dd49bcb80e528806	DL_practice	10	da	ba	1	left	da	1	2380
60d5c363dd49bcb80e528806	DL_test	1	da	da	0	left	da	1	885
60d5c363dd49bcb80e528806	DL_test	2	da	ta	1	right	ta	1	1355
60d5c363dd49bcb80e528806	DL_test	3	ta	ka	1	right	ka	1	1514
60d5c363dd49bcb80e528806	DL_test	4	ga	ka	1	right	ka	1	872
60d5c363dd49bcb80e528806	DL_test	5	ta	ta	0	other	ka	0	1146
60d5c363dd49bcb80e528806	DL_test	6	ba	ba	0	left	ba	1	1128
60d5c363dd49bcb80e528806	DL_test	7	pa	ga	1	left	pa	1	1922
60d5c363dd49bcb80e528806	DL_test	8	ba	ka	1	right	ka	1	799
60d5c363dd49bcb80e528806	DL_test	9	ta	ga	1	left	ta	1	1230
60d5c363dd49bcb80e528806	DL_test	10	ga	ta	1	right	ta	1	817
60d5c363dd49bcb80e528806	DL_test	11	ba	ta	1	right	ta	1	825
60d5c363dd49bcb80e528806	DL_test	12	ka	ba	1	left	ka	1	1083
60d5c363dd49bcb80e528806	DL_test	13	ga	pa	1	right	pa	1	786
60d5c363dd49bcb80e528806	DL_test	14	ka	ka	0	left	ka	1	452
60d5c363dd49bcb80e528806	DL_test	15	da	pa	1	other	ta	0	900
60d5c363dd49bcb80e528806	DL_test	16	ta	pa	1	right	pa	1	1201
60d5c363dd49bcb80e528806	DL_test	17	ta	da	1	other	ka	0	296
60d5c363dd49bcb80e528806	DL_test	18	da	ba	1	left	da	1	1404
60d5c363dd49bcb80e528806	DL_test	19	ka	da	1	left	ka	1	752
60d5c363dd49bcb80e528806	DL_test	20	ga	ga	0	other	da	0	1222
60d5c363dd49bcb80e528806	DL_test	21	ka	ga	1	left	ka	1	852
60d5c363dd49bcb80e528806	DL_test	22	da	ka	1	other	pa	0	1100
60d5c363dd49bcb80e528806	DL_test	23	pa	ta	1	left	pa	1	1027
60d5c363dd49bcb80e528806	DL_test	24	pa	da	1	left	pa	1	919
60d5c363dd49bcb80e528806	DL_test	25	ka	ta	1	left	ka	1	444
60d5c363dd49bcb80e528806	DL_test	26	da	ga	1	left	da	1	1013
60d5c363dd49bcb80e528806	DL_test	27	ba	da	1	left	ba	1	1414
60d5c363dd49bcb80e528806	DL_test	28	pa	ka	1	left	pa	1	1000
60d5c363dd49bcb80e528806	DL_test	29	ba	pa	1	right	pa	1	967
60d5c363dd49bcb80e528806	DL_test	30	pa	ba	1	left	pa	1	674
60d5c363dd49bcb80e528806	DL_test	31	ga	da	1	right	da	1	1158
60d5c363dd49bcb80e528806	DL_test	32	ta	ba	1	left	ta	1	1181
60d5c363dd49bcb80e528806	DL_test	33	pa	pa	0	left	pa	1	2011
60d5c363dd49bcb80e528806	DL_test	34	ba	ga	1	left	ba	1	2013
60d5c363dd49bcb80e528806	DL_test	35	ga	ba	1	other	da	0	2144
60d5c363dd49bcb80e528806	DL_test	36	ka	pa	1	left	ka	1	965
60d5c363dd49bcb80e528806	DL_test	1	ta	da	1	left	ta	1	1222
60d5c363dd49bcb80e528806	DL_test	2	ta	ka	1	right	ka	1	810
60d5c363dd49bcb80e528806	DL_test	3	da	ga	1	left	da	1	1211
60d5c363dd49bcb80e528806	DL_test	4	pa	pa	0	left	pa	1	1373
60d5c363dd49bcb80e528806	DL_test	5	ka	ka	0	left	ka	1	458
