subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60ef047e8969715a3db7181a	headphonecheck_testphase	3	NA	NA	0	NA	third	1	725
60ef047e8969715a3db7181a	headphonecheck_testphase	6	NA	NA	0	NA	first	1	120
60ef047e8969715a3db7181a	headphonecheck_testphase	9	NA	NA	0	NA	third	1	1670
60ef047e8969715a3db7181a	headphonecheck_testphase	12	NA	NA	0	NA	first	1	3032
60ef047e8969715a3db7181a	headphonecheck_testphase	15	NA	NA	0	NA	second	1	190
60ef047e8969715a3db7181a	headphonecheck_testphase	18	NA	NA	0	NA	second	1	136
60ef047e8969715a3db7181a	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	278
60ef047e8969715a3db7181a	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	221
60ef047e8969715a3db7181a	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	212
60ef047e8969715a3db7181a	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	217
60ef047e8969715a3db7181a	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	122
60ef047e8969715a3db7181a	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	0	2631
60ef047e8969715a3db7181a	DL_practice	2	da	da	0	left	da	1	1137
60ef047e8969715a3db7181a	DL_practice	3	pa	pa	0	left	pa	1	1254
60ef047e8969715a3db7181a	DL_practice	4	ga	ta	1	right	ta	1	1245
60ef047e8969715a3db7181a	DL_practice	5	ka	pa	1	right	pa	1	1019
60ef047e8969715a3db7181a	DL_practice	6	ta	ta	0	left	ta	1	1031
60ef047e8969715a3db7181a	DL_practice	7	da	ba	1	left	da	1	1270
60ef047e8969715a3db7181a	DL_practice	8	ga	ga	0	left	ga	1	1076
60ef047e8969715a3db7181a	DL_practice	9	ka	ka	0	left	ka	1	1192
60ef047e8969715a3db7181a	DL_practice	10	ba	ba	0	left	ba	1	943
60ef047e8969715a3db7181a	DL_test	1	ga	ba	1	right	ba	1	928
60ef047e8969715a3db7181a	DL_test	2	ga	ga	0	left	ga	1	814
60ef047e8969715a3db7181a	DL_test	3	ka	ka	0	left	ka	1	960
