subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	3	NA	NA	0	NA	first	1	5470
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	6	NA	NA	0	NA	third	1	436
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	9	NA	NA	0	NA	third	1	269
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	12	NA	NA	0	NA	second	1	199
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	15	NA	NA	0	NA	second	1	173
60fc3a1e0eb578aa02590e27	headphonecheck_testphase	18	NA	NA	0	NA	first	1	181
60fc3a1e0eb578aa02590e27	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	429
60fc3a1e0eb578aa02590e27	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	0	571
60fc3a1e0eb578aa02590e27	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	336
60fc3a1e0eb578aa02590e27	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	320
60fc3a1e0eb578aa02590e27	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	288
60fc3a1e0eb578aa02590e27	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	316
60fc3a1e0eb578aa02590e27	DL_practice	2	da	da	0	left	da	1	1197
60fc3a1e0eb578aa02590e27	DL_practice	3	ka	pa	1	left	ka	1	1154
60fc3a1e0eb578aa02590e27	DL_practice	4	ta	ta	0	left	ta	1	1279
60fc3a1e0eb578aa02590e27	DL_practice	5	da	ba	1	other	pa	0	4577
60fc3a1e0eb578aa02590e27	DL_practice	6	ba	ba	0	left	ba	1	1354
60fc3a1e0eb578aa02590e27	DL_practice	7	ka	ka	0	left	ka	1	914
60fc3a1e0eb578aa02590e27	DL_practice	8	ga	ta	1	left	ga	1	1044
60fc3a1e0eb578aa02590e27	DL_practice	9	ga	ga	0	left	ga	1	1056
60fc3a1e0eb578aa02590e27	DL_practice	10	pa	pa	0	left	pa	1	1333
60fc3a1e0eb578aa02590e27	DL_test	1	ka	pa	1	left	ka	1	930
60fc3a1e0eb578aa02590e27	DL_test	2	ba	ba	0	left	ba	1	1103
60fc3a1e0eb578aa02590e27	DL_test	3	ba	ta	1	other	pa	0	2570
60fc3a1e0eb578aa02590e27	DL_test	4	ga	da	1	right	da	1	1141
60fc3a1e0eb578aa02590e27	DL_test	5	ga	pa	1	left	ga	1	852
60fc3a1e0eb578aa02590e27	DL_test	6	da	pa	1	left	da	1	912
60fc3a1e0eb578aa02590e27	DL_test	7	ba	ka	1	other	pa	0	1005
60fc3a1e0eb578aa02590e27	DL_test	8	ka	ka	0	left	ka	1	908
60fc3a1e0eb578aa02590e27	DL_test	9	ga	ka	1	left	ga	1	804
60fc3a1e0eb578aa02590e27	DL_test	10	ba	da	1	left	ba	1	1153
