subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
611383641ef5dff3b6f75ee5	headphonecheck_testphase	3	NA	NA	0	NA	first	1	7681
611383641ef5dff3b6f75ee5	headphonecheck_testphase	6	NA	NA	0	NA	third	0	263
611383641ef5dff3b6f75ee5	headphonecheck_testphase	9	NA	NA	0	NA	third	1	11782
611383641ef5dff3b6f75ee5	headphonecheck_testphase	12	NA	NA	0	NA	third	0	697
611383641ef5dff3b6f75ee5	headphonecheck_testphase	15	NA	NA	0	NA	third	1	817
611383641ef5dff3b6f75ee5	headphonecheck_testphase	18	NA	NA	0	NA	third	0	521
611383641ef5dff3b6f75ee5	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	357
611383641ef5dff3b6f75ee5	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	2210
611383641ef5dff3b6f75ee5	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	305
611383641ef5dff3b6f75ee5	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	328
611383641ef5dff3b6f75ee5	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	245
611383641ef5dff3b6f75ee5	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	485
611383641ef5dff3b6f75ee5	DL_practice	2	ka	ka	0	left	ka	1	1565
611383641ef5dff3b6f75ee5	DL_practice	3	ga	ga	0	left	ga	1	839
611383641ef5dff3b6f75ee5	DL_practice	4	ka	pa	1	left	ka	1	1111
611383641ef5dff3b6f75ee5	DL_practice	5	ta	ta	0	left	ta	1	1216
611383641ef5dff3b6f75ee5	DL_practice	6	da	ba	1	right	ba	1	1764
611383641ef5dff3b6f75ee5	DL_practice	7	ba	ba	0	left	ba	1	909
611383641ef5dff3b6f75ee5	DL_practice	8	ga	ta	1	left	ga	1	1635
611383641ef5dff3b6f75ee5	DL_practice	9	pa	pa	0	left	pa	1	1320
611383641ef5dff3b6f75ee5	DL_practice	10	da	da	0	left	da	1	1143
611383641ef5dff3b6f75ee5	DL_test	1	ka	ka	0	left	ka	1	970
611383641ef5dff3b6f75ee5	DL_test	2	ga	ta	1	left	ga	1	1028
611383641ef5dff3b6f75ee5	DL_test	3	ta	da	1	right	da	1	1237
611383641ef5dff3b6f75ee5	DL_test	4	pa	ka	1	right	ka	1	967
611383641ef5dff3b6f75ee5	DL_test	5	ga	ba	1	right	ba	1	1242
611383641ef5dff3b6f75ee5	DL_test	6	da	ga	1	right	ga	1	776
611383641ef5dff3b6f75ee5	DL_test	7	da	ba	1	right	ba	1	1510
611383641ef5dff3b6f75ee5	DL_test	8	pa	pa	0	left	pa	1	900
611383641ef5dff3b6f75ee5	DL_test	9	ba	ba	0	left	ba	1	1721
611383641ef5dff3b6f75ee5	DL_test	10	ka	pa	1	left	ka	1	1167
611383641ef5dff3b6f75ee5	DL_test	11	ba	pa	1	right	pa	1	1781
611383641ef5dff3b6f75ee5	DL_test	12	ga	da	1	left	ga	1	1348
611383641ef5dff3b6f75ee5	DL_test	13	pa	ta	1	right	ta	1	1503
611383641ef5dff3b6f75ee5	DL_test	14	ka	da	1	other	ga	0	831
611383641ef5dff3b6f75ee5	DL_test	15	ba	ga	1	left	ba	1	1238
611383641ef5dff3b6f75ee5	DL_test	16	pa	ga	1	right	ga	1	882
611383641ef5dff3b6f75ee5	DL_test	17	ka	ta	1	left	ka	1	1020
611383641ef5dff3b6f75ee5	DL_test	18	ba	da	1	other	pa	0	1456
611383641ef5dff3b6f75ee5	DL_test	19	pa	da	1	right	da	1	1146
611383641ef5dff3b6f75ee5	DL_test	20	ba	ta	1	right	ta	1	1298
611383641ef5dff3b6f75ee5	DL_test	21	ta	ta	0	left	ta	1	1245
611383641ef5dff3b6f75ee5	DL_test	22	ka	ba	1	right	ba	1	991
611383641ef5dff3b6f75ee5	DL_test	23	ta	ga	1	right	ga	1	1343
611383641ef5dff3b6f75ee5	DL_test	24	pa	ba	1	right	ba	1	1486
611383641ef5dff3b6f75ee5	DL_test	25	ga	pa	1	left	ga	1	771
611383641ef5dff3b6f75ee5	DL_test	26	ba	ka	1	right	ka	1	1513
611383641ef5dff3b6f75ee5	DL_test	27	da	ka	1	left	da	1	929
611383641ef5dff3b6f75ee5	DL_test	28	ka	ga	1	right	ga	1	653
611383641ef5dff3b6f75ee5	DL_test	29	ta	ba	1	right	ba	1	1070
611383641ef5dff3b6f75ee5	DL_test	30	ta	pa	1	left	ta	1	1582
611383641ef5dff3b6f75ee5	DL_test	31	da	ta	1	left	da	1	1632
611383641ef5dff3b6f75ee5	DL_test	32	da	da	0	left	da	1	1024
611383641ef5dff3b6f75ee5	DL_test	33	ga	ga	0	left	ga	1	988
