subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	3	NA	NA	0	NA	second	1	938
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	6	NA	NA	0	NA	second	0	6491
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	9	NA	NA	0	NA	third	0	85
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	12	NA	NA	0	NA	second	0	434
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	15	NA	NA	0	NA	first	0	399
63d6dfc970a407ead0b0d3a1	headphonecheck_testphase	18	NA	NA	0	NA	second	0	255
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	460
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	235
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	220
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	193
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	192
63d6dfc970a407ead0b0d3a1	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	189
63d6dfc970a407ead0b0d3a1	DL_practice	2	ga	ta	1	left	ga	1	4409
63d6dfc970a407ead0b0d3a1	DL_practice	3	da	ba	1	other	ta	0	4428
63d6dfc970a407ead0b0d3a1	DL_practice	4	da	da	0	left	da	1	1800
63d6dfc970a407ead0b0d3a1	DL_practice	5	ga	ga	0	left	ga	1	815
63d6dfc970a407ead0b0d3a1	DL_practice	6	ka	pa	1	other	ta	0	5707
63d6dfc970a407ead0b0d3a1	DL_practice	7	ta	ta	0	left	ta	1	1890
63d6dfc970a407ead0b0d3a1	DL_practice	8	ba	ba	0	other	pa	0	1178
63d6dfc970a407ead0b0d3a1	DL_practice	9	ka	ka	0	left	ka	1	1057
63d6dfc970a407ead0b0d3a1	DL_practice	10	pa	pa	0	left	pa	1	837
63d6dfc970a407ead0b0d3a1	DL_test	1	ba	ta	1	right	ta	1	1828
63d6dfc970a407ead0b0d3a1	DL_test	2	ka	pa	1	left	ka	1	940
63d6dfc970a407ead0b0d3a1	DL_test	3	da	pa	1	left	da	1	2516
63d6dfc970a407ead0b0d3a1	DL_test	4	ka	ta	1	left	ka	1	1330
63d6dfc970a407ead0b0d3a1	DL_test	5	da	ba	1	other	pa	0	1870
63d6dfc970a407ead0b0d3a1	DL_test	6	ba	ga	1	other	pa	0	2256
63d6dfc970a407ead0b0d3a1	DL_test	7	ga	pa	1	left	ga	1	1189
63d6dfc970a407ead0b0d3a1	DL_test	8	ta	pa	1	left	ta	1	1755
63d6dfc970a407ead0b0d3a1	DL_test	9	ga	ka	1	left	ga	1	1964
63d6dfc970a407ead0b0d3a1	DL_test	10	ka	ga	1	right	ga	1	863
63d6dfc970a407ead0b0d3a1	DL_test	11	ka	da	1	other	ga	0	843
63d6dfc970a407ead0b0d3a1	DL_test	12	ta	da	1	right	da	1	996
63d6dfc970a407ead0b0d3a1	DL_test	13	ka	ka	0	left	ka	1	1884
63d6dfc970a407ead0b0d3a1	DL_test	14	da	ka	1	left	da	1	1561
63d6dfc970a407ead0b0d3a1	DL_test	15	ba	da	1	other	pa	0	1788
63d6dfc970a407ead0b0d3a1	DL_test	16	ta	ba	1	other	pa	0	1137
63d6dfc970a407ead0b0d3a1	DL_test	17	pa	ta	1	left	pa	1	1262
63d6dfc970a407ead0b0d3a1	DL_test	18	da	da	0	other	pa	0	1731
63d6dfc970a407ead0b0d3a1	DL_test	19	ta	ka	1	left	ta	1	1906
63d6dfc970a407ead0b0d3a1	DL_test	20	ga	da	1	left	ga	1	1426
63d6dfc970a407ead0b0d3a1	DL_test	21	ta	ta	0	left	ta	1	2639
63d6dfc970a407ead0b0d3a1	DL_test	22	ba	ka	1	other	pa	0	1178
63d6dfc970a407ead0b0d3a1	DL_test	23	da	ga	1	other	pa	0	927
63d6dfc970a407ead0b0d3a1	DL_test	24	ga	ba	1	other	pa	0	1071
63d6dfc970a407ead0b0d3a1	DL_test	25	ba	ba	0	other	pa	0	1084
63d6dfc970a407ead0b0d3a1	DL_test	26	ka	ba	1	other	pa	0	451
63d6dfc970a407ead0b0d3a1	DL_test	27	pa	ga	1	right	ga	1	1304
63d6dfc970a407ead0b0d3a1	DL_test	28	pa	pa	0	left	pa	1	1249
63d6dfc970a407ead0b0d3a1	DL_test	29	pa	ba	1	left	pa	1	591
63d6dfc970a407ead0b0d3a1	DL_test	30	ba	pa	1	right	pa	1	403
63d6dfc970a407ead0b0d3a1	DL_test	31	pa	da	1	right	da	1	1438
63d6dfc970a407ead0b0d3a1	DL_test	32	da	ta	1	left	da	1	1669
63d6dfc970a407ead0b0d3a1	DL_test	33	ta	ga	1	right	ga	1	2299
63d6dfc970a407ead0b0d3a1	DL_test	34	ga	ga	0	left	ga	1	433
63d6dfc970a407ead0b0d3a1	DL_test	35	pa	ka	1	right	ka	1	1046
63d6dfc970a407ead0b0d3a1	DL_test	36	ga	ta	1	left	ga	1	1160
63d6dfc970a407ead0b0d3a1	DL_test	1	da	da	0	left	da	1	1658
63d6dfc970a407ead0b0d3a1	DL_test	2	ga	ka	1	left	ga	1	1185
63d6dfc970a407ead0b0d3a1	DL_test	3	ka	ba	1	other	pa	0	5513
63d6dfc970a407ead0b0d3a1	DL_test	4	ga	ga	0	left	ga	1	1274
63d6dfc970a407ead0b0d3a1	DL_test	5	ta	pa	1	other	ga	0	4897
63d6dfc970a407ead0b0d3a1	DL_test	6	da	ba	1	other	pa	0	2411
63d6dfc970a407ead0b0d3a1	DL_test	7	ka	ta	1	left	ka	1	2164
63d6dfc970a407ead0b0d3a1	DL_test	8	da	ga	1	other	pa	0	1724
63d6dfc970a407ead0b0d3a1	DL_test	9	ka	ka	0	left	ka	1	859
63d6dfc970a407ead0b0d3a1	DL_test	10	ba	ga	1	other	ka	0	938
63d6dfc970a407ead0b0d3a1	DL_test	11	ta	ta	0	other	ka	0	1577
63d6dfc970a407ead0b0d3a1	DL_test	12	ka	pa	1	left	ka	1	1449
63d6dfc970a407ead0b0d3a1	DL_test	13	da	ta	1	other	ka	0	1952
63d6dfc970a407ead0b0d3a1	DL_test	14	ba	ta	1	other	ka	0	3380
63d6dfc970a407ead0b0d3a1	DL_test	15	da	ka	1	other	pa	0	1453
63d6dfc970a407ead0b0d3a1	DL_test	16	pa	ba	1	left	pa	1	3188
63d6dfc970a407ead0b0d3a1	DL_test	17	pa	da	1	other	ka	0	638
63d6dfc970a407ead0b0d3a1	DL_test	18	ga	da	1	other	ka	0	1595
63d6dfc970a407ead0b0d3a1	DL_test	19	da	pa	1	other	ka	0	1027
63d6dfc970a407ead0b0d3a1	DL_test	20	ba	pa	1	right	pa	1	1398
63d6dfc970a407ead0b0d3a1	DL_test	21	ga	pa	1	other	ka	0	10306
63d6dfc970a407ead0b0d3a1	DL_test	22	ga	ta	1	left	ga	1	2182
63d6dfc970a407ead0b0d3a1	DL_test	23	pa	pa	0	left	pa	1	3844
63d6dfc970a407ead0b0d3a1	DL_test	24	ka	da	1	right	da	1	1842
63d6dfc970a407ead0b0d3a1	DL_test	25	ga	ba	1	other	pa	0	2170
63d6dfc970a407ead0b0d3a1	DL_test	26	pa	ga	1	right	ga	1	1305
63d6dfc970a407ead0b0d3a1	DL_test	27	ta	ba	1	other	pa	0	1899
63d6dfc970a407ead0b0d3a1	DL_test	28	ta	ga	1	right	ga	1	1413
63d6dfc970a407ead0b0d3a1	DL_test	29	pa	ka	1	right	ka	1	2382
63d6dfc970a407ead0b0d3a1	DL_test	30	ba	da	1	other	pa	0	3425
63d6dfc970a407ead0b0d3a1	DL_test	31	ka	ga	1	right	ga	1	1312
63d6dfc970a407ead0b0d3a1	DL_test	32	pa	ta	1	right	ta	1	1670
63d6dfc970a407ead0b0d3a1	DL_test	33	ta	da	1	right	da	1	2678
63d6dfc970a407ead0b0d3a1	DL_test	34	ba	ba	0	other	pa	0	2063
63d6dfc970a407ead0b0d3a1	DL_test	35	ba	ka	1	other	pa	0	2236
63d6dfc970a407ead0b0d3a1	DL_test	36	ta	ka	1	right	ka	1	1579
63d6dfc970a407ead0b0d3a1	DL_test	1	da	da	0	left	da	1	1559
63d6dfc970a407ead0b0d3a1	DL_test	2	ga	da	1	right	da	1	940
63d6dfc970a407ead0b0d3a1	DL_test	3	ta	ta	0	left	ta	1	1848
63d6dfc970a407ead0b0d3a1	DL_test	4	ka	ka	0	left	ka	1	1458
63d6dfc970a407ead0b0d3a1	DL_test	5	ta	ka	1	right	ka	1	1137
63d6dfc970a407ead0b0d3a1	DL_test	6	ta	ga	1	right	ga	1	566
63d6dfc970a407ead0b0d3a1	DL_test	7	ba	ga	1	other	pa	0	1059
63d6dfc970a407ead0b0d3a1	DL_test	8	da	ka	1	left	da	1	1367
63d6dfc970a407ead0b0d3a1	DL_test	9	ba	ka	1	other	pa	0	1106
63d6dfc970a407ead0b0d3a1	DL_test	10	ta	ba	1	left	ta	1	1535
63d6dfc970a407ead0b0d3a1	DL_test	11	ba	pa	1	right	pa	1	842
63d6dfc970a407ead0b0d3a1	DL_test	12	ga	pa	1	left	ga	1	1018
63d6dfc970a407ead0b0d3a1	DL_test	13	ba	ba	0	other	pa	0	2265
63d6dfc970a407ead0b0d3a1	DL_test	14	ga	ga	0	left	ga	1	1473
63d6dfc970a407ead0b0d3a1	DL_test	15	ba	ta	1	other	pa	0	1521
63d6dfc970a407ead0b0d3a1	DL_test	16	pa	da	1	right	da	1	1781
63d6dfc970a407ead0b0d3a1	DL_test	17	ka	ga	1	right	ga	1	1192
63d6dfc970a407ead0b0d3a1	DL_test	18	ga	ta	1	left	ga	1	461
63d6dfc970a407ead0b0d3a1	DL_test	19	pa	pa	0	left	pa	1	1514
63d6dfc970a407ead0b0d3a1	DL_test	20	pa	ka	1	right	ka	1	1907
63d6dfc970a407ead0b0d3a1	DL_test	21	da	pa	1	right	pa	1	1551
63d6dfc970a407ead0b0d3a1	DL_test	22	ta	da	1	right	da	1	1628
63d6dfc970a407ead0b0d3a1	DL_test	23	da	ba	1	other	pa	0	1026
63d6dfc970a407ead0b0d3a1	DL_test	24	da	ga	1	left	da	1	1155
63d6dfc970a407ead0b0d3a1	DL_test	25	ka	ba	1	other	pa	0	1213
63d6dfc970a407ead0b0d3a1	DL_test	26	ka	ta	1	left	ka	1	1568
63d6dfc970a407ead0b0d3a1	DL_test	27	ka	da	1	other	ga	0	874
63d6dfc970a407ead0b0d3a1	DL_test	28	da	ta	1	other	ga	0	583
63d6dfc970a407ead0b0d3a1	DL_test	29	ba	da	1	other	pa	0	936
63d6dfc970a407ead0b0d3a1	DL_test	30	pa	ba	1	left	pa	1	534
63d6dfc970a407ead0b0d3a1	DL_test	31	ga	ka	1	left	ga	1	1121
63d6dfc970a407ead0b0d3a1	DL_test	32	ga	ba	1	other	pa	0	1396
63d6dfc970a407ead0b0d3a1	DL_test	33	pa	ga	1	right	ga	1	1345
63d6dfc970a407ead0b0d3a1	DL_test	34	ta	pa	1	left	ta	1	1924
63d6dfc970a407ead0b0d3a1	DL_test	35	ka	pa	1	left	ka	1	1561
63d6dfc970a407ead0b0d3a1	DL_test	36	pa	ta	1	right	ta	1	2628
63d6dfc970a407ead0b0d3a1	DL_test	1	ba	ba	0	other	pa	0	1438
63d6dfc970a407ead0b0d3a1	DL_test	2	ta	ba	1	other	pa	0	465
63d6dfc970a407ead0b0d3a1	DL_test	3	ga	ka	1	left	ga	1	1261
63d6dfc970a407ead0b0d3a1	DL_test	4	da	pa	1	left	da	1	1009
63d6dfc970a407ead0b0d3a1	DL_test	5	ta	da	1	right	da	1	720
63d6dfc970a407ead0b0d3a1	DL_test	6	da	ta	1	left	da	1	591
63d6dfc970a407ead0b0d3a1	DL_test	7	da	da	0	left	da	1	499
63d6dfc970a407ead0b0d3a1	DL_test	8	ba	ga	1	other	da	0	1048
63d6dfc970a407ead0b0d3a1	DL_test	9	pa	ba	1	left	pa	1	899
63d6dfc970a407ead0b0d3a1	DL_test	10	pa	da	1	right	da	1	2636
63d6dfc970a407ead0b0d3a1	DL_test	11	pa	ka	1	right	ka	1	1302
63d6dfc970a407ead0b0d3a1	DL_test	12	ka	pa	1	left	ka	1	853
63d6dfc970a407ead0b0d3a1	DL_test	13	da	ga	1	right	ga	1	1155
63d6dfc970a407ead0b0d3a1	DL_test	14	ta	pa	1	left	ta	1	1274
