subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	3	NA	NA	0	NA	first	1	2730
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	6	NA	NA	0	NA	second	1	330
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	9	NA	NA	0	NA	second	1	80
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	12	NA	NA	0	NA	third	1	314
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	15	NA	NA	0	NA	first	1	560
63ea6b49edfcb9164c21a4bd	headphonecheck_testphase	18	NA	NA	0	NA	third	1	198
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	415
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	327
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	299
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	280
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	304
63ea6b49edfcb9164c21a4bd	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	207
63ea6b49edfcb9164c21a4bd	DL_practice	2	da	da	0	left	da	1	1119
63ea6b49edfcb9164c21a4bd	DL_practice	3	ba	ba	0	left	ba	1	1348
63ea6b49edfcb9164c21a4bd	DL_practice	4	ga	ga	0	left	ga	1	786
63ea6b49edfcb9164c21a4bd	DL_practice	5	pa	pa	0	left	pa	1	1419
63ea6b49edfcb9164c21a4bd	DL_practice	6	ta	ta	0	left	ta	1	920
63ea6b49edfcb9164c21a4bd	DL_practice	7	ga	ta	1	right	ta	1	2169
63ea6b49edfcb9164c21a4bd	DL_practice	8	ka	pa	1	right	pa	1	1204
63ea6b49edfcb9164c21a4bd	DL_practice	9	da	ba	1	right	ba	1	1869
63ea6b49edfcb9164c21a4bd	DL_practice	10	ka	ka	0	left	ka	1	1170
63ea6b49edfcb9164c21a4bd	DL_test	1	da	da	0	left	da	1	1419
63ea6b49edfcb9164c21a4bd	DL_test	2	da	ka	1	left	da	1	1553
63ea6b49edfcb9164c21a4bd	DL_test	3	ga	ta	1	right	ta	1	1737
63ea6b49edfcb9164c21a4bd	DL_test	4	ta	ga	1	other	pa	0	1904
63ea6b49edfcb9164c21a4bd	DL_test	5	ga	pa	1	left	ga	1	1837
63ea6b49edfcb9164c21a4bd	DL_test	6	ta	ka	1	right	ka	1	1237
63ea6b49edfcb9164c21a4bd	DL_test	7	da	ga	1	left	da	1	1271
63ea6b49edfcb9164c21a4bd	DL_test	8	ba	da	1	right	da	1	2354
63ea6b49edfcb9164c21a4bd	DL_test	9	pa	pa	0	left	pa	1	1437
63ea6b49edfcb9164c21a4bd	DL_test	10	da	ta	1	right	ta	1	1254
63ea6b49edfcb9164c21a4bd	DL_test	11	pa	ba	1	left	pa	1	1837
63ea6b49edfcb9164c21a4bd	DL_test	12	pa	da	1	left	pa	1	1354
63ea6b49edfcb9164c21a4bd	DL_test	13	ka	da	1	right	da	1	1705
63ea6b49edfcb9164c21a4bd	DL_test	14	ka	ga	1	left	ka	1	1488
63ea6b49edfcb9164c21a4bd	DL_test	15	ta	ba	1	right	ba	1	2521
63ea6b49edfcb9164c21a4bd	DL_test	16	da	pa	1	right	pa	1	1355
63ea6b49edfcb9164c21a4bd	DL_test	17	ba	pa	1	right	pa	1	1405
63ea6b49edfcb9164c21a4bd	DL_test	18	ba	ka	1	right	ka	1	1754
63ea6b49edfcb9164c21a4bd	DL_test	19	ga	da	1	right	da	1	1188
63ea6b49edfcb9164c21a4bd	DL_test	20	ga	ba	1	right	ba	1	1471
63ea6b49edfcb9164c21a4bd	DL_test	21	ba	ba	0	left	ba	1	1405
63ea6b49edfcb9164c21a4bd	DL_test	22	ba	ga	1	right	ga	1	1789
63ea6b49edfcb9164c21a4bd	DL_test	23	pa	ta	1	left	pa	1	1622
63ea6b49edfcb9164c21a4bd	DL_test	24	ga	ga	0	left	ga	1	1089
63ea6b49edfcb9164c21a4bd	DL_test	25	ka	ka	0	left	ka	1	989
63ea6b49edfcb9164c21a4bd	DL_test	26	ta	da	1	other	ka	0	1405
63ea6b49edfcb9164c21a4bd	DL_test	27	ta	pa	1	right	pa	1	1439
63ea6b49edfcb9164c21a4bd	DL_test	28	da	ba	1	right	ba	1	2089
63ea6b49edfcb9164c21a4bd	DL_test	29	ka	ta	1	right	ta	1	1906
63ea6b49edfcb9164c21a4bd	DL_test	30	ta	ta	0	left	ta	1	1156
63ea6b49edfcb9164c21a4bd	DL_test	31	ka	pa	1	left	ka	1	1856
63ea6b49edfcb9164c21a4bd	DL_test	32	pa	ka	1	left	pa	1	1256
63ea6b49edfcb9164c21a4bd	DL_test	33	ba	ta	1	left	ba	1	3306
63ea6b49edfcb9164c21a4bd	DL_test	34	ka	ba	1	right	ba	1	2156
63ea6b49edfcb9164c21a4bd	DL_test	35	ga	ka	1	left	ga	1	2223
63ea6b49edfcb9164c21a4bd	DL_test	36	pa	ga	1	left	pa	1	1474
63ea6b49edfcb9164c21a4bd	DL_test	1	pa	pa	0	left	pa	1	1407
63ea6b49edfcb9164c21a4bd	DL_test	2	da	ba	1	right	ba	1	1574
63ea6b49edfcb9164c21a4bd	DL_test	3	ga	pa	1	left	ga	1	1424
63ea6b49edfcb9164c21a4bd	DL_test	4	ta	ta	0	left	ta	1	1441
63ea6b49edfcb9164c21a4bd	DL_test	5	pa	ta	1	other	ba	0	2024
63ea6b49edfcb9164c21a4bd	DL_test	6	ga	ka	1	right	ka	1	3508
63ea6b49edfcb9164c21a4bd	DL_test	7	ga	ta	1	right	ta	1	1941
63ea6b49edfcb9164c21a4bd	DL_test	8	da	ta	1	other	ga	0	2375
63ea6b49edfcb9164c21a4bd	DL_test	9	pa	da	1	left	pa	1	1941
63ea6b49edfcb9164c21a4bd	DL_test	10	ba	pa	1	right	pa	1	1788
63ea6b49edfcb9164c21a4bd	DL_test	11	ga	ga	0	left	ga	1	1708
63ea6b49edfcb9164c21a4bd	DL_test	12	ka	ta	1	right	ta	1	3158
63ea6b49edfcb9164c21a4bd	DL_test	13	pa	ba	1	left	pa	1	1175
63ea6b49edfcb9164c21a4bd	DL_test	14	ga	da	1	right	da	1	1658
63ea6b49edfcb9164c21a4bd	DL_test	15	ka	ka	0	left	ka	1	1559
63ea6b49edfcb9164c21a4bd	DL_test	16	ka	ga	1	right	ga	1	1408
63ea6b49edfcb9164c21a4bd	DL_test	17	ba	ka	1	right	ka	1	1908
63ea6b49edfcb9164c21a4bd	DL_test	18	ba	da	1	left	ba	1	1426
63ea6b49edfcb9164c21a4bd	DL_test	19	ka	da	1	left	ka	1	1626
63ea6b49edfcb9164c21a4bd	DL_test	20	ka	pa	1	right	pa	1	1459
63ea6b49edfcb9164c21a4bd	DL_test	21	ba	ta	1	right	ta	1	1892
63ea6b49edfcb9164c21a4bd	DL_test	22	da	ga	1	left	da	1	1459
63ea6b49edfcb9164c21a4bd	DL_test	23	ba	ga	1	right	ga	1	1809
63ea6b49edfcb9164c21a4bd	DL_test	24	ga	ba	1	right	ba	1	1443
63ea6b49edfcb9164c21a4bd	DL_test	25	ta	pa	1	right	pa	1	1376
63ea6b49edfcb9164c21a4bd	DL_test	26	da	pa	1	left	da	1	1459
63ea6b49edfcb9164c21a4bd	DL_test	27	ta	ga	1	other	da	0	2009
63ea6b49edfcb9164c21a4bd	DL_test	28	ta	ka	1	right	ka	1	1260
63ea6b49edfcb9164c21a4bd	DL_test	29	ta	da	1	right	da	1	1326
63ea6b49edfcb9164c21a4bd	DL_test	30	pa	ka	1	left	pa	1	1227
