subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b7ba10e4ba9cd0001e66fb4	666841	9.5	practice	slash	1	rectangle	global	RVF	yes	present	1	428
5b7ba10e4ba9cd0001e66fb4	672048	9.5	practice	slash	2	rectangle	local	RVF	yes	absent	0	2000
5b7ba10e4ba9cd0001e66fb4	675989	9.5	practice	slash	3	absent	absent	absent	no	present	0	1282
5b7ba10e4ba9cd0001e66fb4	679675	9.5	practice	slash	4	rectangle	global	LVF	yes	present	1	923
5b7ba10e4ba9cd0001e66fb4	683271	9.5	practice	slash	5	square	global	RVF	yes	present	1	905
5b7ba10e4ba9cd0001e66fb4	686848	9.5	practice	slash	6	square	local	LVF	yes	present	1	1302
5b7ba10e4ba9cd0001e66fb4	690112	9.5	practice	slash	7	rectangle	local	RVF	yes	present	1	964
5b7ba10e4ba9cd0001e66fb4	693596	9.5	practice	slash	8	square	global	LVF	yes	present	1	1026
5b7ba10e4ba9cd0001e66fb4	698156	9.5	practice	slash	9	absent	absent	absent	no	absent	1	2000
5b7ba10e4ba9cd0001e66fb4	701291	9.5	practice	slash	10	rectangle	global	RVF	yes	present	1	829
5b7ba10e4ba9cd0001e66fb4	704756	9.5	practice	slash	11	square	local	LVF	yes	present	1	1242
5b7ba10e4ba9cd0001e66fb4	707975	9.5	practice	slash	12	square	global	LVF	yes	present	1	947
5b7ba10e4ba9cd0001e66fb4	711103	9.5	practice	slash	13	absent	absent	absent	no	present	0	982
5b7ba10e4ba9cd0001e66fb4	714213	9.5	practice	slash	14	rectangle	global	LVF	yes	present	1	1089
5b7ba10e4ba9cd0001e66fb4	716993	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	808
5b7ba10e4ba9cd0001e66fb4	721066	9.5	practice	slash	16	absent	absent	absent	no	absent	1	2000
5b7ba10e4ba9cd0001e66fb4	734803	10.5	main	slash	1	square	local	RVF	yes	present	1	610
5b7ba10e4ba9cd0001e66fb4	737875	10.5	main	slash	2	rectangle	local	RVF	yes	present	1	751
5b7ba10e4ba9cd0001e66fb4	739975	10.5	main	slash	3	square	local	RVF	yes	present	1	820
5b7ba10e4ba9cd0001e66fb4	742082	10.5	main	slash	4	rectangle	global	RVF	yes	present	1	796
5b7ba10e4ba9cd0001e66fb4	744071	10.5	main	slash	5	square	global	LVF	yes	present	1	866
5b7ba10e4ba9cd0001e66fb4	747250	10.5	main	slash	6	absent	absent	absent	no	absent	1	2000
5b7ba10e4ba9cd0001e66fb4	749183	10.5	main	slash	7	rectangle	global	LVF	yes	present	1	889
5b7ba10e4ba9cd0001e66fb4	751669	10.5	main	slash	8	rectangle	local	RVF	yes	present	1	1060
5b7ba10e4ba9cd0001e66fb4	754033	10.5	main	slash	9	square	global	LVF	yes	present	1	1174
5b7ba10e4ba9cd0001e66fb4	756130	10.5	main	slash	10	rectangle	local	LVF	yes	present	1	826
5b7ba10e4ba9cd0001e66fb4	759505	10.5	main	slash	11	square	local	RVF	yes	absent	0	2000
5b7ba10e4ba9cd0001e66fb4	761495	10.5	main	slash	12	square	global	RVF	yes	present	1	827
5b7ba10e4ba9cd0001e66fb4	763729	10.5	main	slash	13	rectangle	global	LVF	yes	present	1	762
5b7ba10e4ba9cd0001e66fb4	765834	10.5	main	slash	14	rectangle	local	LVF	yes	present	1	869
5b7ba10e4ba9cd0001e66fb4	767866	10.5	main	slash	15	square	local	LVF	yes	present	1	888
5b7ba10e4ba9cd0001e66fb4	770016	10.5	main	slash	16	rectangle	global	RVF	yes	present	1	976
5b7ba10e4ba9cd0001e66fb4	772054	10.5	main	slash	17	square	local	LVF	yes	present	1	847
5b7ba10e4ba9cd0001e66fb4	775207	10.5	main	slash	18	absent	absent	absent	no	absent	1	2000
5b7ba10e4ba9cd0001e66fb4	778300	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
5b7ba10e4ba9cd0001e66fb4	780076	10.5	main	slash	20	rectangle	global	LVF	yes	present	1	760
5b7ba10e4ba9cd0001e66fb4	782220	10.5	main	slash	21	rectangle	local	RVF	yes	present	1	793
5b7ba10e4ba9cd0001e66fb4	784101	10.5	main	slash	22	rectangle	local	LVF	yes	present	1	790
5b7ba10e4ba9cd0001e66fb4	786004	10.5	main	slash	23	square	global	LVF	yes	present	1	843
5b7ba10e4ba9cd0001e66fb4	787855	10.5	main	slash	24	square	global	RVF	yes	present	1	781
5b7ba10e4ba9cd0001e66fb4	789624	10.5	main	slash	25	rectangle	global	LVF	yes	present	1	821
5b7ba10e4ba9cd0001e66fb4	792704	10.5	main	slash	26	square	global	RVF	yes	absent	0	2000
5b7ba10e4ba9cd0001e66fb4	795361	10.5	main	slash	27	absent	absent	absent	no	present	0	1395
