subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bead56b5324b10001c2551c	698479	9.5	practice	z	1	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	701968	9.5	practice	z	2	square	global	LVF	yes	present	1	417
5bead56b5324b10001c2551c	705586	9.5	practice	z	3	rectangle	local	RVF	yes	present	1	1232
5bead56b5324b10001c2551c	708165	9.5	practice	z	4	rectangle	global	LVF	yes	present	1	484
5bead56b5324b10001c2551c	710688	9.5	practice	z	5	rectangle	local	RVF	yes	present	1	528
5bead56b5324b10001c2551c	713639	9.5	practice	z	6	square	global	LVF	yes	present	1	796
5bead56b5324b10001c2551c	716608	9.5	practice	z	7	square	global	RVF	yes	present	1	781
5bead56b5324b10001c2551c	719009	9.5	practice	z	8	rectangle	global	LVF	yes	present	1	464
5bead56b5324b10001c2551c	721847	9.5	practice	z	9	square	local	LVF	yes	present	1	720
5bead56b5324b10001c2551c	725661	9.5	practice	z	10	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	728567	9.5	practice	z	11	rectangle	global	RVF	yes	present	1	890
5bead56b5324b10001c2551c	731513	9.5	practice	z	12	rectangle	global	RVF	yes	present	1	884
5bead56b5324b10001c2551c	735448	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	738263	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	586
5bead56b5324b10001c2551c	742190	9.5	practice	z	15	square	local	LVF	yes	present	1	898
5bead56b5324b10001c2551c	746250	9.5	practice	z	16	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	751307	10.5	main	z	1	square	local	RVF	yes	present	1	617
5bead56b5324b10001c2551c	753408	10.5	main	z	2	square	global	LVF	yes	present	1	712
5bead56b5324b10001c2551c	755110	10.5	main	z	3	square	global	RVF	yes	present	1	799
5bead56b5324b10001c2551c	756687	10.5	main	z	4	square	global	LVF	yes	present	1	809
5bead56b5324b10001c2551c	758230	10.5	main	z	5	rectangle	local	RVF	yes	present	1	802
5bead56b5324b10001c2551c	759766	10.5	main	z	6	rectangle	local	LVF	yes	present	1	789
5bead56b5324b10001c2551c	761197	10.5	main	z	7	square	local	LVF	yes	present	1	728
5bead56b5324b10001c2551c	762516	10.5	main	z	8	square	local	LVF	yes	present	1	583
5bead56b5324b10001c2551c	763912	10.5	main	z	9	square	local	RVF	yes	present	1	666
5bead56b5324b10001c2551c	765372	10.5	main	z	10	absent	absent	absent	no	present	0	713
5bead56b5324b10001c2551c	766839	10.5	main	z	11	rectangle	local	RVF	yes	present	1	761
5bead56b5324b10001c2551c	768430	10.5	main	z	12	square	local	LVF	yes	present	1	818
5bead56b5324b10001c2551c	770020	10.5	main	z	13	square	global	RVF	yes	present	1	862
5bead56b5324b10001c2551c	771750	10.5	main	z	14	rectangle	local	RVF	yes	present	1	1021
5bead56b5324b10001c2551c	773255	10.5	main	z	15	rectangle	local	RVF	yes	present	1	760
5bead56b5324b10001c2551c	774729	10.5	main	z	16	rectangle	global	LVF	yes	present	1	756
5bead56b5324b10001c2551c	776250	10.5	main	z	17	rectangle	local	LVF	yes	present	1	817
5bead56b5324b10001c2551c	777665	10.5	main	z	18	square	local	RVF	yes	present	1	666
5bead56b5324b10001c2551c	779127	10.5	main	z	19	absent	absent	absent	no	present	0	764
5bead56b5324b10001c2551c	781863	10.5	main	z	20	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	783719	10.5	main	z	21	square	global	RVF	yes	present	1	655
5bead56b5324b10001c2551c	785127	10.5	main	z	22	rectangle	global	LVF	yes	present	1	681
5bead56b5324b10001c2551c	786486	10.5	main	z	23	rectangle	global	LVF	yes	present	1	607
5bead56b5324b10001c2551c	787727	10.5	main	z	24	rectangle	global	RVF	yes	present	1	497
5bead56b5324b10001c2551c	789142	10.5	main	z	25	square	local	RVF	yes	present	1	679
5bead56b5324b10001c2551c	791897	10.5	main	z	26	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	793839	10.5	main	z	27	rectangle	local	LVF	yes	present	1	708
5bead56b5324b10001c2551c	795182	10.5	main	z	28	rectangle	global	RVF	yes	present	1	652
5bead56b5324b10001c2551c	796384	10.5	main	z	29	rectangle	global	RVF	yes	present	1	502
5bead56b5324b10001c2551c	797598	10.5	main	z	30	rectangle	global	LVF	yes	present	1	485
5bead56b5324b10001c2551c	798998	10.5	main	z	31	square	global	RVF	yes	present	1	702
5bead56b5324b10001c2551c	801714	10.5	main	z	32	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	805014	10.5	main	z	33	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	806910	10.5	main	z	34	rectangle	local	LVF	yes	present	1	680
5bead56b5324b10001c2551c	808166	10.5	main	z	35	rectangle	global	RVF	yes	present	1	536
5bead56b5324b10001c2551c	809366	10.5	main	z	36	square	global	LVF	yes	present	1	486
5bead56b5324b10001c2551c	812064	10.5	main	z	37	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	815381	10.5	main	z	38	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	818159	10.5	main	z	39	square	global	LVF	yes	present	1	477
5bead56b5324b10001c2551c	819408	10.5	main	z	40	square	local	LVF	yes	present	1	510
5bead56b5324b10001c2551c	820558	10.5	main	z	41	rectangle	global	LVF	yes	present	1	461
5bead56b5324b10001c2551c	821862	10.5	main	z	42	rectangle	local	LVF	yes	present	1	598
5bead56b5324b10001c2551c	823054	10.5	main	z	43	rectangle	local	LVF	yes	present	1	490
5bead56b5324b10001c2551c	824279	10.5	main	z	44	square	local	RVF	yes	present	1	514
5bead56b5324b10001c2551c	825449	10.5	main	z	45	square	local	RVF	yes	present	1	465
5bead56b5324b10001c2551c	828151	10.5	main	z	46	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	830060	10.5	main	z	47	rectangle	local	RVF	yes	present	1	598
5bead56b5324b10001c2551c	831286	10.5	main	z	48	rectangle	local	RVF	yes	present	1	555
5bead56b5324b10001c2551c	833982	10.5	main	z	49	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	836915	10.5	main	z	50	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	838518	10.5	main	z	51	square	global	RVF	yes	present	1	570
5bead56b5324b10001c2551c	839790	10.5	main	z	52	rectangle	global	LVF	yes	present	1	575
5bead56b5324b10001c2551c	840918	10.5	main	z	53	square	global	LVF	yes	present	1	487
5bead56b5324b10001c2551c	842199	10.5	main	z	54	square	local	RVF	yes	present	1	600
5bead56b5324b10001c2551c	843590	10.5	main	z	55	square	global	LVF	yes	present	1	692
5bead56b5324b10001c2551c	844806	10.5	main	z	56	rectangle	global	RVF	yes	present	1	524
5bead56b5324b10001c2551c	846230	10.5	main	z	57	rectangle	local	LVF	yes	present	1	682
5bead56b5324b10001c2551c	847406	10.5	main	z	58	square	local	LVF	yes	present	1	474
5bead56b5324b10001c2551c	848671	10.5	main	z	59	rectangle	local	RVF	yes	present	1	538
5bead56b5324b10001c2551c	851366	10.5	main	z	60	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	854933	10.5	main	z	61	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	863207	10.5	main	z	62	square	local	LVF	yes	present	1	507
5bead56b5324b10001c2551c	864430	10.5	main	z	63	square	global	LVF	yes	present	1	514
5bead56b5324b10001c2551c	867116	10.5	main	z	64	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	870300	10.5	main	z	65	absent	absent	absent	no	absent	1	2000
5bead56b5324b10001c2551c	871734	10.5	main	z	66	square	global	RVF	yes	present	1	485
5bead56b5324b10001c2551c	872958	10.5	main	z	67	rectangle	local	LVF	yes	present	1	542
5bead56b5324b10001c2551c	875649	10.5	main	z	68	absent	absent	absent	no	absent	1	2000
