subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c28c65636efd800010f30fb	603774	9.5	practice	z	1	square	global	LVF	yes	present	1	548
5c28c65636efd800010f30fb	607829	9.5	practice	z	2	rectangle	global	LVF	yes	present	1	387
5c28c65636efd800010f30fb	612025	9.5	practice	z	3	rectangle	local	RVF	yes	absent	0	2000
5c28c65636efd800010f30fb	615126	9.5	practice	z	4	rectangle	global	LVF	yes	present	1	633
5c28c65636efd800010f30fb	619641	9.5	practice	z	5	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	622605	9.5	practice	z	6	rectangle	global	RVF	yes	present	1	747
5c28c65636efd800010f30fb	626741	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	631175	9.5	practice	z	8	square	local	LVF	yes	absent	0	2000
5c28c65636efd800010f30fb	635658	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	638853	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	595
5c28c65636efd800010f30fb	642077	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	819
5c28c65636efd800010f30fb	645813	9.5	practice	z	12	square	local	LVF	yes	present	1	1088
5c28c65636efd800010f30fb	649453	9.5	practice	z	13	square	global	LVF	yes	present	1	1212
5c28c65636efd800010f30fb	652638	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	880
5c28c65636efd800010f30fb	656991	9.5	practice	z	15	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	660061	9.5	practice	z	16	square	global	RVF	yes	present	1	670
5c28c65636efd800010f30fb	674076	10.5	main	z	1	rectangle	global	LVF	yes	present	1	486
5c28c65636efd800010f30fb	676316	10.5	main	z	2	square	local	RVF	yes	present	1	576
5c28c65636efd800010f30fb	678156	10.5	main	z	3	rectangle	local	RVF	yes	present	1	508
5c28c65636efd800010f30fb	680364	10.5	main	z	4	rectangle	global	LVF	yes	present	1	791
5c28c65636efd800010f30fb	683623	10.5	main	z	5	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	685676	10.5	main	z	6	rectangle	global	LVF	yes	present	1	853
5c28c65636efd800010f30fb	687996	10.5	main	z	7	rectangle	local	RVF	yes	present	1	806
5c28c65636efd800010f30fb	690076	10.5	main	z	8	square	global	LVF	yes	present	1	770
5c28c65636efd800010f30fb	692147	10.5	main	z	9	square	local	LVF	yes	present	1	842
5c28c65636efd800010f30fb	694411	10.5	main	z	10	rectangle	global	RVF	yes	present	1	1039
5c28c65636efd800010f30fb	696484	10.5	main	z	11	rectangle	global	RVF	yes	present	1	861
5c28c65636efd800010f30fb	699756	10.5	main	z	12	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	701547	10.5	main	z	13	square	local	RVF	yes	present	1	825
5c28c65636efd800010f30fb	704890	10.5	main	z	14	square	local	LVF	yes	absent	0	2000
5c28c65636efd800010f30fb	707083	10.5	main	z	15	square	local	RVF	yes	present	1	843
5c28c65636efd800010f30fb	709500	10.5	main	z	16	square	global	LVF	yes	present	1	1077
5c28c65636efd800010f30fb	712840	10.5	main	z	17	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	715139	10.5	main	z	18	square	global	LVF	yes	present	1	733
5c28c65636efd800010f30fb	718483	10.5	main	z	19	rectangle	global	LVF	yes	present	1	1977
5c28c65636efd800010f30fb	721179	10.5	main	z	20	rectangle	global	RVF	yes	present	1	1173
5c28c65636efd800010f30fb	723315	10.5	main	z	21	square	local	RVF	yes	present	1	926
5c28c65636efd800010f30fb	725651	10.5	main	z	22	rectangle	local	LVF	yes	present	1	1095
5c28c65636efd800010f30fb	728923	10.5	main	z	23	rectangle	local	LVF	yes	absent	0	2000
5c28c65636efd800010f30fb	731307	10.5	main	z	24	rectangle	local	RVF	yes	present	1	951
5c28c65636efd800010f30fb	733739	10.5	main	z	25	square	local	LVF	yes	present	1	1116
5c28c65636efd800010f30fb	736139	10.5	main	z	26	square	global	LVF	yes	present	1	1166
5c28c65636efd800010f30fb	739473	10.5	main	z	27	rectangle	local	LVF	yes	absent	0	2000
5c28c65636efd800010f30fb	741739	10.5	main	z	28	rectangle	local	LVF	yes	present	1	866
5c28c65636efd800010f30fb	744307	10.5	main	z	29	square	local	LVF	yes	present	1	1068
5c28c65636efd800010f30fb	747756	10.5	main	z	30	rectangle	global	RVF	yes	absent	0	2000
5c28c65636efd800010f30fb	751089	10.5	main	z	31	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	753283	10.5	main	z	32	rectangle	local	RVF	yes	present	1	777
5c28c65636efd800010f30fb	756387	10.5	main	z	33	square	global	RVF	yes	present	1	1848
5c28c65636efd800010f30fb	759856	10.5	main	z	34	square	global	RVF	yes	absent	0	2000
5c28c65636efd800010f30fb	763006	10.5	main	z	35	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	766256	10.5	main	z	36	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	769472	10.5	main	z	37	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	771579	10.5	main	z	38	square	global	RVF	yes	present	1	857
5c28c65636efd800010f30fb	773947	10.5	main	z	39	square	global	RVF	yes	present	1	1008
5c28c65636efd800010f30fb	777172	10.5	main	z	40	absent	absent	absent	no	absent	1	2000
5c28c65636efd800010f30fb	779475	10.5	main	z	41	square	global	RVF	yes	present	1	686
5c28c65636efd800010f30fb	781763	10.5	main	z	42	rectangle	local	RVF	yes	present	1	991
