subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ded38c39f631c3f7601388f	730878	9.5	practice	z	1	square	global	LVF	yes	present	1	1161
5ded38c39f631c3f7601388f	734559	9.5	practice	z	2	square	global	LVF	yes	present	1	642
5ded38c39f631c3f7601388f	737351	9.5	practice	z	3	rectangle	global	LVF	yes	present	1	484
5ded38c39f631c3f7601388f	740528	9.5	practice	z	4	absent	absent	absent	no	present	0	544
5ded38c39f631c3f7601388f	743240	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	489
5ded38c39f631c3f7601388f	747500	9.5	practice	z	6	square	local	LVF	yes	absent	0	2000
5ded38c39f631c3f7601388f	750114	9.5	practice	z	7	square	global	RVF	yes	present	1	396
5ded38c39f631c3f7601388f	753131	9.5	practice	z	8	rectangle	local	RVF	yes	present	1	662
5ded38c39f631c3f7601388f	757268	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
5ded38c39f631c3f7601388f	759971	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	486
5ded38c39f631c3f7601388f	762859	9.5	practice	z	11	square	local	LVF	yes	present	1	709
5ded38c39f631c3f7601388f	766951	9.5	practice	z	12	absent	absent	absent	no	absent	1	2000
5ded38c39f631c3f7601388f	769749	9.5	practice	z	13	rectangle	local	RVF	yes	present	1	531
5ded38c39f631c3f7601388f	772389	9.5	practice	z	14	rectangle	global	LVF	yes	present	1	437
5ded38c39f631c3f7601388f	776584	9.5	practice	z	15	absent	absent	absent	no	absent	1	2000
5ded38c39f631c3f7601388f	779125	9.5	practice	z	16	rectangle	global	RVF	yes	present	1	374
5ded38c39f631c3f7601388f	792684	10.5	main	z	1	rectangle	local	LVF	yes	absent	0	2000
5ded38c39f631c3f7601388f	794358	10.5	main	z	2	square	global	LVF	yes	present	1	376
5ded38c39f631c3f7601388f	797884	10.5	main	z	3	square	local	LVF	yes	absent	0	2000
