subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e29d82712b2f8029e117f2b	169913	1	practice	z	1	square	global	LVF	yes	present	1	757
5e29d82712b2f8029e117f2b	174339	1	practice	z	2	square	global	LVF	yes	present	1	1085
5e29d82712b2f8029e117f2b	178095	1	practice	z	3	rectangle	global	LVF	yes	present	1	774
5e29d82712b2f8029e117f2b	181535	1	practice	z	4	rectangle	global	RVF	yes	present	1	531
5e29d82712b2f8029e117f2b	184853	1	practice	z	5	rectangle	local	RVF	yes	present	1	943
5e29d82712b2f8029e117f2b	189139	1	practice	z	6	absent	absent	absent	no	absent	1	2000
5e29d82712b2f8029e117f2b	194067	1	practice	z	7	rectangle	local	RVF	yes	present	1	779
5e29d82712b2f8029e117f2b	198389	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5e29d82712b2f8029e117f2b	201735	1	practice	z	9	square	global	RVF	yes	present	1	614
5e29d82712b2f8029e117f2b	204676	1	practice	z	10	square	local	LVF	yes	present	1	588
5e29d82712b2f8029e117f2b	208972	1	practice	z	11	absent	absent	absent	no	absent	1	2000
5e29d82712b2f8029e117f2b	212256	1	practice	z	12	square	local	LVF	yes	present	1	718
5e29d82712b2f8029e117f2b	215176	1	practice	z	13	rectangle	local	RVF	yes	present	1	754
5e29d82712b2f8029e117f2b	218149	1	practice	z	14	rectangle	global	LVF	yes	present	1	761
5e29d82712b2f8029e117f2b	222555	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5e29d82712b2f8029e117f2b	225545	1	practice	z	16	rectangle	global	RVF	yes	present	1	657
5e29d82712b2f8029e117f2b	241285	2	main	z	1	absent	absent	absent	no	present	0	798
5e29d82712b2f8029e117f2b	243589	2	main	z	2	square	global	LVF	yes	present	1	752
5e29d82712b2f8029e117f2b	245713	2	main	z	3	rectangle	local	RVF	yes	present	1	859
5e29d82712b2f8029e117f2b	247705	2	main	z	4	rectangle	global	LVF	yes	present	1	751
5e29d82712b2f8029e117f2b	249697	2	main	z	5	square	global	LVF	yes	present	1	760
5e29d82712b2f8029e117f2b	251717	2	main	z	6	absent	absent	absent	no	present	0	796
5e29d82712b2f8029e117f2b	253682	2	main	z	7	rectangle	global	RVF	yes	present	1	811
5e29d82712b2f8029e117f2b	255593	2	main	z	8	square	local	LVF	yes	present	1	806
5e29d82712b2f8029e117f2b	257641	2	main	z	9	square	local	RVF	yes	present	1	921
5e29d82712b2f8029e117f2b	259611	2	main	z	10	square	global	RVF	yes	present	1	847
