subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e2f65a3be23b2525a9b4d97	170339	1	practice	z	1	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	174814	1	practice	z	2	rectangle	local	RVF	yes	present	1	808
5e2f65a3be23b2525a9b4d97	179072	1	practice	z	3	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	182366	1	practice	z	4	square	global	LVF	yes	present	1	843
5e2f65a3be23b2525a9b4d97	185238	1	practice	z	5	square	global	RVF	yes	present	1	866
5e2f65a3be23b2525a9b4d97	188566	1	practice	z	6	rectangle	global	LVF	yes	present	1	894
5e2f65a3be23b2525a9b4d97	191727	1	practice	z	7	rectangle	global	LVF	yes	present	1	887
5e2f65a3be23b2525a9b4d97	196023	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	200523	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	203919	1	practice	z	10	square	local	LVF	yes	present	1	846
5e2f65a3be23b2525a9b4d97	207135	1	practice	z	11	rectangle	global	RVF	yes	present	1	862
5e2f65a3be23b2525a9b4d97	211382	1	practice	z	12	square	local	LVF	yes	present	1	960
5e2f65a3be23b2525a9b4d97	214718	1	practice	z	13	rectangle	local	RVF	yes	present	1	979
5e2f65a3be23b2525a9b4d97	217958	1	practice	z	14	rectangle	global	RVF	yes	present	1	936
5e2f65a3be23b2525a9b4d97	221150	1	practice	z	15	rectangle	local	RVF	yes	present	1	978
5e2f65a3be23b2525a9b4d97	224286	1	practice	z	16	square	global	LVF	yes	present	1	930
5e2f65a3be23b2525a9b4d97	233802	2	main	z	1	square	global	RVF	yes	present	1	817
5e2f65a3be23b2525a9b4d97	237436	2	main	z	2	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	239746	2	main	z	3	rectangle	local	LVF	yes	present	1	778
5e2f65a3be23b2525a9b4d97	242114	2	main	z	4	square	local	LVF	yes	present	1	912
5e2f65a3be23b2525a9b4d97	244362	2	main	z	5	square	local	LVF	yes	present	1	911
5e2f65a3be23b2525a9b4d97	247585	2	main	z	6	absent	absent	absent	no	absent	1	2000
5e2f65a3be23b2525a9b4d97	249810	2	main	z	7	square	global	RVF	yes	present	1	842
5e2f65a3be23b2525a9b4d97	252122	2	main	z	8	rectangle	global	LVF	yes	present	1	854
5e2f65a3be23b2525a9b4d97	254490	2	main	z	9	square	local	LVF	yes	present	1	1105
5e2f65a3be23b2525a9b4d97	256706	2	main	z	10	square	local	RVF	yes	present	1	970
5e2f65a3be23b2525a9b4d97	258690	2	main	z	11	rectangle	local	RVF	yes	present	1	804
5e2f65a3be23b2525a9b4d97	260682	2	main	z	12	rectangle	local	LVF	yes	present	1	764
5e2f65a3be23b2525a9b4d97	262706	2	main	z	13	rectangle	local	RVF	yes	present	1	871
