subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5eb2134abde80d38a869a0a3	929120	9.5	practice	slash	1	square	local	LVF	yes	absent	0	2000
5eb2134abde80d38a869a0a3	933792	9.5	practice	slash	2	absent	absent	absent	no	present	0	921
5eb2134abde80d38a869a0a3	937856	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	370
5eb2134abde80d38a869a0a3	941985	9.5	practice	slash	4	rectangle	global	RVF	yes	present	1	433
5eb2134abde80d38a869a0a3	945105	9.5	practice	slash	5	rectangle	global	LVF	yes	present	1	560
5eb2134abde80d38a869a0a3	947745	9.5	practice	slash	6	rectangle	global	RVF	yes	present	1	407
5eb2134abde80d38a869a0a3	950608	9.5	practice	slash	7	absent	absent	absent	no	present	0	395
5eb2134abde80d38a869a0a3	953585	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	745
5eb2134abde80d38a869a0a3	956353	9.5	practice	slash	9	square	local	LVF	yes	present	1	470
5eb2134abde80d38a869a0a3	960492	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2000
5eb2134abde80d38a869a0a3	963265	9.5	practice	slash	11	absent	absent	absent	no	present	0	542
5eb2134abde80d38a869a0a3	966113	9.5	practice	slash	12	square	global	LVF	yes	present	1	530
5eb2134abde80d38a869a0a3	968865	9.5	practice	slash	13	rectangle	global	LVF	yes	present	1	456
5eb2134abde80d38a869a0a3	971872	9.5	practice	slash	14	square	global	LVF	yes	present	1	505
5eb2134abde80d38a869a0a3	974801	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	689
5eb2134abde80d38a869a0a3	977457	9.5	practice	slash	16	square	global	RVF	yes	present	1	535
5eb2134abde80d38a869a0a3	986431	10.5	main	slash	1	absent	absent	absent	no	absent	1	2000
5eb2134abde80d38a869a0a3	988311	10.5	main	slash	2	rectangle	global	RVF	yes	present	1	485
5eb2134abde80d38a869a0a3	990487	10.5	main	slash	3	square	global	LVF	yes	present	1	387
5eb2134abde80d38a869a0a3	993671	10.5	main	slash	4	square	global	LVF	yes	present	1	310
5eb2134abde80d38a869a0a3	996071	10.5	main	slash	5	square	local	LVF	yes	present	1	353
5eb2134abde80d38a869a0a3	998407	10.5	main	slash	6	square	local	RVF	yes	present	1	330
5eb2134abde80d38a869a0a3	1001015	10.5	main	slash	7	absent	absent	absent	no	present	0	413
5eb2134abde80d38a869a0a3	1003575	10.5	main	slash	8	rectangle	global	LVF	yes	present	1	498
5eb2134abde80d38a869a0a3	1005735	10.5	main	slash	9	rectangle	local	RVF	yes	present	1	350
