subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60fb9db54c70dd24172b67c3	156773	1	practice	z	1	rectangle	global	LVF	yes	present	1	632
60fb9db54c70dd24172b67c3	159965	1	practice	z	2	rectangle	global	LVF	yes	present	1	543
60fb9db54c70dd24172b67c3	164906	1	practice	z	3	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	167565	1	practice	z	4	rectangle	global	RVF	yes	present	1	460
60fb9db54c70dd24172b67c3	172072	1	practice	z	5	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	174392	1	practice	z	6	rectangle	global	RVF	yes	present	1	420
60fb9db54c70dd24172b67c3	177444	1	practice	z	7	square	global	LVF	yes	present	1	772
60fb9db54c70dd24172b67c3	181336	1	practice	z	8	square	local	LVF	yes	present	1	1812
60fb9db54c70dd24172b67c3	184319	1	practice	z	9	rectangle	local	RVF	yes	present	1	846
60fb9db54c70dd24172b67c3	187231	1	practice	z	10	square	local	LVF	yes	present	1	826
60fb9db54c70dd24172b67c3	189891	1	practice	z	11	square	global	LVF	yes	present	1	568
60fb9db54c70dd24172b67c3	193988	1	practice	z	12	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	196432	1	practice	z	13	square	global	RVF	yes	present	1	476
60fb9db54c70dd24172b67c3	201038	1	practice	z	14	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	203738	1	practice	z	15	rectangle	local	RVF	yes	present	1	649
60fb9db54c70dd24172b67c3	206636	1	practice	z	16	rectangle	local	RVF	yes	present	1	681
60fb9db54c70dd24172b67c3	216831	2	main	z	1	rectangle	local	RVF	yes	present	1	543
60fb9db54c70dd24172b67c3	220771	2	main	z	2	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	223788	2	main	z	3	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	226804	2	main	z	4	square	global	RVF	yes	absent	0	2000
60fb9db54c70dd24172b67c3	228624	2	main	z	5	square	local	LVF	yes	present	1	668
60fb9db54c70dd24172b67c3	231626	2	main	z	6	square	local	LVF	yes	present	1	603
60fb9db54c70dd24172b67c3	234037	2	main	z	7	square	local	RVF	yes	present	1	599
60fb9db54c70dd24172b67c3	236217	2	main	z	8	square	global	RVF	yes	present	1	379
60fb9db54c70dd24172b67c3	238898	2	main	z	9	rectangle	global	LVF	yes	present	1	994
60fb9db54c70dd24172b67c3	241600	2	main	z	10	rectangle	local	RVF	yes	present	1	962
60fb9db54c70dd24172b67c3	245453	2	main	z	11	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	247052	2	main	z	12	rectangle	global	RVF	yes	present	1	547
60fb9db54c70dd24172b67c3	249365	2	main	z	13	square	global	LVF	yes	present	1	777
60fb9db54c70dd24172b67c3	251368	2	main	z	14	square	local	RVF	yes	present	1	662
60fb9db54c70dd24172b67c3	253687	2	main	z	15	rectangle	global	LVF	yes	present	1	599
60fb9db54c70dd24172b67c3	255621	2	main	z	16	square	global	RVF	yes	present	1	466
60fb9db54c70dd24172b67c3	257331	2	main	z	17	square	global	LVF	yes	present	1	411
60fb9db54c70dd24172b67c3	259213	2	main	z	18	rectangle	local	LVF	yes	present	1	525
60fb9db54c70dd24172b67c3	262571	2	main	z	19	square	global	LVF	yes	absent	0	2000
60fb9db54c70dd24172b67c3	265604	2	main	z	20	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	267769	2	main	z	21	absent	absent	absent	no	present	0	1180
60fb9db54c70dd24172b67c3	269831	2	main	z	22	square	local	RVF	yes	present	1	476
60fb9db54c70dd24172b67c3	271703	2	main	z	23	rectangle	local	RVF	yes	present	1	448
60fb9db54c70dd24172b67c3	275104	2	main	z	24	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	276691	2	main	z	25	square	local	RVF	yes	present	1	520
60fb9db54c70dd24172b67c3	278883	2	main	z	26	square	global	LVF	yes	present	1	761
60fb9db54c70dd24172b67c3	281264	2	main	z	27	square	local	LVF	yes	present	1	826
60fb9db54c70dd24172b67c3	283786	2	main	z	28	rectangle	local	LVF	yes	present	1	880
60fb9db54c70dd24172b67c3	287705	2	main	z	29	absent	absent	absent	no	absent	1	2000
60fb9db54c70dd24172b67c3	291438	2	main	z	30	square	local	LVF	yes	absent	0	2000
60fb9db54c70dd24172b67c3	292891	2	main	z	31	square	global	RVF	yes	present	1	452
