subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6105f0d0cbe5d053ff7ecade	1757162	9.5	practice	z	1	rectangle	global	LVF	yes	present	1	577
6105f0d0cbe5d053ff7ecade	1761850	9.5	practice	z	2	square	local	LVF	yes	present	1	1924
6105f0d0cbe5d053ff7ecade	1766090	9.5	practice	z	3	square	global	LVF	yes	present	1	1150
6105f0d0cbe5d053ff7ecade	1770991	9.5	practice	z	4	rectangle	local	RVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1776762	9.5	practice	z	5	rectangle	local	RVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1780845	9.5	practice	z	6	rectangle	global	RVF	yes	present	1	668
6105f0d0cbe5d053ff7ecade	1783645	9.5	practice	z	7	rectangle	global	LVF	yes	present	1	586
6105f0d0cbe5d053ff7ecade	1787005	9.5	practice	z	8	square	local	LVF	yes	present	1	1013
6105f0d0cbe5d053ff7ecade	1791623	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1794800	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	913
6105f0d0cbe5d053ff7ecade	1798023	9.5	practice	z	11	absent	absent	absent	no	present	0	940
6105f0d0cbe5d053ff7ecade	1803061	9.5	practice	z	12	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1807636	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1811598	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	1250
6105f0d0cbe5d053ff7ecade	1815191	9.5	practice	z	15	square	global	LVF	yes	present	1	1012
6105f0d0cbe5d053ff7ecade	1818721	9.5	practice	z	16	square	global	RVF	yes	present	1	925
6105f0d0cbe5d053ff7ecade	1851443	10.5	main	z	1	square	global	RVF	yes	present	1	827
6105f0d0cbe5d053ff7ecade	1853564	10.5	main	z	2	rectangle	global	RVF	yes	present	1	437
6105f0d0cbe5d053ff7ecade	1855900	10.5	main	z	3	square	global	LVF	yes	present	1	376
6105f0d0cbe5d053ff7ecade	1860242	10.5	main	z	4	rectangle	local	LVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1861900	10.5	main	z	5	square	global	LVF	yes	present	1	378
6105f0d0cbe5d053ff7ecade	1866793	10.5	main	z	6	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1868513	10.5	main	z	7	rectangle	global	RVF	yes	present	1	373
6105f0d0cbe5d053ff7ecade	1871737	10.5	main	z	8	square	local	LVF	yes	present	1	1118
6105f0d0cbe5d053ff7ecade	1875423	10.5	main	z	9	rectangle	local	LVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1878756	10.5	main	z	10	square	local	RVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1881668	10.5	main	z	11	rectangle	local	LVF	yes	present	1	1199
6105f0d0cbe5d053ff7ecade	1884852	10.5	main	z	12	rectangle	local	RVF	yes	present	1	1619
6105f0d0cbe5d053ff7ecade	1888347	10.5	main	z	13	square	local	RVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1892062	10.5	main	z	14	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1896699	10.5	main	z	15	rectangle	local	RVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1900213	10.5	main	z	16	rectangle	global	LVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1905294	10.5	main	z	17	absent	absent	absent	no	present	0	966
6105f0d0cbe5d053ff7ecade	1908845	10.5	main	z	18	rectangle	local	LVF	yes	absent	0	2000
6105f0d0cbe5d053ff7ecade	1911143	10.5	main	z	19	absent	absent	absent	no	present	0	771
6105f0d0cbe5d053ff7ecade	1914941	10.5	main	z	20	rectangle	global	LVF	yes	present	1	587
6105f0d0cbe5d053ff7ecade	1917339	10.5	main	z	21	square	global	RVF	yes	present	1	566
6105f0d0cbe5d053ff7ecade	1920845	10.5	main	z	22	absent	absent	absent	no	present	0	1953
6105f0d0cbe5d053ff7ecade	1923957	10.5	main	z	23	square	global	RVF	yes	present	1	1017
6105f0d0cbe5d053ff7ecade	1926203	10.5	main	z	24	rectangle	global	LVF	yes	present	1	386
6105f0d0cbe5d053ff7ecade	1929036	10.5	main	z	25	rectangle	local	RVF	yes	present	1	1137
6105f0d0cbe5d053ff7ecade	1931930	10.5	main	z	26	absent	absent	absent	no	present	0	1196
6105f0d0cbe5d053ff7ecade	1934032	10.5	main	z	27	square	local	RVF	yes	present	1	701
6105f0d0cbe5d053ff7ecade	1936830	10.5	main	z	28	absent	absent	absent	no	present	0	697
6105f0d0cbe5d053ff7ecade	1939100	10.5	main	z	29	square	global	LVF	yes	present	1	420
6105f0d0cbe5d053ff7ecade	1941937	10.5	main	z	30	square	local	LVF	yes	present	1	888
6105f0d0cbe5d053ff7ecade	1943886	10.5	main	z	31	rectangle	global	LVF	yes	present	1	442
6105f0d0cbe5d053ff7ecade	1946621	10.5	main	z	32	rectangle	global	RVF	yes	present	1	657
6105f0d0cbe5d053ff7ecade	1948912	10.5	main	z	33	square	local	LVF	yes	present	1	535
6105f0d0cbe5d053ff7ecade	1951140	10.5	main	z	34	square	global	LVF	yes	present	1	798
6105f0d0cbe5d053ff7ecade	1953956	10.5	main	z	35	square	global	RVF	yes	present	1	413
6105f0d0cbe5d053ff7ecade	1957795	10.5	main	z	36	absent	absent	absent	no	absent	1	2000
6105f0d0cbe5d053ff7ecade	1959820	10.5	main	z	37	square	local	LVF	yes	present	1	610
6105f0d0cbe5d053ff7ecade	1962313	10.5	main	z	38	rectangle	local	RVF	yes	present	1	592
6105f0d0cbe5d053ff7ecade	1964296	10.5	main	z	39	square	local	RVF	yes	present	1	658
6105f0d0cbe5d053ff7ecade	1966499	10.5	main	z	40	rectangle	global	RVF	yes	present	1	425
6105f0d0cbe5d053ff7ecade	1968913	10.5	main	z	41	square	local	LVF	yes	present	1	725
6105f0d0cbe5d053ff7ecade	1971205	10.5	main	z	42	rectangle	global	LVF	yes	present	1	617
