subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
614a125a754b4a9660643d88	189294	1	practice	z	1	absent	absent	absent	no	absent	1	2000
614a125a754b4a9660643d88	196077	1	practice	z	2	square	global	RVF	yes	absent	0	2000
614a125a754b4a9660643d88	199374	1	practice	z	3	absent	absent	absent	no	present	0	779
614a125a754b4a9660643d88	202933	1	practice	z	4	rectangle	local	RVF	yes	present	1	922
614a125a754b4a9660643d88	207281	1	practice	z	5	rectangle	local	RVF	yes	present	1	735
614a125a754b4a9660643d88	210585	1	practice	z	6	square	local	LVF	yes	present	1	873
614a125a754b4a9660643d88	213468	1	practice	z	7	rectangle	global	LVF	yes	present	1	605
614a125a754b4a9660643d88	216228	1	practice	z	8	rectangle	global	RVF	yes	present	1	516
614a125a754b4a9660643d88	219101	1	practice	z	9	rectangle	global	LVF	yes	present	1	771
614a125a754b4a9660643d88	224319	1	practice	z	10	square	local	LVF	yes	present	1	1554
614a125a754b4a9660643d88	228869	1	practice	z	11	rectangle	global	RVF	yes	present	1	1570
614a125a754b4a9660643d88	232143	1	practice	z	12	rectangle	local	RVF	yes	present	1	1011
614a125a754b4a9660643d88	236765	1	practice	z	13	absent	absent	absent	no	absent	1	2000
614a125a754b4a9660643d88	239814	1	practice	z	14	square	global	LVF	yes	present	1	798
614a125a754b4a9660643d88	242830	1	practice	z	15	square	global	LVF	yes	present	1	664
614a125a754b4a9660643d88	247099	1	practice	z	16	absent	absent	absent	no	absent	1	2000
614a125a754b4a9660643d88	254271	2	main	z	1	rectangle	global	LVF	yes	present	1	903
614a125a754b4a9660643d88	259783	2	main	z	2	absent	absent	absent	no	present	0	1281
614a125a754b4a9660643d88	262703	2	main	z	3	rectangle	local	RVF	yes	present	1	1068
614a125a754b4a9660643d88	265498	2	main	z	4	rectangle	global	RVF	yes	present	1	1128
614a125a754b4a9660643d88	269817	2	main	z	5	absent	absent	absent	no	absent	1	2000
614a125a754b4a9660643d88	272936	2	main	z	6	rectangle	local	LVF	yes	absent	0	2000
614a125a754b4a9660643d88	275199	2	main	z	7	rectangle	global	LVF	yes	present	1	862
614a125a754b4a9660643d88	277559	2	main	z	8	square	local	RVF	yes	present	1	971
614a125a754b4a9660643d88	279781	2	main	z	9	square	local	LVF	yes	present	1	826
614a125a754b4a9660643d88	281863	2	main	z	10	rectangle	global	RVF	yes	present	1	892
614a125a754b4a9660643d88	283969	2	main	z	11	rectangle	global	LVF	yes	present	1	916
614a125a754b4a9660643d88	287120	2	main	z	12	rectangle	local	RVF	yes	absent	0	2000
614a125a754b4a9660643d88	289082	2	main	z	13	square	global	RVF	yes	present	1	844
614a125a754b4a9660643d88	291088	2	main	z	14	rectangle	global	RVF	yes	present	1	783
614a125a754b4a9660643d88	292989	2	main	z	15	square	global	LVF	yes	present	1	784
614a125a754b4a9660643d88	296171	2	main	z	16	rectangle	local	LVF	yes	absent	0	2000
614a125a754b4a9660643d88	298053	2	main	z	17	rectangle	global	LVF	yes	present	1	747
614a125a754b4a9660643d88	301522	2	main	z	18	square	local	LVF	yes	absent	0	2000
614a125a754b4a9660643d88	302968	2	main	z	19	square	global	LVF	yes	present	1	762
614a125a754b4a9660643d88	305299	2	main	z	20	rectangle	local	RVF	yes	present	1	976
614a125a754b4a9660643d88	307343	2	main	z	21	square	local	RVF	yes	present	1	920
614a125a754b4a9660643d88	309510	2	main	z	22	square	global	RVF	yes	present	1	936
614a125a754b4a9660643d88	311452	2	main	z	23	square	global	RVF	yes	present	1	812
614a125a754b4a9660643d88	313243	2	main	z	24	square	local	RVF	yes	present	1	736
614a125a754b4a9660643d88	315220	2	main	z	25	rectangle	local	LVF	yes	present	1	894
614a125a754b4a9660643d88	318258	2	main	z	26	absent	absent	absent	no	absent	1	2000
