subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63239f94b13228f09348c943	201784	1	practice	z	1	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	206684	1	practice	z	2	rectangle	global	LVF	yes	absent	0	2000
63239f94b13228f09348c943	212342	1	practice	z	3	square	local	LVF	yes	present	1	708
63239f94b13228f09348c943	216767	1	practice	z	4	square	global	RVF	yes	absent	0	2000
63239f94b13228f09348c943	220917	1	practice	z	5	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	225068	1	practice	z	6	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	228432	1	practice	z	7	rectangle	global	RVF	yes	present	1	1313
63239f94b13228f09348c943	231878	1	practice	z	8	square	local	LVF	yes	present	1	1194
63239f94b13228f09348c943	235143	1	practice	z	9	square	global	LVF	yes	present	1	1293
63239f94b13228f09348c943	239218	1	practice	z	10	rectangle	local	RVF	yes	absent	0	2000
63239f94b13228f09348c943	242431	1	practice	z	11	rectangle	global	LVF	yes	present	1	1063
63239f94b13228f09348c943	245222	1	practice	z	12	rectangle	local	RVF	yes	present	1	888
63239f94b13228f09348c943	247759	1	practice	z	13	rectangle	global	RVF	yes	present	1	808
63239f94b13228f09348c943	252055	1	practice	z	14	absent	absent	absent	no	present	0	1120
63239f94b13228f09348c943	254886	1	practice	z	15	rectangle	local	RVF	yes	present	1	886
63239f94b13228f09348c943	258143	1	practice	z	16	square	global	LVF	yes	present	1	1325
63239f94b13228f09348c943	274597	2	main	z	1	rectangle	global	RVF	yes	present	1	1014
63239f94b13228f09348c943	276796	2	main	z	2	square	local	LVF	yes	present	1	914
63239f94b13228f09348c943	278580	2	main	z	3	square	global	LVF	yes	present	1	832
63239f94b13228f09348c943	281515	2	main	z	4	rectangle	local	LVF	yes	absent	0	2000
63239f94b13228f09348c943	283420	2	main	z	5	square	local	RVF	yes	present	1	938
63239f94b13228f09348c943	285220	2	main	z	6	square	global	LVF	yes	present	1	788
63239f94b13228f09348c943	288082	2	main	z	7	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	289812	2	main	z	8	absent	absent	absent	no	present	0	964
63239f94b13228f09348c943	291917	2	main	z	9	square	global	RVF	yes	present	1	1184
63239f94b13228f09348c943	293525	2	main	z	10	rectangle	global	RVF	yes	present	1	792
63239f94b13228f09348c943	295829	2	main	z	11	rectangle	global	RVF	yes	present	1	1430
63239f94b13228f09348c943	297693	2	main	z	12	rectangle	local	LVF	yes	present	1	1044
63239f94b13228f09348c943	299445	2	main	z	13	rectangle	global	LVF	yes	present	1	962
63239f94b13228f09348c943	301317	2	main	z	14	rectangle	global	LVF	yes	present	1	918
63239f94b13228f09348c943	302764	2	main	z	15	square	global	RVF	yes	present	1	699
63239f94b13228f09348c943	305549	2	main	z	16	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	307252	2	main	z	17	rectangle	local	RVF	yes	present	1	870
63239f94b13228f09348c943	310032	2	main	z	18	square	local	LVF	yes	absent	0	2000
63239f94b13228f09348c943	311733	2	main	z	19	square	global	RVF	yes	present	1	717
63239f94b13228f09348c943	313725	2	main	z	20	square	local	RVF	yes	present	1	1159
63239f94b13228f09348c943	316482	2	main	z	21	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	318700	2	main	z	22	rectangle	local	RVF	yes	present	1	718
63239f94b13228f09348c943	320148	2	main	z	23	rectangle	local	RVF	yes	present	1	666
63239f94b13228f09348c943	321781	2	main	z	24	rectangle	global	LVF	yes	present	1	732
63239f94b13228f09348c943	323573	2	main	z	25	square	local	RVF	yes	present	1	924
63239f94b13228f09348c943	326382	2	main	z	26	rectangle	local	LVF	yes	absent	0	2000
63239f94b13228f09348c943	328148	2	main	z	27	square	global	LVF	yes	present	1	833
63239f94b13228f09348c943	331032	2	main	z	28	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	334015	2	main	z	29	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	335668	2	main	z	30	rectangle	global	RVF	yes	present	1	786
63239f94b13228f09348c943	337205	2	main	z	31	rectangle	local	RVF	yes	present	1	656
63239f94b13228f09348c943	338692	2	main	z	32	square	local	RVF	yes	present	1	694
63239f94b13228f09348c943	341482	2	main	z	33	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	343421	2	main	z	34	square	local	LVF	yes	present	1	1022
63239f94b13228f09348c943	344972	2	main	z	35	rectangle	local	LVF	yes	present	1	774
63239f94b13228f09348c943	346508	2	main	z	36	square	global	RVF	yes	present	1	743
63239f94b13228f09348c943	348236	2	main	z	37	rectangle	global	LVF	yes	present	1	954
63239f94b13228f09348c943	351015	2	main	z	38	absent	absent	absent	no	absent	1	2000
63239f94b13228f09348c943	352604	2	main	z	39	square	global	LVF	yes	present	1	622
63239f94b13228f09348c943	354116	2	main	z	40	square	local	LVF	yes	present	1	701
63239f94b13228f09348c943	355524	2	main	z	41	square	global	LVF	yes	present	1	626
63239f94b13228f09348c943	356916	2	main	z	42	square	global	LVF	yes	present	1	618
63239f94b13228f09348c943	358316	2	main	z	43	square	global	RVF	yes	present	1	634
63239f94b13228f09348c943	359708	2	main	z	44	rectangle	global	RVF	yes	present	1	643
63239f94b13228f09348c943	361420	2	main	z	45	square	local	LVF	yes	present	1	955
63239f94b13228f09348c943	362941	2	main	z	46	square	local	LVF	yes	present	1	775
63239f94b13228f09348c943	365682	2	main	z	47	rectangle	global	RVF	yes	absent	0	2000
