subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
632b19a12e685b61f1ac6508	204897	1	practice	z	1	rectangle	local	RVF	yes	present	1	1940
632b19a12e685b61f1ac6508	210650	1	practice	z	2	rectangle	local	RVF	yes	present	1	1327
632b19a12e685b61f1ac6508	214922	1	practice	z	3	rectangle	global	LVF	yes	present	1	917
632b19a12e685b61f1ac6508	219788	1	practice	z	4	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	224455	1	practice	z	5	square	local	LVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	228941	1	practice	z	6	absent	absent	absent	no	present	0	1937
632b19a12e685b61f1ac6508	231876	1	practice	z	7	square	global	RVF	yes	present	1	738
632b19a12e685b61f1ac6508	236613	1	practice	z	8	square	local	LVF	yes	present	1	1942
632b19a12e685b61f1ac6508	240954	1	practice	z	9	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	244848	1	practice	z	10	rectangle	local	RVF	yes	present	1	1527
632b19a12e685b61f1ac6508	247920	1	practice	z	11	square	global	LVF	yes	present	1	884
632b19a12e685b61f1ac6508	251002	1	practice	z	12	rectangle	global	LVF	yes	present	1	800
632b19a12e685b61f1ac6508	253846	1	practice	z	13	square	global	LVF	yes	present	1	627
632b19a12e685b61f1ac6508	258052	1	practice	z	14	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	261250	1	practice	z	15	rectangle	global	RVF	yes	present	1	716
632b19a12e685b61f1ac6508	264622	1	practice	z	16	rectangle	global	RVF	yes	present	1	538
632b19a12e685b61f1ac6508	626908	2	main	z	1	rectangle	global	RVF	yes	present	1	666
632b19a12e685b61f1ac6508	636408	2	main	z	2	square	local	LVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	638410	2	main	z	3	square	global	RVF	yes	present	1	670
632b19a12e685b61f1ac6508	641393	2	main	z	4	rectangle	local	RVF	yes	present	1	1202
632b19a12e685b61f1ac6508	643620	2	main	z	5	rectangle	local	LVF	yes	present	1	763
632b19a12e685b61f1ac6508	646504	2	main	z	6	rectangle	global	LVF	yes	present	1	1746
632b19a12e685b61f1ac6508	648090	2	main	z	7	rectangle	global	LVF	yes	present	1	514
632b19a12e685b61f1ac6508	650484	2	main	z	8	square	local	RVF	yes	present	1	1193
632b19a12e685b61f1ac6508	652630	2	main	z	9	rectangle	local	LVF	yes	present	1	1156
632b19a12e685b61f1ac6508	654301	2	main	z	10	rectangle	global	RVF	yes	present	1	661
632b19a12e685b61f1ac6508	656362	2	main	z	11	rectangle	local	LVF	yes	present	1	1022
632b19a12e685b61f1ac6508	659324	2	main	z	12	square	global	LVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	661138	2	main	z	13	rectangle	local	RVF	yes	present	1	732
632b19a12e685b61f1ac6508	663337	2	main	z	14	square	global	RVF	yes	present	1	1164
632b19a12e685b61f1ac6508	664836	2	main	z	15	square	global	LVF	yes	present	1	531
632b19a12e685b61f1ac6508	667905	2	main	z	16	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	669872	2	main	z	17	rectangle	global	RVF	yes	present	1	983
632b19a12e685b61f1ac6508	672806	2	main	z	18	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	694023	2	main	z	19	square	global	RVF	yes	present	1	619
632b19a12e685b61f1ac6508	698714	2	main	z	20	square	global	LVF	yes	present	1	711
632b19a12e685b61f1ac6508	702163	2	main	z	21	square	local	RVF	yes	present	1	1411
632b19a12e685b61f1ac6508	705317	2	main	z	22	rectangle	global	RVF	yes	present	1	1296
632b19a12e685b61f1ac6508	709836	2	main	z	23	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	712557	2	main	z	24	square	local	LVF	yes	present	1	1504
632b19a12e685b61f1ac6508	715620	2	main	z	25	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	718753	2	main	z	26	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	720500	2	main	z	27	square	global	LVF	yes	present	1	564
632b19a12e685b61f1ac6508	722289	2	main	z	28	rectangle	local	LVF	yes	present	1	837
632b19a12e685b61f1ac6508	724015	2	main	z	29	rectangle	local	RVF	yes	present	1	796
632b19a12e685b61f1ac6508	725507	2	main	z	30	rectangle	local	RVF	yes	present	1	604
632b19a12e685b61f1ac6508	728368	2	main	z	31	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	730251	2	main	z	32	square	local	LVF	yes	present	1	732
632b19a12e685b61f1ac6508	733168	2	main	z	33	square	local	RVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	734922	2	main	z	34	rectangle	global	LVF	yes	present	1	472
632b19a12e685b61f1ac6508	736746	2	main	z	35	square	local	LVF	yes	present	1	778
632b19a12e685b61f1ac6508	738359	2	main	z	36	square	local	RVF	yes	present	1	758
632b19a12e685b61f1ac6508	739961	2	main	z	37	square	global	RVF	yes	present	1	777
632b19a12e685b61f1ac6508	742650	2	main	z	38	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	744442	2	main	z	39	rectangle	global	LVF	yes	present	1	624
632b19a12e685b61f1ac6508	747233	2	main	z	40	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	750384	2	main	z	41	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	753484	2	main	z	42	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	755314	2	main	z	43	square	local	LVF	yes	present	1	864
632b19a12e685b61f1ac6508	757368	2	main	z	44	rectangle	global	LVF	yes	present	1	1302
632b19a12e685b61f1ac6508	759146	2	main	z	45	square	global	RVF	yes	present	1	1046
632b19a12e685b61f1ac6508	761899	2	main	z	46	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	763853	2	main	z	47	square	local	LVF	yes	present	1	821
632b19a12e685b61f1ac6508	766047	2	main	z	48	square	local	RVF	yes	present	1	1398
632b19a12e685b61f1ac6508	767840	2	main	z	49	rectangle	global	RVF	yes	present	1	1041
632b19a12e685b61f1ac6508	769496	2	main	z	50	rectangle	global	RVF	yes	present	1	914
632b19a12e685b61f1ac6508	772281	2	main	z	51	rectangle	local	RVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	775560	2	main	z	52	rectangle	global	RVF	yes	present	1	978
632b19a12e685b61f1ac6508	777645	2	main	z	53	square	global	RVF	yes	present	1	1263
632b19a12e685b61f1ac6508	780736	2	main	z	54	square	global	LVF	yes	present	1	1103
632b19a12e685b61f1ac6508	782538	2	main	z	55	square	global	LVF	yes	present	1	1008
632b19a12e685b61f1ac6508	784494	2	main	z	56	rectangle	local	LVF	yes	present	1	1177
632b19a12e685b61f1ac6508	785976	2	main	z	57	square	local	LVF	yes	present	1	712
632b19a12e685b61f1ac6508	788287	2	main	z	58	rectangle	local	RVF	yes	present	1	1522
632b19a12e685b61f1ac6508	790254	2	main	z	59	square	local	RVF	yes	present	1	1191
632b19a12e685b61f1ac6508	791934	2	main	z	60	rectangle	local	LVF	yes	present	1	920
632b19a12e685b61f1ac6508	794749	2	main	z	61	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	797905	2	main	z	62	rectangle	local	LVF	yes	present	1	809
632b19a12e685b61f1ac6508	799934	2	main	z	63	square	global	RVF	yes	present	1	1271
632b19a12e685b61f1ac6508	801305	2	main	z	64	square	global	RVF	yes	present	1	642
632b19a12e685b61f1ac6508	804063	2	main	z	65	square	local	RVF	yes	absent	0	2000
632b19a12e685b61f1ac6508	805929	2	main	z	66	square	global	LVF	yes	present	1	749
632b19a12e685b61f1ac6508	807615	2	main	z	67	rectangle	local	RVF	yes	present	1	952
632b19a12e685b61f1ac6508	809410	2	main	z	68	rectangle	global	LVF	yes	present	1	1031
632b19a12e685b61f1ac6508	812163	2	main	z	69	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	814670	2	main	z	70	square	local	RVF	yes	present	1	741
632b19a12e685b61f1ac6508	817379	2	main	z	71	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	820512	2	main	z	72	absent	absent	absent	no	absent	1	2000
632b19a12e685b61f1ac6508	822310	2	main	z	73	rectangle	local	LVF	yes	present	1	631
632b19a12e685b61f1ac6508	824075	2	main	z	74	rectangle	global	RVF	yes	present	1	998
632b19a12e685b61f1ac6508	825612	2	main	z	75	square	global	LVF	yes	present	1	767
632b19a12e685b61f1ac6508	827165	2	main	z	76	rectangle	global	LVF	yes	present	1	787
632b19a12e685b61f1ac6508	828822	2	main	z	77	rectangle	global	LVF	yes	present	1	927
632b19a12e685b61f1ac6508	830709	2	main	z	78	square	local	LVF	yes	present	1	1114
