subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63b6be87ead45e4fa772fbf5	988704	9.5	practice	z	1	square	local	LVF	yes	present	1	792
63b6be87ead45e4fa772fbf5	992573	9.5	practice	z	2	square	local	LVF	yes	present	1	599
63b6be87ead45e4fa772fbf5	996007	9.5	practice	z	3	rectangle	local	RVF	yes	present	1	519
63b6be87ead45e4fa772fbf5	998888	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	387
63b6be87ead45e4fa772fbf5	1001132	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	432
63b6be87ead45e4fa772fbf5	1005398	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1010810	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1013964	9.5	practice	z	8	rectangle	global	RVF	yes	present	1	1008
63b6be87ead45e4fa772fbf5	1016624	9.5	practice	z	9	square	global	LVF	yes	present	1	403
63b6be87ead45e4fa772fbf5	1019360	9.5	practice	z	10	square	global	LVF	yes	present	1	475
63b6be87ead45e4fa772fbf5	1023666	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1027410	9.5	practice	z	12	rectangle	local	RVF	yes	present	1	1430
63b6be87ead45e4fa772fbf5	1030468	9.5	practice	z	13	absent	absent	absent	no	present	0	725
63b6be87ead45e4fa772fbf5	1033516	9.5	practice	z	14	rectangle	global	RVF	yes	present	1	792
63b6be87ead45e4fa772fbf5	1036270	9.5	practice	z	15	square	global	RVF	yes	present	1	598
63b6be87ead45e4fa772fbf5	1039007	9.5	practice	z	16	rectangle	global	LVF	yes	present	1	389
63b6be87ead45e4fa772fbf5	1045142	10.5	main	z	1	absent	absent	absent	no	present	0	931
63b6be87ead45e4fa772fbf5	1050307	10.5	main	z	2	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1053954	10.5	main	z	3	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1056400	10.5	main	z	4	square	local	LVF	yes	present	1	506
63b6be87ead45e4fa772fbf5	1059244	10.5	main	z	5	square	global	LVF	yes	present	1	613
63b6be87ead45e4fa772fbf5	1062454	10.5	main	z	6	rectangle	global	LVF	yes	present	1	342
63b6be87ead45e4fa772fbf5	1065855	10.5	main	z	7	square	local	LVF	yes	present	1	529
63b6be87ead45e4fa772fbf5	1068080	10.5	main	z	8	rectangle	global	LVF	yes	present	1	339
63b6be87ead45e4fa772fbf5	1072056	10.5	main	z	9	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1074107	10.5	main	z	10	rectangle	local	RVF	yes	present	1	620
63b6be87ead45e4fa772fbf5	1076729	10.5	main	z	11	square	global	RVF	yes	present	1	594
63b6be87ead45e4fa772fbf5	1078707	10.5	main	z	12	square	global	LVF	yes	present	1	393
63b6be87ead45e4fa772fbf5	1081274	10.5	main	z	13	rectangle	global	RVF	yes	present	1	776
63b6be87ead45e4fa772fbf5	1085348	10.5	main	z	14	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1087676	10.5	main	z	15	rectangle	global	LVF	yes	present	1	965
63b6be87ead45e4fa772fbf5	1091356	10.5	main	z	16	rectangle	local	RVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1093390	10.5	main	z	17	square	local	LVF	yes	present	1	802
63b6be87ead45e4fa772fbf5	1096296	10.5	main	z	18	rectangle	global	RVF	yes	present	1	1277
63b6be87ead45e4fa772fbf5	1100549	10.5	main	z	19	rectangle	local	LVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1102503	10.5	main	z	20	square	global	RVF	yes	present	1	790
63b6be87ead45e4fa772fbf5	1105029	10.5	main	z	21	square	global	RVF	yes	present	1	519
63b6be87ead45e4fa772fbf5	1107658	10.5	main	z	22	rectangle	local	LVF	yes	present	1	350
63b6be87ead45e4fa772fbf5	1110178	10.5	main	z	23	rectangle	global	RVF	yes	present	1	654
63b6be87ead45e4fa772fbf5	1114954	10.5	main	z	24	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1118168	10.5	main	z	25	rectangle	local	LVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1121398	10.5	main	z	26	absent	absent	absent	no	absent	1	2000
63b6be87ead45e4fa772fbf5	1124629	10.5	main	z	27	rectangle	local	LVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1126546	10.5	main	z	28	rectangle	global	RVF	yes	present	1	653
63b6be87ead45e4fa772fbf5	1128690	10.5	main	z	29	rectangle	local	RVF	yes	present	1	532
63b6be87ead45e4fa772fbf5	1131474	10.5	main	z	30	rectangle	local	RVF	yes	present	1	436
63b6be87ead45e4fa772fbf5	1133363	10.5	main	z	31	square	local	RVF	yes	present	1	441
63b6be87ead45e4fa772fbf5	1135121	10.5	main	z	32	square	global	RVF	yes	present	1	318
63b6be87ead45e4fa772fbf5	1137642	10.5	main	z	33	square	global	LVF	yes	present	1	908
63b6be87ead45e4fa772fbf5	1139503	10.5	main	z	34	square	local	RVF	yes	present	1	437
63b6be87ead45e4fa772fbf5	1141379	10.5	main	z	35	square	local	LVF	yes	present	1	549
63b6be87ead45e4fa772fbf5	1144713	10.5	main	z	36	square	local	RVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1146473	10.5	main	z	37	absent	absent	absent	no	present	0	597
63b6be87ead45e4fa772fbf5	1148175	10.5	main	z	38	square	global	LVF	yes	present	1	367
63b6be87ead45e4fa772fbf5	1150155	10.5	main	z	39	square	local	RVF	yes	present	1	564
63b6be87ead45e4fa772fbf5	1151914	10.5	main	z	40	rectangle	global	LVF	yes	present	1	309
63b6be87ead45e4fa772fbf5	1156036	10.5	main	z	41	square	local	LVF	yes	absent	0	2000
63b6be87ead45e4fa772fbf5	1157627	10.5	main	z	42	rectangle	global	LVF	yes	present	1	445
63b6be87ead45e4fa772fbf5	1160057	10.5	main	z	43	absent	absent	absent	no	present	0	674
