subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63be6aae1b65a42e794770ee	1138077	9.5	practice	slash	1	square	global	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1142906	9.5	practice	slash	2	absent	absent	absent	no	present	0	778
63be6aae1b65a42e794770ee	1146345	9.5	practice	slash	3	absent	absent	absent	no	present	0	364
63be6aae1b65a42e794770ee	1152412	9.5	practice	slash	4	rectangle	global	LVF	yes	present	1	375
63be6aae1b65a42e794770ee	1155364	9.5	practice	slash	5	rectangle	global	RVF	yes	present	1	314
63be6aae1b65a42e794770ee	1158017	9.5	practice	slash	6	square	global	RVF	yes	present	1	314
63be6aae1b65a42e794770ee	1161239	9.5	practice	slash	7	absent	absent	absent	no	present	0	285
63be6aae1b65a42e794770ee	1164882	9.5	practice	slash	8	rectangle	global	RVF	yes	present	1	410
63be6aae1b65a42e794770ee	1168282	9.5	practice	slash	9	rectangle	local	RVF	yes	present	1	941
63be6aae1b65a42e794770ee	1171584	9.5	practice	slash	10	rectangle	local	RVF	yes	present	1	794
63be6aae1b65a42e794770ee	1174636	9.5	practice	slash	11	absent	absent	absent	no	present	0	493
63be6aae1b65a42e794770ee	1180262	9.5	practice	slash	12	square	local	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1182930	9.5	practice	slash	13	rectangle	local	RVF	yes	present	1	298
63be6aae1b65a42e794770ee	1187506	9.5	practice	slash	14	rectangle	global	LVF	yes	present	1	57
63be6aae1b65a42e794770ee	1190246	9.5	practice	slash	15	square	local	LVF	yes	present	1	375
63be6aae1b65a42e794770ee	1192949	9.5	practice	slash	16	square	global	LVF	yes	present	1	14
63be6aae1b65a42e794770ee	1208637	10.5	main	slash	1	square	global	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1212172	10.5	main	slash	2	square	global	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1215223	10.5	main	slash	3	square	local	RVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1218657	10.5	main	slash	4	square	local	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1220914	10.5	main	slash	5	absent	absent	absent	no	present	0	354
63be6aae1b65a42e794770ee	1223164	10.5	main	slash	6	absent	absent	absent	no	present	0	271
63be6aae1b65a42e794770ee	1224891	10.5	main	slash	7	square	local	LVF	yes	present	1	373
63be6aae1b65a42e794770ee	1226318	10.5	main	slash	8	square	global	RVF	yes	present	1	324
63be6aae1b65a42e794770ee	1227887	10.5	main	slash	9	absent	absent	absent	no	present	0	291
63be6aae1b65a42e794770ee	1229589	10.5	main	slash	10	absent	absent	absent	no	present	0	360
63be6aae1b65a42e794770ee	1231348	10.5	main	slash	11	rectangle	global	LVF	yes	present	1	317
63be6aae1b65a42e794770ee	1233097	10.5	main	slash	12	square	global	RVF	yes	present	1	316
63be6aae1b65a42e794770ee	1235377	10.5	main	slash	13	absent	absent	absent	no	present	0	978
63be6aae1b65a42e794770ee	1238850	10.5	main	slash	14	rectangle	global	RVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1240841	10.5	main	slash	15	square	global	RVF	yes	present	1	741
63be6aae1b65a42e794770ee	1242883	10.5	main	slash	16	square	global	LVF	yes	present	1	373
63be6aae1b65a42e794770ee	1244844	10.5	main	slash	17	square	local	RVF	yes	present	1	309
63be6aae1b65a42e794770ee	1246677	10.5	main	slash	18	rectangle	global	RVF	yes	present	1	320
63be6aae1b65a42e794770ee	1248446	10.5	main	slash	19	rectangle	local	RVF	yes	present	1	309
63be6aae1b65a42e794770ee	1250574	10.5	main	slash	20	rectangle	global	LVF	yes	present	1	285
63be6aae1b65a42e794770ee	1254524	10.5	main	slash	21	square	local	RVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1256238	10.5	main	slash	22	square	global	RVF	yes	present	1	390
63be6aae1b65a42e794770ee	1262444	10.5	main	slash	23	absent	absent	absent	no	absent	1	2000
63be6aae1b65a42e794770ee	1265550	10.5	main	slash	24	rectangle	local	LVF	yes	present	1	1838
63be6aae1b65a42e794770ee	1267844	10.5	main	slash	25	square	local	LVF	yes	present	1	931
63be6aae1b65a42e794770ee	1271504	10.5	main	slash	26	rectangle	global	LVF	yes	present	1	398
63be6aae1b65a42e794770ee	1273622	10.5	main	slash	27	rectangle	local	LVF	yes	present	1	339
63be6aae1b65a42e794770ee	1275947	10.5	main	slash	28	square	local	RVF	yes	present	1	612
63be6aae1b65a42e794770ee	1279133	10.5	main	slash	29	rectangle	global	RVF	yes	present	1	1599
63be6aae1b65a42e794770ee	1281166	10.5	main	slash	30	rectangle	local	LVF	yes	present	1	376
63be6aae1b65a42e794770ee	1283276	10.5	main	slash	31	absent	absent	absent	no	present	0	288
63be6aae1b65a42e794770ee	1284950	10.5	main	slash	32	square	global	LVF	yes	present	1	345
63be6aae1b65a42e794770ee	1286880	10.5	main	slash	33	rectangle	local	LVF	yes	present	1	341
63be6aae1b65a42e794770ee	1294125	10.5	main	slash	34	rectangle	global	RVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1297226	10.5	main	slash	35	square	local	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1300311	10.5	main	slash	36	rectangle	local	RVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1304631	10.5	main	slash	37	absent	absent	absent	no	absent	1	2000
63be6aae1b65a42e794770ee	1307158	10.5	main	slash	38	rectangle	local	RVF	yes	present	1	292
63be6aae1b65a42e794770ee	1312518	10.5	main	slash	39	rectangle	local	RVF	yes	present	1	267
63be6aae1b65a42e794770ee	1314117	10.5	main	slash	40	rectangle	global	LVF	yes	present	1	42
63be6aae1b65a42e794770ee	1317602	10.5	main	slash	41	rectangle	global	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1321155	10.5	main	slash	42	absent	absent	absent	no	absent	1	2000
63be6aae1b65a42e794770ee	1324423	10.5	main	slash	43	square	global	LVF	yes	absent	0	2000
63be6aae1b65a42e794770ee	1326331	10.5	main	slash	44	square	global	RVF	yes	present	1	741
63be6aae1b65a42e794770ee	1328409	10.5	main	slash	45	square	local	RVF	yes	present	1	735
63be6aae1b65a42e794770ee	1330347	10.5	main	slash	46	square	local	RVF	yes	present	1	723
63be6aae1b65a42e794770ee	1333497	10.5	main	slash	47	rectangle	local	LVF	yes	present	1	287
63be6aae1b65a42e794770ee	1356970	10.5	main	slash	48	absent	absent	absent	no	absent	1	2000
63be6aae1b65a42e794770ee	1360072	10.5	main	slash	49	absent	absent	absent	no	absent	1	2000
63be6aae1b65a42e794770ee	1361940	10.5	main	slash	50	square	local	RVF	yes	present	1	166
63be6aae1b65a42e794770ee	1366911	10.5	main	slash	51	rectangle	local	LVF	yes	present	1	286
63be6aae1b65a42e794770ee	1370681	10.5	main	slash	52	rectangle	local	LVF	yes	present	1	36
63be6aae1b65a42e794770ee	1372371	10.5	main	slash	53	square	global	RVF	yes	present	1	461
63be6aae1b65a42e794770ee	1378527	10.5	main	slash	54	absent	absent	absent	no	present	0	131
63be6aae1b65a42e794770ee	1380277	10.5	main	slash	55	square	local	LVF	yes	present	1	129
63be6aae1b65a42e794770ee	1381758	10.5	main	slash	56	rectangle	global	LVF	yes	present	1	193
63be6aae1b65a42e794770ee	1383213	10.5	main	slash	57	rectangle	global	RVF	yes	present	1	148
