subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63f78f511969d7e1b13907e4	224581	1	practice	z	1	rectangle	global	RVF	yes	absent	0	2000
63f78f511969d7e1b13907e4	228147	1	practice	z	2	rectangle	global	LVF	yes	present	1	1112
63f78f511969d7e1b13907e4	232587	1	practice	z	3	absent	absent	absent	no	absent	1	2000
63f78f511969d7e1b13907e4	236839	1	practice	z	4	absent	absent	absent	no	absent	1	2000
63f78f511969d7e1b13907e4	240558	1	practice	z	5	rectangle	local	RVF	yes	present	1	1214
63f78f511969d7e1b13907e4	244337	1	practice	z	6	square	global	LVF	yes	present	1	1541
63f78f511969d7e1b13907e4	247696	1	practice	z	7	rectangle	local	RVF	yes	present	1	932
63f78f511969d7e1b13907e4	251017	1	practice	z	8	square	local	LVF	yes	present	1	1033
63f78f511969d7e1b13907e4	253907	1	practice	z	9	rectangle	local	RVF	yes	present	1	838
63f78f511969d7e1b13907e4	257987	1	practice	z	10	absent	absent	absent	no	absent	1	2000
63f78f511969d7e1b13907e4	262124	1	practice	z	11	square	global	LVF	yes	absent	0	2000
63f78f511969d7e1b13907e4	266276	1	practice	z	12	square	global	RVF	yes	absent	0	2000
63f78f511969d7e1b13907e4	270217	1	practice	z	13	rectangle	global	RVF	yes	present	1	1637
63f78f511969d7e1b13907e4	273587	1	practice	z	14	rectangle	global	LVF	yes	present	1	921
63f78f511969d7e1b13907e4	277934	1	practice	z	15	absent	absent	absent	no	absent	1	2000
63f78f511969d7e1b13907e4	282007	1	practice	z	16	square	local	LVF	yes	present	1	1952
63f78f511969d7e1b13907e4	343006	2	main	z	1	rectangle	local	LVF	yes	present	1	463
63f78f511969d7e1b13907e4	346712	2	main	z	2	square	global	RVF	yes	absent	0	2000
63f78f511969d7e1b13907e4	348556	2	main	z	3	rectangle	global	RVF	yes	present	1	676
63f78f511969d7e1b13907e4	351116	2	main	z	4	absent	absent	absent	no	present	0	1151
63f78f511969d7e1b13907e4	353206	2	main	z	5	square	local	RVF	yes	present	1	839
63f78f511969d7e1b13907e4	355086	2	main	z	6	rectangle	local	LVF	yes	present	1	701
63f78f511969d7e1b13907e4	358253	2	main	z	7	square	global	RVF	yes	absent	0	2000
63f78f511969d7e1b13907e4	360046	2	main	z	8	square	global	LVF	yes	present	1	691
63f78f511969d7e1b13907e4	362256	2	main	z	9	square	local	RVF	yes	present	1	900
