subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6401236cbc95a51538bcc604	524009	9.5	practice	z	1	rectangle	local	RVF	yes	absent	0	1999
6401236cbc95a51538bcc604	530719	9.5	practice	z	2	square	local	LVF	yes	present	1	1001
6401236cbc95a51538bcc604	534037	9.5	practice	z	3	rectangle	global	LVF	yes	present	1	583
6401236cbc95a51538bcc604	537154	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	963
6401236cbc95a51538bcc604	540157	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	898
6401236cbc95a51538bcc604	543151	9.5	practice	z	6	rectangle	global	LVF	yes	present	1	856
6401236cbc95a51538bcc604	546199	9.5	practice	z	7	absent	absent	absent	no	present	0	918
6401236cbc95a51538bcc604	549787	9.5	practice	z	8	square	global	LVF	yes	present	1	854
6401236cbc95a51538bcc604	552668	9.5	practice	z	9	square	local	LVF	yes	present	1	831
6401236cbc95a51538bcc604	555660	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	805
6401236cbc95a51538bcc604	558473	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	765
6401236cbc95a51538bcc604	561173	9.5	practice	z	12	square	global	LVF	yes	present	1	563
6401236cbc95a51538bcc604	563906	9.5	practice	z	13	square	global	RVF	yes	present	1	661
6401236cbc95a51538bcc604	567827	9.5	practice	z	14	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	571814	9.5	practice	z	15	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	575767	9.5	practice	z	16	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	583514	10.5	main	z	1	square	local	RVF	yes	present	1	820
6401236cbc95a51538bcc604	586450	10.5	main	z	2	rectangle	global	LVF	yes	present	1	1454
6401236cbc95a51538bcc604	590295	10.5	main	z	3	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	591940	10.5	main	z	4	rectangle	local	RVF	yes	present	1	639
6401236cbc95a51538bcc604	593908	10.5	main	z	5	rectangle	local	RVF	yes	present	1	673
6401236cbc95a51538bcc604	597000	10.5	main	z	6	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	599488	10.5	main	z	7	square	global	RVF	yes	present	1	1350
6401236cbc95a51538bcc604	601660	10.5	main	z	8	rectangle	global	RVF	yes	present	1	952
6401236cbc95a51538bcc604	604939	10.5	main	z	9	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	606565	10.5	main	z	10	square	global	LVF	yes	present	1	703
6401236cbc95a51538bcc604	608331	10.5	main	z	11	square	global	LVF	yes	present	1	650
6401236cbc95a51538bcc604	609985	10.5	main	z	12	rectangle	global	LVF	yes	present	1	669
6401236cbc95a51538bcc604	611695	10.5	main	z	13	rectangle	global	LVF	yes	present	1	795
6401236cbc95a51538bcc604	613449	10.5	main	z	14	square	local	RVF	yes	present	1	949
6401236cbc95a51538bcc604	615238	10.5	main	z	15	square	global	LVF	yes	present	1	820
6401236cbc95a51538bcc604	618067	10.5	main	z	16	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	619625	10.5	main	z	17	square	global	RVF	yes	present	1	603
6401236cbc95a51538bcc604	621235	10.5	main	z	18	rectangle	global	LVF	yes	present	1	694
6401236cbc95a51538bcc604	622833	10.5	main	z	19	square	global	LVF	yes	present	1	740
6401236cbc95a51538bcc604	624350	10.5	main	z	20	rectangle	local	LVF	yes	present	1	724
6401236cbc95a51538bcc604	627224	10.5	main	z	21	absent	absent	absent	no	absent	1	1999
6401236cbc95a51538bcc604	628974	10.5	main	z	22	square	local	LVF	yes	present	1	761
6401236cbc95a51538bcc604	630594	10.5	main	z	23	square	local	RVF	yes	present	1	797
