subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
640211d8277cfdf56b1bfabb	700021	9.5	practice	z	1	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	704288	9.5	practice	z	2	rectangle	local	RVF	yes	absent	0	2000
640211d8277cfdf56b1bfabb	708382	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	711398	9.5	practice	z	4	rectangle	global	LVF	yes	present	1	868
640211d8277cfdf56b1bfabb	714597	9.5	practice	z	5	rectangle	local	RVF	yes	present	1	1001
640211d8277cfdf56b1bfabb	717528	9.5	practice	z	6	square	local	LVF	yes	present	1	811
640211d8277cfdf56b1bfabb	720105	9.5	practice	z	7	rectangle	global	LVF	yes	present	1	668
640211d8277cfdf56b1bfabb	724092	9.5	practice	z	8	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	727980	9.5	practice	z	9	square	local	LVF	yes	present	1	1355
640211d8277cfdf56b1bfabb	730776	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	750
640211d8277cfdf56b1bfabb	733905	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	1051
640211d8277cfdf56b1bfabb	736365	9.5	practice	z	12	square	global	LVF	yes	present	1	524
640211d8277cfdf56b1bfabb	738990	9.5	practice	z	13	square	global	RVF	yes	present	1	603
640211d8277cfdf56b1bfabb	742855	9.5	practice	z	14	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	745140	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	552
640211d8277cfdf56b1bfabb	747763	9.5	practice	z	16	square	global	LVF	yes	present	1	521
640211d8277cfdf56b1bfabb	759613	10.5	main	z	1	rectangle	global	LVF	yes	present	1	435
640211d8277cfdf56b1bfabb	762965	10.5	main	z	2	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	764457	10.5	main	z	3	rectangle	global	RVF	yes	present	1	505
640211d8277cfdf56b1bfabb	767008	10.5	main	z	4	square	local	LVF	yes	present	1	869
640211d8277cfdf56b1bfabb	769004	10.5	main	z	5	rectangle	local	RVF	yes	present	1	691
640211d8277cfdf56b1bfabb	770678	10.5	main	z	6	rectangle	local	LVF	yes	present	1	605
640211d8277cfdf56b1bfabb	772354	10.5	main	z	7	rectangle	global	LVF	yes	present	1	587
640211d8277cfdf56b1bfabb	775501	10.5	main	z	8	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	776984	10.5	main	z	9	rectangle	global	RVF	yes	present	1	590
640211d8277cfdf56b1bfabb	778802	10.5	main	z	10	square	global	RVF	yes	present	1	807
640211d8277cfdf56b1bfabb	780901	10.5	main	z	11	square	global	LVF	yes	present	1	678
640211d8277cfdf56b1bfabb	782820	10.5	main	z	12	rectangle	local	LVF	yes	present	1	918
640211d8277cfdf56b1bfabb	785770	10.5	main	z	13	absent	absent	absent	no	absent	1	2000
640211d8277cfdf56b1bfabb	787414	10.5	main	z	14	rectangle	global	RVF	yes	present	1	604
640211d8277cfdf56b1bfabb	789368	10.5	main	z	15	rectangle	local	RVF	yes	present	1	838
640211d8277cfdf56b1bfabb	792357	10.5	main	z	16	absent	absent	absent	no	absent	1	2000
