subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
641361334c91a0c6ff4c5b79	611697	9.5	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
641361334c91a0c6ff4c5b79	616198	9.5	practice	z	2	rectangle	global	RVF	yes	present	1	1365
641361334c91a0c6ff4c5b79	619670	9.5	practice	z	3	rectangle	global	LVF	yes	present	1	1013
641361334c91a0c6ff4c5b79	622561	9.5	practice	z	4	square	global	LVF	yes	present	1	751
641361334c91a0c6ff4c5b79	625258	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	568
641361334c91a0c6ff4c5b79	628394	9.5	practice	z	6	square	local	LVF	yes	present	1	1083
641361334c91a0c6ff4c5b79	632430	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	635070	9.5	practice	z	8	square	global	RVF	yes	present	1	602
641361334c91a0c6ff4c5b79	637900	9.5	practice	z	9	rectangle	local	RVF	yes	present	1	676
641361334c91a0c6ff4c5b79	641197	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	687
641361334c91a0c6ff4c5b79	643752	9.5	practice	z	11	square	local	LVF	yes	present	1	519
641361334c91a0c6ff4c5b79	646765	9.5	practice	z	12	rectangle	global	LVF	yes	present	1	998
641361334c91a0c6ff4c5b79	651000	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	653743	9.5	practice	z	14	square	global	LVF	yes	present	1	735
641361334c91a0c6ff4c5b79	657808	9.5	practice	z	15	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	661829	9.5	practice	z	16	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	668491	10.5	main	z	1	rectangle	local	LVF	yes	present	1	657
641361334c91a0c6ff4c5b79	672459	10.5	main	z	2	rectangle	global	LVF	yes	present	1	818
641361334c91a0c6ff4c5b79	675859	10.5	main	z	3	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	677601	10.5	main	z	4	square	local	RVF	yes	present	1	689
641361334c91a0c6ff4c5b79	679632	10.5	main	z	5	rectangle	local	RVF	yes	present	1	686
641361334c91a0c6ff4c5b79	681395	10.5	main	z	6	square	local	RVF	yes	present	1	698
641361334c91a0c6ff4c5b79	683009	10.5	main	z	7	rectangle	local	LVF	yes	present	1	528
641361334c91a0c6ff4c5b79	685452	10.5	main	z	8	square	global	RVF	yes	present	1	1465
641361334c91a0c6ff4c5b79	687351	10.5	main	z	9	rectangle	local	LVF	yes	present	1	898
641361334c91a0c6ff4c5b79	689223	10.5	main	z	10	rectangle	global	LVF	yes	present	1	802
641361334c91a0c6ff4c5b79	690944	10.5	main	z	11	square	global	RVF	yes	present	1	538
641361334c91a0c6ff4c5b79	694011	10.5	main	z	12	absent	absent	absent	no	absent	1	2000
641361334c91a0c6ff4c5b79	695918	10.5	main	z	13	rectangle	global	LVF	yes	present	1	772
641361334c91a0c6ff4c5b79	697461	10.5	main	z	14	square	global	LVF	yes	present	1	496
641361334c91a0c6ff4c5b79	699082	10.5	main	z	15	rectangle	global	RVF	yes	present	1	601
641361334c91a0c6ff4c5b79	700853	10.5	main	z	16	absent	absent	absent	no	present	0	801
641361334c91a0c6ff4c5b79	703885	10.5	main	z	17	square	global	RVF	yes	absent	0	2000
641361334c91a0c6ff4c5b79	705713	10.5	main	z	18	square	local	RVF	yes	present	1	607
641361334c91a0c6ff4c5b79	707257	10.5	main	z	19	square	local	LVF	yes	present	1	550
641361334c91a0c6ff4c5b79	709041	10.5	main	z	20	rectangle	global	RVF	yes	present	1	831
641361334c91a0c6ff4c5b79	711121	10.5	main	z	21	rectangle	local	RVF	yes	present	1	857
