Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649597739722f58174f637ca,63026a8fd8429b224cd2a134,APPROVED,2023-06-23T13:00:39.501000Z,2023-06-23T13:36:29.602000Z,2023-06-23T14:30:23.817000,2023-06-23T13:36:30.106165Z,2151,CZELI6JD,387,English,Left-handed,26,Male,White,United States,United States,United States,English,Yes,Full-Time
64959edad35dd67bbeaf9b5a,62fe6312269d0e4ae894297b,APPROVED,2023-06-23T13:32:44.675000Z,2023-06-23T13:50:45.939000Z,2023-06-23T14:30:23.981000,2023-06-23T13:50:46.675624Z,1082,NOCODE,877,English,Left-handed,33,Male,White,United States,United States,United States,English,No,Full-Time
64959fa81eafe3b633c25ad6,5c2dae2110677f0001dd1137,APPROVED,2023-06-23T13:35:38.237000Z,2023-06-23T14:42:05.202000Z,2023-06-23T14:42:35.102000,2023-06-23T14:42:24.803148Z,3987,CZELI6JD,4984,English,Left-handed,40,Male,White,United States,United States,United States,English,No,Full-Time
6495a4dc02b0ecffd9238801,603862f99e00971c55fe0874,APPROVED,2023-06-23T13:57:51.749000Z,2023-06-23T14:39:32.575000Z,2023-06-23T14:41:07.857000,2023-06-23T14:39:34.221938Z,2501,CZELI6JD,2966,English,Left-handed,32,Male,Black,United States,United States,United States,English,No,Part-Time
6495a63dd4e7d69caa13ecb3,5fa1636a77c875235bd8e1f6,APPROVED,2023-06-23T14:03:41.355000Z,2023-06-23T14:25:21.039000Z,2023-06-23T14:30:24.151000,2023-06-23T14:25:21.628108Z,1300,CZELI6JD,2382,English,Ambidextrous,28,Male,White,United States,United States,United States,English,No,Full-Time
6495a65994ba5f437de31bed,57a9f41a16a091000112f1cf,APPROVED,2023-06-23T14:04:13.106000Z,2023-06-23T14:35:07.447000Z,2023-06-23T14:41:08.029000,2023-06-23T14:35:08.064087Z,1855,CZELI6JD,930,English,Ambidextrous,25,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6495a673707b1883905abd95,6315a102cb675027354ef5d8,APPROVED,2023-06-23T14:04:35.801000Z,2023-06-23T15:09:46.734000Z,2023-06-23T17:47:35.488000,2023-06-23T15:09:47.625428Z,3911,CZELI6JD,1632,English,Ambidextrous,29,Male,Black,United States,United States,United States,English,No,Full-Time
6495a6e0298368bdfde891df,63403b47287756c1978d2985,APPROVED,2023-06-23T14:14:00.202000Z,2023-06-23T15:08:12.068000Z,2023-06-23T17:47:35.646000,2023-06-23T15:08:12.518139Z,3252,CZELI6JD,736,English,Ambidextrous,26,Male,White,United States,United States,United States,English,Yes,Full-Time
6495aa1b5d60488dcab350ae,6125653f9d984b6fd3d68983,APPROVED,2023-06-23T14:20:16.430000Z,2023-06-23T14:40:40.263000Z,2023-06-23T14:41:08.190000,2023-06-23T14:40:44.299616Z,1224,CZELI6JD,257,English,Ambidextrous,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6495aa8bb6b6372242749dd4,6123a1181824e0198ab2d8ed,RETURNED,2023-06-23T14:22:08.182000Z,2023-06-23T14:23:36.298000Z,,2023-06-23T14:23:37.066000Z,,CZELI6JD,1141,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6495abc1083789a93110c3da,601e13b872774f263d64acac,APPROVED,2023-06-23T14:27:16.940000Z,2023-06-23T14:49:00.323000Z,2023-06-23T14:54:01.800000,2023-06-23T14:49:13.163046Z,1304,CZELI6JD,2814,English,Left-handed,34,Male,White,United States,United States,United States,English,No,Full-Time
6495ae91eb558060bc9c5245,558830fbfdf99b3a56b47ef5,APPROVED,2023-06-23T14:39:16.401000Z,2023-06-23T15:07:00.219000Z,2023-06-23T17:47:35.810000,2023-06-23T15:07:00.700621Z,1664,C3AXSR3J,810,English,Left-handed,29,Female,Asian,United States,United States,Vietnam,Vietnamese,No,DATA_EXPIRED
6495b008fb636acc92e31be1,6285918873f1ff83c2bfa809,APPROVED,2023-06-23T14:45:56.523000Z,2023-06-23T15:04:05.834000Z,2023-06-23T15:04:28.105000,2023-06-23T15:04:06.507530Z,1090,C3AXSR3J,58,English,Ambidextrous,21,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6495b0a8d73f937b1c785d58,5d9be88c195db300128d652a,APPROVED,2023-06-23T14:48:14.125000Z,2023-06-23T15:07:15.406000Z,2023-06-23T17:47:35.956000,2023-06-23T15:07:15.898767Z,1142,NOCODE,640,English,Left-handed,33,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6495b17e76474d75cbee6a0b,5d4254db5b2c430001418a3c,APPROVED,2023-06-23T14:54:18.174000Z,2023-06-23T15:19:49.806000Z,2023-06-23T17:47:36.100000,2023-06-23T15:19:52.412946Z,1532,C3AXSR3J,4396,English,Left-handed,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6495b35cd70b0688a2ede3ef,5faeb8eb6562cd0163f216ec,APPROVED,2023-06-23T15:00:31.610000Z,2023-06-23T15:25:15.195000Z,2023-06-23T17:47:36.238000,2023-06-23T15:25:15.904298Z,1484,C3AXSR3J,3924,English,Ambidextrous,28,Male,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6495b57dfa4563f1ad80a0bd,61230b14a3bcb65c585dfdaa,APPROVED,2023-06-23T15:08:50.722000Z,2023-06-23T15:32:42.300000Z,2023-06-23T17:47:36.382000,2023-06-23T15:32:42.916108Z,1432,C3AXSR3J,3384,English,Left-handed,38,Female,White,United States,United States,United States,English,No,Full-Time
6495c2368a7a3e9140819ec8,6439d7987b1126efcebc25ac,APPROVED,2023-06-23T16:03:09.441000Z,2023-06-23T16:19:12.942000Z,2023-06-23T17:47:36.529000,2023-06-23T16:19:13.432797Z,964,C3AXSR3J,266,English,Ambidextrous,28,Male,Mixed,Australia,United States,Australia,English,Yes,Other
6495c4f169880d2def13a6b2,5e8caf1b063693041f6ac524,APPROVED,2023-06-23T16:14:55.772000Z,2023-06-23T16:39:51.815000Z,2023-06-23T17:47:36.670000,2023-06-23T16:39:52.411079Z,1497,C3AXSR3J,2485,English,Ambidextrous,40,Male,White,United States,United States,United States,English,Yes,Full-Time
6495c769c6810bc44c4ed483,636166e1694fe8d9ed77dd68,APPROVED,2023-06-23T16:25:16.196000Z,2023-06-23T16:41:59.452000Z,2023-06-23T17:47:36.813000,2023-06-23T16:42:00.010132Z,1004,C3AXSR3J,322,"English, Tagalog-Filipino",Left-handed,24,Male,Asian,Philippines,United States,Philippines,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
6495cebd3b531e9855c7cebe,60fd64fd34ee5940500d499f,APPROVED,2023-06-23T16:56:33.646000Z,2023-06-23T17:15:30.441000Z,2023-06-23T17:47:36.954000,2023-06-23T17:16:05.529724Z,1137,C3AXSR3J,820,"Bengali, English, Spanish",Ambidextrous,28,Female,Asian,Bangladesh,United States,Bangladesh,Bengali,Yes,Full-Time
6495d028f18cded5a05514e4,613589ac6333693e1927fa76,APPROVED,2023-06-23T17:02:35.869000Z,2023-06-23T17:25:01.719000Z,2023-06-23T17:47:37.101000,2023-06-23T17:25:02.398860Z,1346,C3AXSR3J,2490,English,Ambidextrous,39,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6495d2808f4487cc8e19825b,5715699a30185b0008b40009,APPROVED,2023-06-23T17:12:37.930000Z,2023-06-23T17:33:03.541000Z,2023-06-23T17:47:37.237000,2023-06-23T17:33:04.088711Z,1226,C3AXSR3J,235,"English, Spanish",Left-handed,28,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
6495d2c1115921c56826b14b,60fef79fa408c9eae61e49c3,APPROVED,2023-06-23T17:13:42.178000Z,2023-06-23T17:35:49.863000Z,2023-06-23T17:47:37.387000,2023-06-23T17:35:52.621280Z,1328,C3AXSR3J,588,English,Left-handed,30,Female,Asian,Korea,United States,Korea,Korean,DATA_EXPIRED,DATA_EXPIRED
6495d5b1f6fc5bc7f197f5b2,6080c437c4d7109234489144,APPROVED,2023-06-23T17:26:13.103000Z,2023-06-23T17:53:01.112000Z,2023-06-23T18:01:59.799000,2023-06-23T17:53:01.541729Z,1609,C3AXSR3J,436,English,Left-handed,23,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6495d7790f51f726fcbf7cc4,5ff39ec71d6cb49c6c906727,APPROVED,2023-06-23T17:34:10.743000Z,2023-06-23T18:12:49.612000Z,2023-06-23T20:10:59.160000,2023-06-23T18:12:50.076808Z,2319,C3AXSR3J,1450,"English, Portuguese, Spanish",Left-handed,34,Male,White,Brazil,United States,Brazil,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6495db3ed392fc3b5f542767,607cce4d28ef1f0561fc93ca,APPROVED,2023-06-23T17:49:54.175000Z,2023-06-23T18:08:10.184000Z,2023-06-23T20:10:59.313000,2023-06-23T18:08:54.886490Z,1097,C3AXSR3J,1559,"English, German",Left-handed,30,Female,White,Germany,United States,Germany,English,DATA_EXPIRED,DATA_EXPIRED
6495ddee8bdb844fdfd9f7b3,6061fff2c21e787791b1d052,APPROVED,2023-06-23T18:01:29.240000Z,2023-06-23T18:25:36.543000Z,2023-06-23T20:10:59.452000,2023-06-23T18:25:36.996725Z,1448,C3AXSR3J,1195,English,Ambidextrous,39,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6495df9fff71724e1ec7d145,63d42d3563ac982cbbfe3300,APPROVED,2023-06-23T18:08:37.371000Z,2023-06-23T20:10:08.085000Z,2023-06-23T20:10:09.330000Z,,7291,Manual Completion,1050,English,Ambidextrous,40,Male,White,United States,United States,United States,English,No,Full-Time
6495dfe5fc96d36d8a54275c,5d4a36e8a61675000169036f,APPROVED,2023-06-23T18:10:43.672000Z,2023-06-23T18:29:00.053000Z,2023-06-23T20:10:59.623000,2023-06-23T18:29:00.511983Z,1097,C3AXSR3J,3775,English,Left-handed,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6495e09169c673fa703884b5,5b7d518d1e35f0000173153c,APPROVED,2023-06-23T18:12:39.585000Z,2023-06-23T18:32:43.037000Z,2023-06-23T20:10:59.778000,2023-06-23T18:32:43.560776Z,1204,C3AXSR3J,900,English,Ambidextrous,26,Female,Asian,United States,United States,United States,English,No,Full-Time
6495e3510c6aaf429975f50d,5ec2142f6e98202af3300059,APPROVED,2023-06-23T18:24:27.076000Z,2023-06-23T18:41:47.750000Z,2023-06-23T20:10:59.929000,2023-06-23T18:41:48.201848Z,1041,C3AXSR3J,686,English,Ambidextrous,27,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6495e520d321fdb57d4f0250,6109df8b813b0d148dde496f,APPROVED,2023-06-23T18:33:12.481000Z,2023-06-23T18:54:41.799000Z,2023-06-23T20:11:00.062000,2023-06-23T18:55:48.336600Z,1290,C3AXSR3J,219,English,Left-handed,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6495e5cc7ae788db228c6ec4,642f43cfa37a1e968da2c9b3,APPROVED,2023-06-23T18:44:35.061000Z,2023-06-23T19:21:40.438000Z,2023-06-23T20:11:00.223000,2023-06-23T19:21:41.395182Z,2226,C3AXSR3J,133,"Spanish, English",Left-handed,29,Male,Other,United States,United States,United States,Spanish,Yes,Full-Time
