subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
555e3c45fdf99b423b15e013	headphonecheck_testphase	3	NA	NA	0	NA	second	1	707
555e3c45fdf99b423b15e013	headphonecheck_testphase	6	NA	NA	0	NA	third	1	453
555e3c45fdf99b423b15e013	headphonecheck_testphase	9	NA	NA	0	NA	first	1	536
555e3c45fdf99b423b15e013	headphonecheck_testphase	12	NA	NA	0	NA	first	1	563
555e3c45fdf99b423b15e013	headphonecheck_testphase	15	NA	NA	0	NA	second	1	537
555e3c45fdf99b423b15e013	headphonecheck_testphase	18	NA	NA	0	NA	third	1	459
555e3c45fdf99b423b15e013	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	714
555e3c45fdf99b423b15e013	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	418
555e3c45fdf99b423b15e013	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	561
555e3c45fdf99b423b15e013	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	469
555e3c45fdf99b423b15e013	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	486
555e3c45fdf99b423b15e013	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	407
555e3c45fdf99b423b15e013	DL_practice	2	ba	ba	0	left	ba	1	2006
555e3c45fdf99b423b15e013	DL_practice	3	da	ba	1	left	da	1	2513
555e3c45fdf99b423b15e013	DL_practice	4	ta	ta	0	left	ta	1	1422
555e3c45fdf99b423b15e013	DL_practice	5	da	da	0	left	da	1	1284
555e3c45fdf99b423b15e013	DL_practice	6	ka	pa	1	right	pa	1	1591
555e3c45fdf99b423b15e013	DL_practice	7	ga	ga	0	left	ga	1	1086
555e3c45fdf99b423b15e013	DL_practice	8	ga	ta	1	other	ka	0	2600
555e3c45fdf99b423b15e013	DL_practice	9	pa	pa	0	left	pa	1	1190
555e3c45fdf99b423b15e013	DL_practice	10	ka	ka	0	left	ka	1	1145
555e3c45fdf99b423b15e013	DL_test	1	ga	ga	0	left	ga	1	1484
555e3c45fdf99b423b15e013	DL_test	2	ga	pa	1	right	pa	1	1292
555e3c45fdf99b423b15e013	DL_test	3	ka	pa	1	left	ka	1	1207
555e3c45fdf99b423b15e013	DL_test	4	pa	da	1	right	da	1	2016
555e3c45fdf99b423b15e013	DL_test	5	ga	ka	1	right	ka	1	1479
555e3c45fdf99b423b15e013	DL_test	6	ba	ba	0	left	ba	1	1252
555e3c45fdf99b423b15e013	DL_test	7	ka	ga	1	left	ka	1	1102
555e3c45fdf99b423b15e013	DL_test	8	ka	ka	0	left	ka	1	901
555e3c45fdf99b423b15e013	DL_test	9	ta	ba	1	other	ka	0	1083
555e3c45fdf99b423b15e013	DL_test	10	ga	ta	1	left	ga	1	1139
555e3c45fdf99b423b15e013	DL_test	11	pa	ka	1	right	ka	1	1008
555e3c45fdf99b423b15e013	DL_test	12	pa	ba	1	left	pa	1	989
555e3c45fdf99b423b15e013	DL_test	13	ba	ta	1	other	da	0	1703
555e3c45fdf99b423b15e013	DL_test	14	da	da	0	left	da	1	1932
555e3c45fdf99b423b15e013	DL_test	15	ba	ga	1	left	ba	1	1613
555e3c45fdf99b423b15e013	DL_test	16	ba	da	1	left	ba	1	1633
555e3c45fdf99b423b15e013	DL_test	17	da	ta	1	right	ta	1	1698
555e3c45fdf99b423b15e013	DL_test	18	ka	da	1	left	ka	1	1183
555e3c45fdf99b423b15e013	DL_test	19	ta	da	1	right	da	1	2052
555e3c45fdf99b423b15e013	DL_test	20	ga	da	1	left	ga	1	1232
555e3c45fdf99b423b15e013	DL_test	21	ka	ba	1	left	ka	1	1318
555e3c45fdf99b423b15e013	DL_test	22	ta	ta	0	left	ta	1	1453
555e3c45fdf99b423b15e013	DL_test	23	da	pa	1	right	pa	1	1071
555e3c45fdf99b423b15e013	DL_test	24	pa	ta	1	right	ta	1	2183
555e3c45fdf99b423b15e013	DL_test	25	ba	ka	1	right	ka	1	2306
555e3c45fdf99b423b15e013	DL_test	26	ta	pa	1	right	pa	1	1276
555e3c45fdf99b423b15e013	DL_test	27	ta	ga	1	right	ga	1	1160
555e3c45fdf99b423b15e013	DL_test	28	ta	ka	1	right	ka	1	908
555e3c45fdf99b423b15e013	DL_test	29	ka	ta	1	left	ka	1	830
555e3c45fdf99b423b15e013	DL_test	30	ga	ba	1	right	ba	1	1424
555e3c45fdf99b423b15e013	DL_test	31	pa	pa	0	left	pa	1	955
555e3c45fdf99b423b15e013	DL_test	32	ba	pa	1	right	pa	1	1019
555e3c45fdf99b423b15e013	DL_test	33	da	ba	1	left	da	1	1532
555e3c45fdf99b423b15e013	DL_test	34	pa	ga	1	other	ka	0	1853
555e3c45fdf99b423b15e013	DL_test	35	da	ga	1	left	da	1	1153
555e3c45fdf99b423b15e013	DL_test	36	da	ka	1	other	pa	0	1046
555e3c45fdf99b423b15e013	DL_test	1	ka	ga	1	left	ka	1	1327
555e3c45fdf99b423b15e013	DL_test	2	ka	ba	1	left	ka	1	1671
555e3c45fdf99b423b15e013	DL_test	3	da	pa	1	right	pa	1	1003
555e3c45fdf99b423b15e013	DL_test	4	pa	pa	0	left	pa	1	874
555e3c45fdf99b423b15e013	DL_test	5	ta	pa	1	right	pa	1	899
555e3c45fdf99b423b15e013	DL_test	6	ka	ka	0	left	ka	1	949
555e3c45fdf99b423b15e013	DL_test	7	da	ga	1	left	da	1	1320
555e3c45fdf99b423b15e013	DL_test	8	ga	ga	0	left	ga	1	933
555e3c45fdf99b423b15e013	DL_test	9	pa	ba	1	left	pa	1	1061
555e3c45fdf99b423b15e013	DL_test	10	ta	ga	1	right	ga	1	953
555e3c45fdf99b423b15e013	DL_test	11	da	ta	1	left	da	1	1223
555e3c45fdf99b423b15e013	DL_test	12	ba	ba	0	left	ba	1	1107
555e3c45fdf99b423b15e013	DL_test	13	ta	ba	1	other	ka	0	1089
555e3c45fdf99b423b15e013	DL_test	14	da	ba	1	right	ba	1	2068
555e3c45fdf99b423b15e013	DL_test	15	ga	pa	1	right	pa	1	933
555e3c45fdf99b423b15e013	DL_test	16	ga	da	1	right	da	1	999
555e3c45fdf99b423b15e013	DL_test	17	ta	ka	1	right	ka	1	919
555e3c45fdf99b423b15e013	DL_test	18	ba	pa	1	right	pa	1	1282
555e3c45fdf99b423b15e013	DL_test	19	ba	da	1	right	da	1	1259
555e3c45fdf99b423b15e013	DL_test	20	ga	ta	1	other	ka	0	1568
555e3c45fdf99b423b15e013	DL_test	21	ta	ta	0	left	ta	1	1083
555e3c45fdf99b423b15e013	DL_test	22	ba	ga	1	right	ga	1	1331
555e3c45fdf99b423b15e013	DL_test	23	pa	ta	1	right	ta	1	1496
555e3c45fdf99b423b15e013	DL_test	24	ka	pa	1	right	pa	1	964
555e3c45fdf99b423b15e013	DL_test	25	pa	ga	1	other	da	0	1345
555e3c45fdf99b423b15e013	DL_test	26	ta	da	1	right	da	1	1080
555e3c45fdf99b423b15e013	DL_test	27	pa	da	1	right	da	1	1514
555e3c45fdf99b423b15e013	DL_test	28	da	da	0	left	da	1	885
555e3c45fdf99b423b15e013	DL_test	29	ba	ta	1	right	ta	1	1072
555e3c45fdf99b423b15e013	DL_test	30	pa	ka	1	right	ka	1	1525
555e3c45fdf99b423b15e013	DL_test	31	ka	da	1	right	da	1	1128
555e3c45fdf99b423b15e013	DL_test	32	da	ka	1	other	ba	0	1340
555e3c45fdf99b423b15e013	DL_test	33	ga	ba	1	right	ba	1	1067
555e3c45fdf99b423b15e013	DL_test	34	ba	ka	1	right	ka	1	931
555e3c45fdf99b423b15e013	DL_test	35	ka	ta	1	left	ka	1	855
555e3c45fdf99b423b15e013	DL_test	36	ga	ka	1	right	ka	1	946
555e3c45fdf99b423b15e013	DL_test	1	ba	pa	1	right	pa	1	937
555e3c45fdf99b423b15e013	DL_test	2	pa	pa	0	left	pa	1	795
555e3c45fdf99b423b15e013	DL_test	3	ba	da	1	right	da	1	1691
555e3c45fdf99b423b15e013	DL_test	4	pa	da	1	right	da	1	916
555e3c45fdf99b423b15e013	DL_test	5	ta	pa	1	right	pa	1	1010
555e3c45fdf99b423b15e013	DL_test	6	ta	ga	1	other	da	0	843
555e3c45fdf99b423b15e013	DL_test	7	ka	ta	1	left	ka	1	1080
555e3c45fdf99b423b15e013	DL_test	8	ga	da	1	other	ba	0	1215
555e3c45fdf99b423b15e013	DL_test	9	ta	ka	1	right	ka	1	975
555e3c45fdf99b423b15e013	DL_test	10	ka	da	1	right	da	1	1060
555e3c45fdf99b423b15e013	DL_test	11	ba	ka	1	right	ka	1	1230
555e3c45fdf99b423b15e013	DL_test	12	pa	ta	1	left	pa	1	1351
555e3c45fdf99b423b15e013	DL_test	13	ka	ga	1	right	ga	1	931
555e3c45fdf99b423b15e013	DL_test	14	ga	ba	1	right	ba	1	1076
555e3c45fdf99b423b15e013	DL_test	15	da	da	0	left	da	1	910
555e3c45fdf99b423b15e013	DL_test	16	da	pa	1	right	pa	1	923
555e3c45fdf99b423b15e013	DL_test	17	ga	ta	1	right	ta	1	1217
555e3c45fdf99b423b15e013	DL_test	18	ba	ba	0	left	ba	1	1619
555e3c45fdf99b423b15e013	DL_test	19	ba	ga	1	right	ga	1	1161
555e3c45fdf99b423b15e013	DL_test	20	ka	pa	1	right	pa	1	942
555e3c45fdf99b423b15e013	DL_test	21	ga	ga	0	left	ga	1	989
555e3c45fdf99b423b15e013	DL_test	22	da	ga	1	left	da	1	1097
555e3c45fdf99b423b15e013	DL_test	23	da	ka	1	other	pa	0	965
