subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
56c89222dfea6c000bb23762	headphonecheck_testphase	3	NA	NA	0	NA	first	1	8427
56c89222dfea6c000bb23762	headphonecheck_testphase	6	NA	NA	0	NA	third	1	2562
56c89222dfea6c000bb23762	headphonecheck_testphase	9	NA	NA	0	NA	second	1	676
56c89222dfea6c000bb23762	headphonecheck_testphase	12	NA	NA	0	NA	third	1	384
56c89222dfea6c000bb23762	headphonecheck_testphase	15	NA	NA	0	NA	second	1	351
56c89222dfea6c000bb23762	headphonecheck_testphase	18	NA	NA	0	NA	first	1	221
56c89222dfea6c000bb23762	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	390
56c89222dfea6c000bb23762	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	275
56c89222dfea6c000bb23762	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	323
56c89222dfea6c000bb23762	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	255
56c89222dfea6c000bb23762	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	261
56c89222dfea6c000bb23762	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	263
56c89222dfea6c000bb23762	DL_practice	2	ta	ta	0	left	ta	1	2338
56c89222dfea6c000bb23762	DL_practice	3	da	ba	1	left	da	1	1656
56c89222dfea6c000bb23762	DL_practice	4	da	da	0	left	da	1	960
56c89222dfea6c000bb23762	DL_practice	5	ga	ta	1	other	ka	0	1066
56c89222dfea6c000bb23762	DL_practice	6	ka	ka	0	left	ka	1	1007
56c89222dfea6c000bb23762	DL_practice	7	ka	pa	1	right	pa	1	1118
56c89222dfea6c000bb23762	DL_practice	8	ga	ga	0	left	ga	1	1140
56c89222dfea6c000bb23762	DL_practice	9	pa	pa	0	left	pa	1	1246
56c89222dfea6c000bb23762	DL_practice	10	ba	ba	0	left	ba	1	1524
56c89222dfea6c000bb23762	DL_test	1	da	ga	1	right	ga	1	1614
56c89222dfea6c000bb23762	DL_test	2	da	ba	1	right	ba	1	1635
56c89222dfea6c000bb23762	DL_test	3	ba	pa	1	right	pa	1	1282
56c89222dfea6c000bb23762	DL_test	4	ga	ba	1	right	ba	1	1565
56c89222dfea6c000bb23762	DL_test	5	pa	da	1	other	ga	0	1317
56c89222dfea6c000bb23762	DL_test	6	ba	ba	0	left	ba	1	1822
56c89222dfea6c000bb23762	DL_test	7	ta	pa	1	right	pa	1	4379
56c89222dfea6c000bb23762	DL_test	8	pa	ta	1	right	ta	1	1471
56c89222dfea6c000bb23762	DL_test	9	ba	ka	1	right	ka	1	896
56c89222dfea6c000bb23762	DL_test	10	ka	pa	1	right	pa	1	1262
56c89222dfea6c000bb23762	DL_test	11	ta	ta	0	left	ta	1	1475
56c89222dfea6c000bb23762	DL_test	12	da	ta	1	left	da	1	2031
56c89222dfea6c000bb23762	DL_test	13	ta	ka	1	right	ka	1	1110
56c89222dfea6c000bb23762	DL_test	14	pa	ga	1	right	ga	1	1003
56c89222dfea6c000bb23762	DL_test	15	ga	ka	1	right	ka	1	1471
56c89222dfea6c000bb23762	DL_test	16	ga	ga	0	left	ga	1	1000
56c89222dfea6c000bb23762	DL_test	17	ba	ga	1	left	ba	1	1208
56c89222dfea6c000bb23762	DL_test	18	da	pa	1	right	pa	1	1236
56c89222dfea6c000bb23762	DL_test	19	pa	ka	1	right	ka	1	1120
56c89222dfea6c000bb23762	DL_test	20	ga	pa	1	right	pa	1	1064
56c89222dfea6c000bb23762	DL_test	21	ba	ta	1	other	ka	0	1801
56c89222dfea6c000bb23762	DL_test	22	ka	da	1	other	ga	0	766
56c89222dfea6c000bb23762	DL_test	23	ta	ga	1	right	ga	1	1152
56c89222dfea6c000bb23762	DL_test	24	ka	ta	1	left	ka	1	833
56c89222dfea6c000bb23762	DL_test	25	da	ka	1	other	pa	0	800
56c89222dfea6c000bb23762	DL_test	26	ka	ba	1	right	ba	1	1010
56c89222dfea6c000bb23762	DL_test	27	ga	ta	1	other	ka	0	1203
56c89222dfea6c000bb23762	DL_test	28	da	da	0	other	ga	0	1028
56c89222dfea6c000bb23762	DL_test	29	ta	da	1	other	ga	0	866
56c89222dfea6c000bb23762	DL_test	30	ka	ga	1	right	ga	1	1146
56c89222dfea6c000bb23762	DL_test	31	ka	ka	0	left	ka	1	763
56c89222dfea6c000bb23762	DL_test	32	pa	pa	0	left	pa	1	867
56c89222dfea6c000bb23762	DL_test	33	ga	da	1	left	ga	1	786
56c89222dfea6c000bb23762	DL_test	34	ta	ba	1	right	ba	1	1179
56c89222dfea6c000bb23762	DL_test	35	pa	ba	1	right	ba	1	2733
56c89222dfea6c000bb23762	DL_test	36	ba	da	1	other	ga	0	1002
56c89222dfea6c000bb23762	DL_test	1	pa	ka	1	right	ka	1	1402
56c89222dfea6c000bb23762	DL_test	2	ga	ga	0	left	ga	1	945
56c89222dfea6c000bb23762	DL_test	3	da	da	0	other	ga	0	693
56c89222dfea6c000bb23762	DL_test	4	ga	pa	1	right	pa	1	826
56c89222dfea6c000bb23762	DL_test	5	ta	ka	1	right	ka	1	812
56c89222dfea6c000bb23762	DL_test	6	pa	ga	1	right	ga	1	918
56c89222dfea6c000bb23762	DL_test	7	ka	ta	1	left	ka	1	1024
