subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
58ed2be2a083320001a13783	headphonecheck_testphase	3	NA	NA	0	NA	second	1	570
58ed2be2a083320001a13783	headphonecheck_testphase	6	NA	NA	0	NA	first	1	649
58ed2be2a083320001a13783	headphonecheck_testphase	9	NA	NA	0	NA	third	1	564
58ed2be2a083320001a13783	headphonecheck_testphase	12	NA	NA	0	NA	second	1	491
58ed2be2a083320001a13783	headphonecheck_testphase	15	NA	NA	0	NA	first	1	517
58ed2be2a083320001a13783	headphonecheck_testphase	18	NA	NA	0	NA	third	1	595
58ed2be2a083320001a13783	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	3967
58ed2be2a083320001a13783	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	722
58ed2be2a083320001a13783	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	696
58ed2be2a083320001a13783	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	560
58ed2be2a083320001a13783	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	948
58ed2be2a083320001a13783	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	818
58ed2be2a083320001a13783	DL_practice	2	da	da	0	left	da	1	1232
58ed2be2a083320001a13783	DL_practice	3	da	ba	1	left	da	1	1197
58ed2be2a083320001a13783	DL_practice	4	ka	ka	0	left	ka	1	1442
58ed2be2a083320001a13783	DL_practice	5	ka	pa	1	right	pa	1	1449
58ed2be2a083320001a13783	DL_practice	6	ga	ta	1	other	da	0	1619
58ed2be2a083320001a13783	DL_practice	7	ta	ta	0	left	ta	1	1578
58ed2be2a083320001a13783	DL_practice	8	ba	ba	0	left	ba	1	1560
58ed2be2a083320001a13783	DL_practice	9	ga	ga	0	left	ga	1	1861
58ed2be2a083320001a13783	DL_practice	10	pa	pa	0	left	pa	1	1926
58ed2be2a083320001a13783	DL_test	1	ga	da	1	right	da	1	1396
58ed2be2a083320001a13783	DL_test	2	da	ta	1	right	ta	1	2184
58ed2be2a083320001a13783	DL_test	3	ka	ga	1	right	ga	1	1381
58ed2be2a083320001a13783	DL_test	4	ka	ta	1	right	ta	1	2418
58ed2be2a083320001a13783	DL_test	5	ka	da	1	left	ka	1	1752
58ed2be2a083320001a13783	DL_test	6	ga	ga	0	left	ga	1	1285
58ed2be2a083320001a13783	DL_test	7	pa	da	1	left	pa	1	1802
58ed2be2a083320001a13783	DL_test	8	ba	ka	1	left	ba	1	2518
58ed2be2a083320001a13783	DL_test	9	ta	ba	1	left	ta	1	1600
58ed2be2a083320001a13783	DL_test	10	da	da	0	left	da	1	1395
58ed2be2a083320001a13783	DL_test	11	ta	ta	0	left	ta	1	1477
58ed2be2a083320001a13783	DL_test	12	ta	ka	1	right	ka	1	1405
58ed2be2a083320001a13783	DL_test	13	pa	ta	1	left	pa	1	1683
58ed2be2a083320001a13783	DL_test	14	ba	da	1	right	da	1	1404
58ed2be2a083320001a13783	DL_test	15	ta	ga	1	left	ta	1	1560
58ed2be2a083320001a13783	DL_test	16	da	ba	1	left	da	1	1569
58ed2be2a083320001a13783	DL_test	17	ba	ta	1	left	ba	1	2024
58ed2be2a083320001a13783	DL_test	18	ga	ta	1	left	ga	1	1409
