subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	3	NA	NA	0	NA	third	0	433
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	6	NA	NA	0	NA	third	1	561
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	9	NA	NA	0	NA	first	0	561
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	12	NA	NA	0	NA	second	0	566
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	15	NA	NA	0	NA	first	1	3171
5a47b7be2f91ec0001dcbfee	headphonecheck_testphase	18	NA	NA	0	NA	third	0	360
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	693
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	400
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	250
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	258
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	230
5a47b7be2f91ec0001dcbfee	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	366
5a47b7be2f91ec0001dcbfee	DL_practice	2	ba	ba	0	left	ba	1	2525
5a47b7be2f91ec0001dcbfee	DL_practice	3	ta	ta	0	left	ta	1	1118
5a47b7be2f91ec0001dcbfee	DL_practice	4	pa	pa	0	left	pa	1	1329
5a47b7be2f91ec0001dcbfee	DL_practice	5	ga	ta	1	left	ga	1	844
5a47b7be2f91ec0001dcbfee	DL_practice	6	ka	ka	0	left	ka	1	791
5a47b7be2f91ec0001dcbfee	DL_practice	7	da	da	0	left	da	1	739
5a47b7be2f91ec0001dcbfee	DL_practice	8	da	ba	1	left	da	1	1369
5a47b7be2f91ec0001dcbfee	DL_practice	9	ga	ga	0	left	ga	1	1366
5a47b7be2f91ec0001dcbfee	DL_practice	10	ka	pa	1	left	ka	1	1125
5a47b7be2f91ec0001dcbfee	DL_test	1	ba	ta	1	left	ba	1	2416
5a47b7be2f91ec0001dcbfee	DL_test	2	ga	da	1	right	da	1	831
5a47b7be2f91ec0001dcbfee	DL_test	3	ta	ga	1	right	ga	1	761
5a47b7be2f91ec0001dcbfee	DL_test	4	pa	ta	1	right	ta	1	1092
5a47b7be2f91ec0001dcbfee	DL_test	5	ga	ba	1	right	ba	1	2218
5a47b7be2f91ec0001dcbfee	DL_test	6	ka	ga	1	right	ga	1	1241
5a47b7be2f91ec0001dcbfee	DL_test	7	da	pa	1	right	pa	1	1697
5a47b7be2f91ec0001dcbfee	DL_test	8	pa	ga	1	right	ga	1	817
5a47b7be2f91ec0001dcbfee	DL_test	9	ka	ba	1	right	ba	1	2259
5a47b7be2f91ec0001dcbfee	DL_test	10	ba	da	1	right	da	1	1168
5a47b7be2f91ec0001dcbfee	DL_test	11	pa	ka	1	right	ka	1	925
5a47b7be2f91ec0001dcbfee	DL_test	12	ba	ga	1	right	ga	1	775
5a47b7be2f91ec0001dcbfee	DL_test	13	ba	pa	1	right	pa	1	1518
5a47b7be2f91ec0001dcbfee	DL_test	14	ka	ka	0	left	ka	1	841
5a47b7be2f91ec0001dcbfee	DL_test	15	pa	ba	1	right	ba	1	3143
5a47b7be2f91ec0001dcbfee	DL_test	16	da	ba	1	right	ba	1	1257
5a47b7be2f91ec0001dcbfee	DL_test	17	ta	ka	1	right	ka	1	915
5a47b7be2f91ec0001dcbfee	DL_test	18	ga	ta	1	left	ga	1	1096
5a47b7be2f91ec0001dcbfee	DL_test	19	ka	ta	1	left	ka	1	776
5a47b7be2f91ec0001dcbfee	DL_test	20	da	ga	1	right	ga	1	652
5a47b7be2f91ec0001dcbfee	DL_test	21	da	da	0	left	da	1	760
5a47b7be2f91ec0001dcbfee	DL_test	22	ta	ta	0	left	ta	1	1242
5a47b7be2f91ec0001dcbfee	DL_test	23	ka	pa	1	left	ka	1	1440
5a47b7be2f91ec0001dcbfee	DL_test	24	ta	ba	1	right	ba	1	1496
5a47b7be2f91ec0001dcbfee	DL_test	25	ga	pa	1	left	ga	1	1626
5a47b7be2f91ec0001dcbfee	DL_test	26	ka	da	1	right	da	1	1147
5a47b7be2f91ec0001dcbfee	DL_test	27	ta	pa	1	left	ta	1	2202
5a47b7be2f91ec0001dcbfee	DL_test	28	ba	ba	0	left	ba	1	1037
5a47b7be2f91ec0001dcbfee	DL_test	29	ta	da	1	right	da	1	1370
5a47b7be2f91ec0001dcbfee	DL_test	30	da	ka	1	other	pa	0	1245
5a47b7be2f91ec0001dcbfee	DL_test	31	ga	ga	0	left	ga	1	1017
5a47b7be2f91ec0001dcbfee	DL_test	32	ba	ka	1	right	ka	1	907
5a47b7be2f91ec0001dcbfee	DL_test	33	ga	ka	1	right	ka	1	700
5a47b7be2f91ec0001dcbfee	DL_test	34	pa	da	1	right	da	1	1005
5a47b7be2f91ec0001dcbfee	DL_test	35	pa	pa	0	left	pa	1	1083
5a47b7be2f91ec0001dcbfee	DL_test	36	da	ta	1	right	ta	1	1416
5a47b7be2f91ec0001dcbfee	DL_test	1	ba	da	1	right	da	1	1371
5a47b7be2f91ec0001dcbfee	DL_test	2	ka	ba	1	right	ba	1	1368
5a47b7be2f91ec0001dcbfee	DL_test	3	ga	ta	1	left	ga	1	1251
5a47b7be2f91ec0001dcbfee	DL_test	4	ta	ka	1	right	ka	1	1086
5a47b7be2f91ec0001dcbfee	DL_test	5	pa	ka	1	right	ka	1	623
5a47b7be2f91ec0001dcbfee	DL_test	6	ka	pa	1	left	ka	1	540
5a47b7be2f91ec0001dcbfee	DL_test	7	pa	pa	0	left	pa	1	845
5a47b7be2f91ec0001dcbfee	DL_test	8	pa	ga	1	right	ga	1	1026
5a47b7be2f91ec0001dcbfee	DL_test	9	ta	ta	0	left	ta	1	1043
5a47b7be2f91ec0001dcbfee	DL_test	10	da	ka	1	left	da	1	1803
5a47b7be2f91ec0001dcbfee	DL_test	11	ga	ga	0	left	ga	1	763
5a47b7be2f91ec0001dcbfee	DL_test	12	da	ba	1	right	ba	1	1531
5a47b7be2f91ec0001dcbfee	DL_test	13	ka	ta	1	left	ka	1	1119
5a47b7be2f91ec0001dcbfee	DL_test	14	da	ta	1	left	da	1	1189
5a47b7be2f91ec0001dcbfee	DL_test	15	ga	da	1	right	da	1	1521
5a47b7be2f91ec0001dcbfee	DL_test	16	pa	ta	1	right	ta	1	1087
5a47b7be2f91ec0001dcbfee	DL_test	17	ka	ga	1	right	ga	1	1158
5a47b7be2f91ec0001dcbfee	DL_test	18	ta	ga	1	right	ga	1	650
5a47b7be2f91ec0001dcbfee	DL_test	19	ga	ka	1	left	ga	1	853
5a47b7be2f91ec0001dcbfee	DL_test	20	ta	ba	1	right	ba	1	1125
5a47b7be2f91ec0001dcbfee	DL_test	21	da	ga	1	right	ga	1	920
5a47b7be2f91ec0001dcbfee	DL_test	22	da	pa	1	other	ta	0	1304
5a47b7be2f91ec0001dcbfee	DL_test	23	ka	ka	0	left	ka	1	909
5a47b7be2f91ec0001dcbfee	DL_test	24	da	da	0	left	da	1	918
5a47b7be2f91ec0001dcbfee	DL_test	25	ba	ga	1	right	ga	1	1625
5a47b7be2f91ec0001dcbfee	DL_test	26	pa	ba	1	right	ba	1	2090
5a47b7be2f91ec0001dcbfee	DL_test	27	ta	pa	1	left	ta	1	1221
5a47b7be2f91ec0001dcbfee	DL_test	28	ga	ba	1	right	ba	1	1148
5a47b7be2f91ec0001dcbfee	DL_test	29	ta	da	1	right	da	1	1273
5a47b7be2f91ec0001dcbfee	DL_test	30	ka	da	1	right	da	1	1001
5a47b7be2f91ec0001dcbfee	DL_test	31	ga	pa	1	other	ka	0	1609
5a47b7be2f91ec0001dcbfee	DL_test	32	pa	da	1	right	da	1	1107
5a47b7be2f91ec0001dcbfee	DL_test	33	ba	ba	0	left	ba	1	1075
5a47b7be2f91ec0001dcbfee	DL_test	34	ba	ta	1	right	ta	1	1902
5a47b7be2f91ec0001dcbfee	DL_test	35	ba	pa	1	right	pa	1	1385
5a47b7be2f91ec0001dcbfee	DL_test	36	ba	ka	1	right	ka	1	938
5a47b7be2f91ec0001dcbfee	DL_test	1	ga	ga	0	left	ga	1	913
5a47b7be2f91ec0001dcbfee	DL_test	2	ba	ka	1	right	ka	1	982
5a47b7be2f91ec0001dcbfee	DL_test	3	ga	ba	1	right	ba	1	1026
5a47b7be2f91ec0001dcbfee	DL_test	4	ta	ga	1	right	ga	1	977
5a47b7be2f91ec0001dcbfee	DL_test	5	pa	da	1	right	da	1	892
5a47b7be2f91ec0001dcbfee	DL_test	6	ba	pa	1	right	pa	1	1292
5a47b7be2f91ec0001dcbfee	DL_test	7	ta	da	1	right	da	1	1038
5a47b7be2f91ec0001dcbfee	DL_test	8	ka	ta	1	left	ka	1	901
5a47b7be2f91ec0001dcbfee	DL_test	9	pa	ba	1	right	ba	1	2369
5a47b7be2f91ec0001dcbfee	DL_test	10	ta	ta	0	left	ta	1	975
5a47b7be2f91ec0001dcbfee	DL_test	11	da	ba	1	right	ba	1	1939
5a47b7be2f91ec0001dcbfee	DL_test	12	pa	ka	1	right	ka	1	1152
5a47b7be2f91ec0001dcbfee	DL_test	13	pa	pa	0	left	pa	1	967
5a47b7be2f91ec0001dcbfee	DL_test	14	ga	ta	1	left	ga	1	1017
5a47b7be2f91ec0001dcbfee	DL_test	15	da	ka	1	other	ta	0	2602
5a47b7be2f91ec0001dcbfee	DL_test	16	ba	da	1	right	da	1	1018
5a47b7be2f91ec0001dcbfee	DL_test	17	ta	ka	1	right	ka	1	1045
5a47b7be2f91ec0001dcbfee	DL_test	18	ka	da	1	right	da	1	961
5a47b7be2f91ec0001dcbfee	DL_test	19	pa	ta	1	right	ta	1	1244
5a47b7be2f91ec0001dcbfee	DL_test	20	pa	ga	1	right	ga	1	989
5a47b7be2f91ec0001dcbfee	DL_test	21	ka	ba	1	left	ka	1	2884
5a47b7be2f91ec0001dcbfee	DL_test	22	da	pa	1	other	ba	0	2662
5a47b7be2f91ec0001dcbfee	DL_test	23	da	da	0	left	da	1	902
5a47b7be2f91ec0001dcbfee	DL_test	24	ga	pa	1	left	ga	1	985
5a47b7be2f91ec0001dcbfee	DL_test	25	da	ga	1	right	ga	1	1113
5a47b7be2f91ec0001dcbfee	DL_test	26	ga	da	1	right	da	1	859
5a47b7be2f91ec0001dcbfee	DL_test	27	ka	pa	1	left	ka	1	985
5a47b7be2f91ec0001dcbfee	DL_test	28	ga	ka	1	right	ka	1	785
5a47b7be2f91ec0001dcbfee	DL_test	29	ta	ba	1	right	ba	1	1490
5a47b7be2f91ec0001dcbfee	DL_test	30	ba	ba	0	left	ba	1	615
5a47b7be2f91ec0001dcbfee	DL_test	31	ta	pa	1	left	ta	1	984
5a47b7be2f91ec0001dcbfee	DL_test	32	ba	ta	1	right	ta	1	879
5a47b7be2f91ec0001dcbfee	DL_test	33	ka	ka	0	left	ka	1	1064
5a47b7be2f91ec0001dcbfee	DL_test	34	ba	ga	1	right	ga	1	977
5a47b7be2f91ec0001dcbfee	DL_test	35	da	ta	1	right	ta	1	1562
5a47b7be2f91ec0001dcbfee	DL_test	36	ka	ga	1	right	ga	1	984
5a47b7be2f91ec0001dcbfee	DL_test	1	da	pa	1	left	da	1	941
5a47b7be2f91ec0001dcbfee	DL_test	2	ga	ta	1	other	da	0	1811
5a47b7be2f91ec0001dcbfee	DL_test	3	ka	ba	1	other	pa	0	1271
5a47b7be2f91ec0001dcbfee	DL_test	4	ga	pa	1	left	ga	1	1324
5a47b7be2f91ec0001dcbfee	DL_test	5	ta	ta	0	left	ta	1	1272
5a47b7be2f91ec0001dcbfee	DL_test	6	ta	pa	1	left	ta	1	984
5a47b7be2f91ec0001dcbfee	DL_test	7	pa	da	1	right	da	1	1033
5a47b7be2f91ec0001dcbfee	DL_test	8	ta	ba	1	right	ba	1	2584
5a47b7be2f91ec0001dcbfee	DL_test	9	da	ga	1	right	ga	1	906
5a47b7be2f91ec0001dcbfee	DL_test	10	ka	ka	0	left	ka	1	706
5a47b7be2f91ec0001dcbfee	DL_test	11	ga	ga	0	left	ga	1	1032
5a47b7be2f91ec0001dcbfee	DL_test	12	ka	ga	1	right	ga	1	782
5a47b7be2f91ec0001dcbfee	DL_test	13	ba	pa	1	right	pa	1	1020
5a47b7be2f91ec0001dcbfee	DL_test	14	da	ta	1	left	da	1	1674
5a47b7be2f91ec0001dcbfee	DL_test	15	ba	ta	1	right	ta	1	1390
5a47b7be2f91ec0001dcbfee	DL_test	16	ga	da	1	right	da	1	1184
5a47b7be2f91ec0001dcbfee	DL_test	17	da	ka	1	left	da	1	1107
5a47b7be2f91ec0001dcbfee	DL_test	18	pa	pa	0	left	pa	1	888
5a47b7be2f91ec0001dcbfee	DL_test	19	ba	da	1	right	da	1	1143
5a47b7be2f91ec0001dcbfee	DL_test	20	ba	ka	1	right	ka	1	1241
5a47b7be2f91ec0001dcbfee	DL_test	21	ga	ba	1	other	pa	0	908
5a47b7be2f91ec0001dcbfee	DL_test	22	ga	ka	1	right	ka	1	1285
5a47b7be2f91ec0001dcbfee	DL_test	23	ka	ta	1	left	ka	1	697
5a47b7be2f91ec0001dcbfee	DL_test	24	ta	ka	1	right	ka	1	523
5a47b7be2f91ec0001dcbfee	DL_test	25	ka	da	1	right	da	1	1567
5a47b7be2f91ec0001dcbfee	DL_test	26	pa	ka	1	right	ka	1	1214
5a47b7be2f91ec0001dcbfee	DL_test	27	ka	pa	1	left	ka	1	548
5a47b7be2f91ec0001dcbfee	DL_test	28	pa	ga	1	right	ga	1	738
5a47b7be2f91ec0001dcbfee	DL_test	29	ta	da	1	right	da	1	761
5a47b7be2f91ec0001dcbfee	DL_test	30	da	da	0	left	da	1	680
5a47b7be2f91ec0001dcbfee	DL_test	31	ta	ga	1	right	ga	1	1072
5a47b7be2f91ec0001dcbfee	DL_test	32	da	ba	1	right	ba	1	2248
5a47b7be2f91ec0001dcbfee	DL_test	33	ba	ba	0	left	ba	1	722
5a47b7be2f91ec0001dcbfee	DL_test	34	pa	ta	1	right	ta	1	1664
5a47b7be2f91ec0001dcbfee	DL_test	35	ba	ga	1	right	ga	1	967
5a47b7be2f91ec0001dcbfee	DL_test	36	pa	ba	1	left	pa	1	2100
