subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	3	NA	NA	0	NA	first	1	1313
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	6	NA	NA	0	NA	second	1	618
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	9	NA	NA	0	NA	first	1	591
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	12	NA	NA	0	NA	third	1	1886
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	15	NA	NA	0	NA	second	1	344
5b8e11444cd6dd0001bf07d9	headphonecheck_testphase	18	NA	NA	0	NA	third	1	827
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	800
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	666
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	568
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	741
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	947
5b8e11444cd6dd0001bf07d9	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	490
5b8e11444cd6dd0001bf07d9	DL_practice	2	ga	ta	1	other	ka	0	3134
5b8e11444cd6dd0001bf07d9	DL_practice	3	ka	pa	1	right	pa	1	2099
5b8e11444cd6dd0001bf07d9	DL_practice	4	ga	ga	0	other	da	0	1509
5b8e11444cd6dd0001bf07d9	DL_practice	5	da	da	0	left	da	1	1175
5b8e11444cd6dd0001bf07d9	DL_practice	6	pa	pa	0	left	pa	1	1466
5b8e11444cd6dd0001bf07d9	DL_practice	7	ba	ba	0	left	ba	1	1774
5b8e11444cd6dd0001bf07d9	DL_practice	8	ta	ta	0	left	ta	1	1562
5b8e11444cd6dd0001bf07d9	DL_practice	9	da	ba	1	right	ba	1	2176
