subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d59b01348766d0016949e6a	headphonecheck_testphase	3	NA	NA	0	NA	third	1	2002
5d59b01348766d0016949e6a	headphonecheck_testphase	6	NA	NA	0	NA	second	1	1846
5d59b01348766d0016949e6a	headphonecheck_testphase	9	NA	NA	0	NA	second	1	107
5d59b01348766d0016949e6a	headphonecheck_testphase	12	NA	NA	0	NA	first	1	382
5d59b01348766d0016949e6a	headphonecheck_testphase	15	NA	NA	0	NA	third	1	1201
5d59b01348766d0016949e6a	headphonecheck_testphase	18	NA	NA	0	NA	first	1	186
5d59b01348766d0016949e6a	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	219
5d59b01348766d0016949e6a	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	203
5d59b01348766d0016949e6a	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	192
5d59b01348766d0016949e6a	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	159
5d59b01348766d0016949e6a	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	192
5d59b01348766d0016949e6a	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	505
5d59b01348766d0016949e6a	DL_practice	2	ta	ta	0	left	ta	1	1131
5d59b01348766d0016949e6a	DL_practice	3	da	da	0	left	da	1	1012
5d59b01348766d0016949e6a	DL_practice	4	ba	ba	0	left	ba	1	1070
5d59b01348766d0016949e6a	DL_practice	5	ga	ta	1	right	ta	1	1033
5d59b01348766d0016949e6a	DL_practice	6	ga	ga	0	left	ga	1	989
5d59b01348766d0016949e6a	DL_practice	7	ka	pa	1	right	pa	1	1006
5d59b01348766d0016949e6a	DL_practice	8	da	ba	1	left	da	1	928
5d59b01348766d0016949e6a	DL_practice	9	ka	ka	0	left	ka	1	1028
5d59b01348766d0016949e6a	DL_practice	10	pa	pa	0	left	pa	1	1093
5d59b01348766d0016949e6a	DL_test	1	pa	ba	1	left	pa	1	1095
5d59b01348766d0016949e6a	DL_test	2	ta	da	1	left	ta	1	984
5d59b01348766d0016949e6a	DL_test	3	ka	da	1	other	ta	0	856
5d59b01348766d0016949e6a	DL_test	4	ba	da	1	right	da	1	968
5d59b01348766d0016949e6a	DL_test	5	ga	da	1	right	da	1	771
5d59b01348766d0016949e6a	DL_test	6	da	da	0	left	da	1	759
5d59b01348766d0016949e6a	DL_test	7	da	ba	1	left	da	1	711
5d59b01348766d0016949e6a	DL_test	8	ka	ga	1	left	ka	1	910
5d59b01348766d0016949e6a	DL_test	9	ga	ka	1	right	ka	1	665
5d59b01348766d0016949e6a	DL_test	10	da	ka	1	other	pa	0	1043
5d59b01348766d0016949e6a	DL_test	11	pa	ka	1	right	ka	1	906
5d59b01348766d0016949e6a	DL_test	12	ka	ka	0	left	ka	1	551
5d59b01348766d0016949e6a	DL_test	13	ba	ta	1	other	ka	0	1218
5d59b01348766d0016949e6a	DL_test	14	da	ta	1	right	ta	1	930
5d59b01348766d0016949e6a	DL_test	15	pa	da	1	other	ta	0	1007
5d59b01348766d0016949e6a	DL_test	16	ga	ga	0	left	ga	1	711
5d59b01348766d0016949e6a	DL_test	17	ta	ka	1	left	ta	1	1005
5d59b01348766d0016949e6a	DL_test	18	ba	ba	0	left	ba	1	818
5d59b01348766d0016949e6a	DL_test	19	ta	ba	1	left	ta	1	945
5d59b01348766d0016949e6a	DL_test	20	ka	ba	1	left	ka	1	880
5d59b01348766d0016949e6a	DL_test	21	ta	ta	0	left	ta	1	725
5d59b01348766d0016949e6a	DL_test	22	pa	ta	1	right	ta	1	876
5d59b01348766d0016949e6a	DL_test	23	ta	ga	1	other	ka	0	1175
5d59b01348766d0016949e6a	DL_test	24	ba	ka	1	right	ka	1	646
5d59b01348766d0016949e6a	DL_test	25	ka	ta	1	right	ta	1	817
5d59b01348766d0016949e6a	DL_test	26	ga	pa	1	right	pa	1	726
5d59b01348766d0016949e6a	DL_test	27	ba	pa	1	right	pa	1	763
5d59b01348766d0016949e6a	DL_test	28	pa	ga	1	left	pa	1	1038
5d59b01348766d0016949e6a	DL_test	29	ga	ba	1	right	ba	1	1275
5d59b01348766d0016949e6a	DL_test	30	ka	pa	1	right	pa	1	877
5d59b01348766d0016949e6a	DL_test	31	pa	pa	0	left	pa	1	806
5d59b01348766d0016949e6a	DL_test	32	ta	pa	1	left	ta	1	776
5d59b01348766d0016949e6a	DL_test	33	ga	ta	1	other	ka	0	872
5d59b01348766d0016949e6a	DL_test	34	da	pa	1	right	pa	1	846
