subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	3	NA	NA	0	NA	second	0	18481
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	6	NA	NA	0	NA	third	1	581
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	9	NA	NA	0	NA	second	1	314
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	12	NA	NA	0	NA	first	1	423
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	15	NA	NA	0	NA	third	1	381
5e6d7b0421be18343d8bc4a9	headphonecheck_testphase	18	NA	NA	0	NA	second	1	315
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1533
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	366
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	209
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	283
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	332
5e6d7b0421be18343d8bc4a9	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	265
5e6d7b0421be18343d8bc4a9	DL_practice	2	ka	pa	1	left	ka	1	2067
5e6d7b0421be18343d8bc4a9	DL_practice	3	ga	ta	1	left	ga	1	1550
5e6d7b0421be18343d8bc4a9	DL_practice	4	da	ba	1	right	ba	1	1183
5e6d7b0421be18343d8bc4a9	DL_practice	5	da	da	0	left	da	1	617
5e6d7b0421be18343d8bc4a9	DL_practice	6	ga	ga	0	left	ga	1	750
5e6d7b0421be18343d8bc4a9	DL_practice	7	ba	ba	0	left	ba	1	2800
5e6d7b0421be18343d8bc4a9	DL_practice	8	ka	ka	0	left	ka	1	866
5e6d7b0421be18343d8bc4a9	DL_practice	9	pa	pa	0	left	pa	1	817
5e6d7b0421be18343d8bc4a9	DL_practice	10	ta	ta	0	left	ta	1	834
5e6d7b0421be18343d8bc4a9	DL_test	1	ta	ka	1	right	ka	1	918
5e6d7b0421be18343d8bc4a9	DL_test	2	da	ka	1	left	da	1	867
5e6d7b0421be18343d8bc4a9	DL_test	3	ba	ta	1	left	ba	1	2784
5e6d7b0421be18343d8bc4a9	DL_test	4	ga	ta	1	left	ga	1	717
5e6d7b0421be18343d8bc4a9	DL_test	5	ka	da	1	other	ga	0	700
5e6d7b0421be18343d8bc4a9	DL_test	6	ba	ka	1	right	ka	1	1051
5e6d7b0421be18343d8bc4a9	DL_test	7	ba	ba	0	left	ba	1	1100
5e6d7b0421be18343d8bc4a9	DL_test	8	pa	ga	1	right	ga	1	868
5e6d7b0421be18343d8bc4a9	DL_test	9	pa	pa	0	left	pa	1	1234
5e6d7b0421be18343d8bc4a9	DL_test	10	da	ba	1	right	ba	1	1500
5e6d7b0421be18343d8bc4a9	DL_test	11	ka	ka	0	left	ka	1	885
5e6d7b0421be18343d8bc4a9	DL_test	12	ba	ga	1	right	ga	1	1235
