subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	3	NA	NA	0	NA	second	1	431
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	6	NA	NA	0	NA	first	1	562
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	9	NA	NA	0	NA	first	1	370
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	12	NA	NA	0	NA	third	1	476
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	15	NA	NA	0	NA	second	1	619
5ed2bdf295ed8f251d614b21	headphonecheck_testphase	18	NA	NA	0	NA	third	1	597
5ed2bdf295ed8f251d614b21	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1578
5ed2bdf295ed8f251d614b21	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	371
5ed2bdf295ed8f251d614b21	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	91
5ed2bdf295ed8f251d614b21	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	125
5ed2bdf295ed8f251d614b21	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	162
5ed2bdf295ed8f251d614b21	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	249
5ed2bdf295ed8f251d614b21	DL_practice	2	da	da	0	left	da	1	1371
5ed2bdf295ed8f251d614b21	DL_practice	3	da	ba	1	left	da	1	1277
5ed2bdf295ed8f251d614b21	DL_practice	4	ga	ga	0	left	ga	1	1175
5ed2bdf295ed8f251d614b21	DL_practice	5	ta	ta	0	left	ta	1	1668
5ed2bdf295ed8f251d614b21	DL_practice	6	ka	pa	1	left	ka	1	1354
5ed2bdf295ed8f251d614b21	DL_practice	7	pa	pa	0	left	pa	1	1254
5ed2bdf295ed8f251d614b21	DL_practice	8	ba	ba	0	left	ba	1	1639
5ed2bdf295ed8f251d614b21	DL_practice	9	ga	ta	1	other	ka	0	1496
5ed2bdf295ed8f251d614b21	DL_practice	10	ka	ka	0	left	ka	1	859
5ed2bdf295ed8f251d614b21	DL_test	1	da	da	0	left	da	1	1385
5ed2bdf295ed8f251d614b21	DL_test	2	ta	ta	0	left	ta	1	1864
5ed2bdf295ed8f251d614b21	DL_test	3	ka	ga	1	left	ka	1	1106
5ed2bdf295ed8f251d614b21	DL_test	4	da	ba	1	left	da	1	1844
5ed2bdf295ed8f251d614b21	DL_test	5	ga	pa	1	right	pa	1	1697
5ed2bdf295ed8f251d614b21	DL_test	6	ta	ga	1	other	ka	0	1129
5ed2bdf295ed8f251d614b21	DL_test	7	ba	ga	1	left	ba	1	1758
5ed2bdf295ed8f251d614b21	DL_test	8	ga	ta	1	other	ka	0	1554
5ed2bdf295ed8f251d614b21	DL_test	9	ta	ka	1	left	ta	1	1395
5ed2bdf295ed8f251d614b21	DL_test	10	ga	ka	1	right	ka	1	1230
5ed2bdf295ed8f251d614b21	DL_test	11	ka	ka	0	left	ka	1	953
5ed2bdf295ed8f251d614b21	DL_test	12	ka	pa	1	right	pa	1	1830
5ed2bdf295ed8f251d614b21	DL_test	13	ta	pa	1	left	ta	1	2112
5ed2bdf295ed8f251d614b21	DL_test	14	pa	ga	1	right	ga	1	2447
5ed2bdf295ed8f251d614b21	DL_test	15	da	pa	1	right	pa	1	1349
5ed2bdf295ed8f251d614b21	DL_test	16	pa	ta	1	right	ta	1	1436
5ed2bdf295ed8f251d614b21	DL_test	17	pa	ka	1	left	pa	1	1379
5ed2bdf295ed8f251d614b21	DL_test	18	ba	ba	0	left	ba	1	1579
5ed2bdf295ed8f251d614b21	DL_test	19	pa	pa	0	left	pa	1	1210
5ed2bdf295ed8f251d614b21	DL_test	20	ga	ga	0	left	ga	1	1154
5ed2bdf295ed8f251d614b21	DL_test	21	ba	ta	1	other	ka	0	2429
5ed2bdf295ed8f251d614b21	DL_test	22	da	ka	1	other	pa	0	1257
5ed2bdf295ed8f251d614b21	DL_test	23	ka	ba	1	left	ka	1	1225
5ed2bdf295ed8f251d614b21	DL_test	24	ta	ba	1	left	ta	1	1465
5ed2bdf295ed8f251d614b21	DL_test	25	ta	da	1	left	ta	1	874
5ed2bdf295ed8f251d614b21	DL_test	26	ka	ta	1	left	ka	1	1641
5ed2bdf295ed8f251d614b21	DL_test	27	pa	da	1	left	pa	1	2074
5ed2bdf295ed8f251d614b21	DL_test	28	da	ga	1	left	da	1	1075
5ed2bdf295ed8f251d614b21	DL_test	29	da	ta	1	other	ga	0	1336
5ed2bdf295ed8f251d614b21	DL_test	30	ga	ba	1	left	ga	1	972
5ed2bdf295ed8f251d614b21	DL_test	31	ka	da	1	left	ka	1	1800
5ed2bdf295ed8f251d614b21	DL_test	32	ba	pa	1	right	pa	1	1606
5ed2bdf295ed8f251d614b21	DL_test	33	pa	ba	1	left	pa	1	1057
5ed2bdf295ed8f251d614b21	DL_test	34	ba	ka	1	other	pa	0	1051
5ed2bdf295ed8f251d614b21	DL_test	35	ba	da	1	left	ba	1	1683
5ed2bdf295ed8f251d614b21	DL_test	36	ga	da	1	right	da	1	1157
5ed2bdf295ed8f251d614b21	DL_test	1	ka	da	1	left	ka	1	1846
5ed2bdf295ed8f251d614b21	DL_test	2	ba	ga	1	left	ba	1	1628
5ed2bdf295ed8f251d614b21	DL_test	3	pa	da	1	left	pa	1	1515
5ed2bdf295ed8f251d614b21	DL_test	4	ba	ka	1	right	ka	1	1124
5ed2bdf295ed8f251d614b21	DL_test	5	ga	ka	1	right	ka	1	1133
5ed2bdf295ed8f251d614b21	DL_test	6	ta	ba	1	left	ta	1	1345
5ed2bdf295ed8f251d614b21	DL_test	7	ga	ga	0	left	ga	1	1864
5ed2bdf295ed8f251d614b21	DL_test	8	pa	ba	1	left	pa	1	1592
5ed2bdf295ed8f251d614b21	DL_test	9	da	pa	1	right	pa	1	1236
5ed2bdf295ed8f251d614b21	DL_test	10	ka	ba	1	left	ka	1	1119
5ed2bdf295ed8f251d614b21	DL_test	11	pa	ta	1	left	pa	1	1950
5ed2bdf295ed8f251d614b21	DL_test	12	ta	ka	1	left	ta	1	1885
5ed2bdf295ed8f251d614b21	DL_test	13	ta	pa	1	right	pa	1	1238
5ed2bdf295ed8f251d614b21	DL_test	14	ka	ga	1	left	ka	1	1224
5ed2bdf295ed8f251d614b21	DL_test	15	da	ka	1	other	pa	0	1407
5ed2bdf295ed8f251d614b21	DL_test	16	ka	pa	1	left	ka	1	1140
5ed2bdf295ed8f251d614b21	DL_test	17	da	ta	1	left	da	1	1520
5ed2bdf295ed8f251d614b21	DL_test	18	da	da	0	left	da	1	1109
5ed2bdf295ed8f251d614b21	DL_test	19	ga	da	1	left	ga	1	1323
5ed2bdf295ed8f251d614b21	DL_test	20	da	ga	1	right	ga	1	1089
5ed2bdf295ed8f251d614b21	DL_test	21	pa	pa	0	left	pa	1	1302
5ed2bdf295ed8f251d614b21	DL_test	22	ba	pa	1	right	pa	1	1075
5ed2bdf295ed8f251d614b21	DL_test	23	ta	ta	0	left	ta	1	1241
5ed2bdf295ed8f251d614b21	DL_test	24	ba	ba	0	left	ba	1	1413
5ed2bdf295ed8f251d614b21	DL_test	25	pa	ka	1	left	pa	1	1384
5ed2bdf295ed8f251d614b21	DL_test	26	ta	da	1	left	ta	1	1526
5ed2bdf295ed8f251d614b21	DL_test	27	da	ba	1	left	da	1	1342
5ed2bdf295ed8f251d614b21	DL_test	28	ba	da	1	left	ba	1	1458
5ed2bdf295ed8f251d614b21	DL_test	29	ba	ta	1	other	ka	0	1259
5ed2bdf295ed8f251d614b21	DL_test	30	ga	pa	1	right	pa	1	1806
5ed2bdf295ed8f251d614b21	DL_test	31	ta	ga	1	right	ga	1	1301
5ed2bdf295ed8f251d614b21	DL_test	32	pa	ga	1	left	pa	1	1280
5ed2bdf295ed8f251d614b21	DL_test	33	ka	ka	0	left	ka	1	3365
5ed2bdf295ed8f251d614b21	DL_test	34	ga	ta	1	left	ga	1	1034
5ed2bdf295ed8f251d614b21	DL_test	35	ga	ba	1	right	ba	1	1798
5ed2bdf295ed8f251d614b21	DL_test	36	ka	ta	1	left	ka	1	1077
