subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5efef32a88bb6a01c8087591	headphonecheck_testphase	3	NA	NA	0	NA	third	1	799
5efef32a88bb6a01c8087591	headphonecheck_testphase	6	NA	NA	0	NA	second	1	898
5efef32a88bb6a01c8087591	headphonecheck_testphase	9	NA	NA	0	NA	third	1	630
5efef32a88bb6a01c8087591	headphonecheck_testphase	12	NA	NA	0	NA	second	1	488
5efef32a88bb6a01c8087591	headphonecheck_testphase	15	NA	NA	0	NA	first	1	510
5efef32a88bb6a01c8087591	headphonecheck_testphase	18	NA	NA	0	NA	first	1	588
5efef32a88bb6a01c8087591	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	557
5efef32a88bb6a01c8087591	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	499
5efef32a88bb6a01c8087591	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	405
5efef32a88bb6a01c8087591	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	407
5efef32a88bb6a01c8087591	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	360
5efef32a88bb6a01c8087591	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	422
5efef32a88bb6a01c8087591	DL_practice	2	ka	pa	1	other	ga	0	114217
5efef32a88bb6a01c8087591	DL_practice	3	ga	ga	0	left	ga	1	945
5efef32a88bb6a01c8087591	DL_practice	4	ba	ba	0	left	ba	1	1603
5efef32a88bb6a01c8087591	DL_practice	5	ta	ta	0	left	ta	1	1530
5efef32a88bb6a01c8087591	DL_practice	6	ka	ka	0	left	ka	1	850
5efef32a88bb6a01c8087591	DL_practice	7	da	da	0	left	da	1	1062
5efef32a88bb6a01c8087591	DL_practice	8	ga	ta	1	other	ka	0	2901
5efef32a88bb6a01c8087591	DL_practice	9	da	ba	1	left	da	1	1307
5efef32a88bb6a01c8087591	DL_practice	10	pa	pa	0	left	pa	1	983
5efef32a88bb6a01c8087591	DL_test	1	ga	ga	0	left	ga	1	1289
