subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	3	NA	NA	0	NA	second	0	12649
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	6	NA	NA	0	NA	second	1	674
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	9	NA	NA	0	NA	third	1	654
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	12	NA	NA	0	NA	second	1	1372
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	15	NA	NA	0	NA	third	1	553
5fef2fa9efea401f0b55a7c2	headphonecheck_testphase	18	NA	NA	0	NA	first	1	1473
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	94
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	149
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	386
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	620
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	578
5fef2fa9efea401f0b55a7c2	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	440
5fef2fa9efea401f0b55a7c2	DL_practice	2	ka	ka	0	left	ka	1	1466
5fef2fa9efea401f0b55a7c2	DL_practice	3	ga	ta	1	left	ga	1	1240
5fef2fa9efea401f0b55a7c2	DL_practice	4	ta	ta	0	left	ta	1	1372
5fef2fa9efea401f0b55a7c2	DL_practice	5	da	da	0	left	da	1	1556
5fef2fa9efea401f0b55a7c2	DL_practice	6	da	ba	1	right	ba	1	2508
5fef2fa9efea401f0b55a7c2	DL_practice	7	ba	ba	0	left	ba	1	1261
5fef2fa9efea401f0b55a7c2	DL_practice	8	pa	pa	0	left	pa	1	1514
5fef2fa9efea401f0b55a7c2	DL_practice	9	ga	ga	0	left	ga	1	1296
5fef2fa9efea401f0b55a7c2	DL_practice	10	ka	pa	1	left	ka	1	1266
5fef2fa9efea401f0b55a7c2	DL_test	1	ba	pa	1	left	ba	1	2449
5fef2fa9efea401f0b55a7c2	DL_test	2	ka	pa	1	left	ka	1	1626
5fef2fa9efea401f0b55a7c2	DL_test	3	ba	ka	1	right	ka	1	1907
5fef2fa9efea401f0b55a7c2	DL_test	4	da	ga	1	right	ga	1	1448
5fef2fa9efea401f0b55a7c2	DL_test	5	pa	ta	1	right	ta	1	1232
5fef2fa9efea401f0b55a7c2	DL_test	6	ga	ba	1	right	ba	1	2330
5fef2fa9efea401f0b55a7c2	DL_test	7	ta	ta	0	left	ta	1	1366
5fef2fa9efea401f0b55a7c2	DL_test	8	da	ta	1	left	da	1	1934
5fef2fa9efea401f0b55a7c2	DL_test	9	da	ba	1	right	ba	1	1775
5fef2fa9efea401f0b55a7c2	DL_test	10	ba	ta	1	left	ba	1	1785
5fef2fa9efea401f0b55a7c2	DL_test	11	ta	ba	1	other	da	0	2528
5fef2fa9efea401f0b55a7c2	DL_test	12	pa	da	1	other	ga	0	1286
5fef2fa9efea401f0b55a7c2	DL_test	13	ka	da	1	other	ga	0	852
5fef2fa9efea401f0b55a7c2	DL_test	14	ta	da	1	right	da	1	1472
5fef2fa9efea401f0b55a7c2	DL_test	15	pa	pa	0	left	pa	1	1333
5fef2fa9efea401f0b55a7c2	DL_test	16	ka	ga	1	right	ga	1	1071
5fef2fa9efea401f0b55a7c2	DL_test	17	ta	pa	1	left	ta	1	1437
5fef2fa9efea401f0b55a7c2	DL_test	18	pa	ka	1	right	ka	1	1348
5fef2fa9efea401f0b55a7c2	DL_test	19	pa	ga	1	right	ga	1	1697
