subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	3	NA	NA	0	NA	third	1	504
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	6	NA	NA	0	NA	first	1	580
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	9	NA	NA	0	NA	first	1	722
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	12	NA	NA	0	NA	third	1	521
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	15	NA	NA	0	NA	second	1	362
6080f54b42dcabe9e1418fe3	headphonecheck_testphase	18	NA	NA	0	NA	second	1	376
6080f54b42dcabe9e1418fe3	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	776
6080f54b42dcabe9e1418fe3	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	552
6080f54b42dcabe9e1418fe3	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	360
6080f54b42dcabe9e1418fe3	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	555
6080f54b42dcabe9e1418fe3	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	342
6080f54b42dcabe9e1418fe3	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	409
6080f54b42dcabe9e1418fe3	DL_practice	2	da	ba	1	left	da	1	1991
6080f54b42dcabe9e1418fe3	DL_practice	3	pa	pa	0	left	pa	1	1662
6080f54b42dcabe9e1418fe3	DL_practice	4	ga	ta	1	other	ka	0	2197
6080f54b42dcabe9e1418fe3	DL_practice	5	ba	ba	0	left	ba	1	2114
6080f54b42dcabe9e1418fe3	DL_practice	6	da	da	0	left	da	1	1293
6080f54b42dcabe9e1418fe3	DL_practice	7	ta	ta	0	left	ta	1	2337
6080f54b42dcabe9e1418fe3	DL_practice	8	ka	pa	1	right	pa	1	1565
6080f54b42dcabe9e1418fe3	DL_practice	9	ga	ga	0	left	ga	1	1445
6080f54b42dcabe9e1418fe3	DL_practice	10	ka	ka	0	left	ka	1	1320
6080f54b42dcabe9e1418fe3	DL_test	1	ta	ba	1	left	ta	1	3659
6080f54b42dcabe9e1418fe3	DL_test	2	ba	ka	1	right	ka	1	1538
6080f54b42dcabe9e1418fe3	DL_test	3	ga	ba	1	right	ba	1	2123
6080f54b42dcabe9e1418fe3	DL_test	4	ba	ta	1	other	ka	0	1686
6080f54b42dcabe9e1418fe3	DL_test	5	pa	ga	1	left	pa	1	1694
6080f54b42dcabe9e1418fe3	DL_test	6	pa	pa	0	left	pa	1	1669
6080f54b42dcabe9e1418fe3	DL_test	7	da	ga	1	left	da	1	1993
6080f54b42dcabe9e1418fe3	DL_test	8	ga	da	1	right	da	1	1052
6080f54b42dcabe9e1418fe3	DL_test	9	ga	ka	1	right	ka	1	1438
6080f54b42dcabe9e1418fe3	DL_test	10	ka	da	1	other	ga	0	2948
6080f54b42dcabe9e1418fe3	DL_test	11	ta	da	1	right	da	1	2008
6080f54b42dcabe9e1418fe3	DL_test	12	ga	ta	1	other	ka	0	2347
6080f54b42dcabe9e1418fe3	DL_test	13	pa	ba	1	right	ba	1	2489
6080f54b42dcabe9e1418fe3	DL_test	14	ba	ba	0	left	ba	1	2029
6080f54b42dcabe9e1418fe3	DL_test	15	ka	ga	1	left	ka	1	1630
6080f54b42dcabe9e1418fe3	DL_test	16	ka	ka	0	left	ka	1	1064
6080f54b42dcabe9e1418fe3	DL_test	17	ka	ta	1	left	ka	1	1023
