subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	3	NA	NA	0	NA	second	0	2931
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	6	NA	NA	0	NA	third	0	1010
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	9	NA	NA	0	NA	first	0	998
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	12	NA	NA	0	NA	first	0	1347
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	15	NA	NA	0	NA	second	0	867
60e5e5b0ceabcb5d6c5f1dd0	headphonecheck_testphase	18	NA	NA	0	NA	third	0	733
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1278
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	977
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	1144
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	908
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	992
60e5e5b0ceabcb5d6c5f1dd0	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	741
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	2	da	ba	1	left	da	1	3339
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	3	ta	ta	0	left	ta	1	2489
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	4	da	da	0	left	da	1	1784
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	5	pa	pa	0	left	pa	1	2125
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	6	ga	ga	0	other	da	0	1977
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	7	ka	pa	1	right	pa	1	1763
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	8	ka	ka	0	left	ka	1	1285
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	9	ga	ta	1	right	ta	1	2576
60e5e5b0ceabcb5d6c5f1dd0	DL_practice	10	ba	ba	0	left	ba	1	2036
60e5e5b0ceabcb5d6c5f1dd0	DL_test	1	ka	ga	1	right	ga	1	2213
60e5e5b0ceabcb5d6c5f1dd0	DL_test	2	ta	pa	1	right	pa	1	1668
60e5e5b0ceabcb5d6c5f1dd0	DL_test	3	ta	ka	1	left	ta	1	1318
60e5e5b0ceabcb5d6c5f1dd0	DL_test	4	ka	ba	1	other	pa	0	2175
60e5e5b0ceabcb5d6c5f1dd0	DL_test	5	da	ga	1	right	ga	1	1772
60e5e5b0ceabcb5d6c5f1dd0	DL_test	6	ta	da	1	left	ta	1	2144
60e5e5b0ceabcb5d6c5f1dd0	DL_test	7	ga	pa	1	other	ta	0	3123
60e5e5b0ceabcb5d6c5f1dd0	DL_test	8	ga	ta	1	right	ta	1	1356
60e5e5b0ceabcb5d6c5f1dd0	DL_test	9	da	ta	1	right	ta	1	1220
60e5e5b0ceabcb5d6c5f1dd0	DL_test	10	pa	ba	1	left	pa	1	1470
60e5e5b0ceabcb5d6c5f1dd0	DL_test	11	pa	ga	1	other	ka	0	2069
60e5e5b0ceabcb5d6c5f1dd0	DL_test	12	da	ka	1	other	pa	0	2265
60e5e5b0ceabcb5d6c5f1dd0	DL_test	13	pa	ka	1	other	ta	0	2498
60e5e5b0ceabcb5d6c5f1dd0	DL_test	14	ba	da	1	right	da	1	1770
60e5e5b0ceabcb5d6c5f1dd0	DL_test	15	ka	ta	1	right	ta	1	1892
60e5e5b0ceabcb5d6c5f1dd0	DL_test	16	ta	ba	1	left	ta	1	1484
60e5e5b0ceabcb5d6c5f1dd0	DL_test	17	ga	ga	0	left	ga	1	1909
60e5e5b0ceabcb5d6c5f1dd0	DL_test	18	ka	da	1	other	ta	0	1656
60e5e5b0ceabcb5d6c5f1dd0	DL_test	19	pa	pa	0	left	pa	1	1328
60e5e5b0ceabcb5d6c5f1dd0	DL_test	20	pa	ta	1	right	ta	1	2118
60e5e5b0ceabcb5d6c5f1dd0	DL_test	21	ga	ka	1	other	ta	0	1789
60e5e5b0ceabcb5d6c5f1dd0	DL_test	22	ga	ba	1	other	da	0	1972
60e5e5b0ceabcb5d6c5f1dd0	DL_test	23	ta	ta	0	left	ta	1	1648
60e5e5b0ceabcb5d6c5f1dd0	DL_test	24	ka	ka	0	other	ta	0	1269
60e5e5b0ceabcb5d6c5f1dd0	DL_test	25	da	da	0	left	da	1	1750
60e5e5b0ceabcb5d6c5f1dd0	DL_test	26	ba	pa	1	right	pa	1	1728
60e5e5b0ceabcb5d6c5f1dd0	DL_test	27	ta	ga	1	left	ta	1	1984
60e5e5b0ceabcb5d6c5f1dd0	DL_test	28	ga	da	1	right	da	1	1600
60e5e5b0ceabcb5d6c5f1dd0	DL_test	29	ba	ga	1	right	ga	1	1654
60e5e5b0ceabcb5d6c5f1dd0	DL_test	30	da	pa	1	right	pa	1	1512
60e5e5b0ceabcb5d6c5f1dd0	DL_test	31	ba	ta	1	right	ta	1	1492
60e5e5b0ceabcb5d6c5f1dd0	DL_test	32	pa	da	1	other	ta	0	1088
60e5e5b0ceabcb5d6c5f1dd0	DL_test	33	ba	ka	1	other	ta	0	1123
60e5e5b0ceabcb5d6c5f1dd0	DL_test	34	ka	pa	1	right	pa	1	1340
60e5e5b0ceabcb5d6c5f1dd0	DL_test	35	ba	ba	0	left	ba	1	1581
60e5e5b0ceabcb5d6c5f1dd0	DL_test	36	da	ba	1	left	da	1	1637
60e5e5b0ceabcb5d6c5f1dd0	DL_test	1	ga	ta	1	right	ta	1	1698
60e5e5b0ceabcb5d6c5f1dd0	DL_test	2	ka	ta	1	right	ta	1	1069
60e5e5b0ceabcb5d6c5f1dd0	DL_test	3	ba	pa	1	right	pa	1	1224
60e5e5b0ceabcb5d6c5f1dd0	DL_test	4	da	pa	1	right	pa	1	1134
60e5e5b0ceabcb5d6c5f1dd0	DL_test	5	ta	pa	1	left	ta	1	1868
60e5e5b0ceabcb5d6c5f1dd0	DL_test	6	da	da	0	left	da	1	1713
60e5e5b0ceabcb5d6c5f1dd0	DL_test	7	pa	ta	1	right	ta	1	1670
60e5e5b0ceabcb5d6c5f1dd0	DL_test	8	ta	ga	1	left	ta	1	1886
60e5e5b0ceabcb5d6c5f1dd0	DL_test	9	pa	ga	1	left	pa	1	1858
60e5e5b0ceabcb5d6c5f1dd0	DL_test	10	ta	da	1	left	ta	1	1581
60e5e5b0ceabcb5d6c5f1dd0	DL_test	11	ga	ga	0	other	da	0	1698
60e5e5b0ceabcb5d6c5f1dd0	DL_test	12	ga	pa	1	right	pa	1	1730
60e5e5b0ceabcb5d6c5f1dd0	DL_test	13	da	ta	1	right	ta	1	1249
60e5e5b0ceabcb5d6c5f1dd0	DL_test	14	ka	ga	1	left	ka	1	1574
60e5e5b0ceabcb5d6c5f1dd0	DL_test	15	ta	ta	0	left	ta	1	1548
60e5e5b0ceabcb5d6c5f1dd0	DL_test	16	ga	da	1	right	da	1	1570
60e5e5b0ceabcb5d6c5f1dd0	DL_test	17	ga	ka	1	other	ta	0	1659
60e5e5b0ceabcb5d6c5f1dd0	DL_test	18	ga	ba	1	other	pa	0	1276
60e5e5b0ceabcb5d6c5f1dd0	DL_test	19	ba	ba	0	left	ba	1	1641
60e5e5b0ceabcb5d6c5f1dd0	DL_test	20	ka	da	1	other	ta	0	1572
60e5e5b0ceabcb5d6c5f1dd0	DL_test	21	pa	ba	1	left	pa	1	1336
60e5e5b0ceabcb5d6c5f1dd0	DL_test	22	da	ka	1	other	pa	0	1164
60e5e5b0ceabcb5d6c5f1dd0	DL_test	23	ka	ka	0	left	ka	1	1506
60e5e5b0ceabcb5d6c5f1dd0	DL_test	24	da	ga	1	left	da	1	1735
60e5e5b0ceabcb5d6c5f1dd0	DL_test	25	da	ba	1	right	ba	1	2071
60e5e5b0ceabcb5d6c5f1dd0	DL_test	26	pa	ka	1	other	ta	0	1839
60e5e5b0ceabcb5d6c5f1dd0	DL_test	27	ka	pa	1	right	pa	1	1245
60e5e5b0ceabcb5d6c5f1dd0	DL_test	28	ta	ka	1	left	ta	1	1499
60e5e5b0ceabcb5d6c5f1dd0	DL_test	29	pa	pa	0	left	pa	1	1316
60e5e5b0ceabcb5d6c5f1dd0	DL_test	30	ba	ga	1	right	ga	1	1654
60e5e5b0ceabcb5d6c5f1dd0	DL_test	31	ka	ba	1	other	ta	0	2529
60e5e5b0ceabcb5d6c5f1dd0	DL_test	32	ta	ba	1	left	ta	1	1860
60e5e5b0ceabcb5d6c5f1dd0	DL_test	33	ba	ta	1	right	ta	1	1075
60e5e5b0ceabcb5d6c5f1dd0	DL_test	34	pa	da	1	left	pa	1	1431
60e5e5b0ceabcb5d6c5f1dd0	DL_test	35	ba	da	1	right	da	1	1608
60e5e5b0ceabcb5d6c5f1dd0	DL_test	36	ba	ka	1	other	ta	0	1805
60e5e5b0ceabcb5d6c5f1dd0	DL_test	1	pa	ta	1	other	da	0	2874
60e5e5b0ceabcb5d6c5f1dd0	DL_test	2	ba	ba	0	left	ba	1	1684
60e5e5b0ceabcb5d6c5f1dd0	DL_test	3	ga	ba	1	other	pa	0	2369
60e5e5b0ceabcb5d6c5f1dd0	DL_test	4	pa	pa	0	left	pa	1	1227
60e5e5b0ceabcb5d6c5f1dd0	DL_test	5	ta	ka	1	left	ta	1	1228
60e5e5b0ceabcb5d6c5f1dd0	DL_test	6	da	pa	1	right	pa	1	1533
60e5e5b0ceabcb5d6c5f1dd0	DL_test	7	ka	pa	1	right	pa	1	1146
60e5e5b0ceabcb5d6c5f1dd0	DL_test	8	ka	ka	0	left	ka	1	1343
60e5e5b0ceabcb5d6c5f1dd0	DL_test	9	ka	ba	1	left	ka	1	1167
60e5e5b0ceabcb5d6c5f1dd0	DL_test	10	ta	ga	1	other	ka	0	1147
60e5e5b0ceabcb5d6c5f1dd0	DL_test	11	ba	ga	1	right	ga	1	1505
60e5e5b0ceabcb5d6c5f1dd0	DL_test	12	ta	pa	1	right	pa	1	1713
60e5e5b0ceabcb5d6c5f1dd0	DL_test	13	pa	ba	1	left	pa	1	1003
60e5e5b0ceabcb5d6c5f1dd0	DL_test	14	ta	ba	1	left	ta	1	1779
60e5e5b0ceabcb5d6c5f1dd0	DL_test	15	ka	ta	1	right	ta	1	1983
60e5e5b0ceabcb5d6c5f1dd0	DL_test	16	ta	ta	0	left	ta	1	1061
60e5e5b0ceabcb5d6c5f1dd0	DL_test	17	ba	da	1	right	da	1	1920
60e5e5b0ceabcb5d6c5f1dd0	DL_test	18	pa	ga	1	other	ta	0	1944
60e5e5b0ceabcb5d6c5f1dd0	DL_test	19	pa	da	1	other	ga	0	2744
60e5e5b0ceabcb5d6c5f1dd0	DL_test	20	ga	ta	1	right	ta	1	2504
